Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Tender Stage
Department of Water Resources||Chief Engineer - DoWR,GOLAGHAT/2025-26/SOPD-G/II,2025_DoWR_49541_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,TECHNICAL BID,20-Dec-2025 06:55 PM,03-Jan-2026 03:00 PM,20-Dec-2025 06:55 PM,03-Jan-2026 02:00 PM,NA ,NA ,26-Dec-2025 10:00 AM,03-Jan-2026 02:00 PM,06-Mar-2026 06:30 PM,"15,86,957",Yes,percentage,2.0%,Nil,Nil,1.0,Bid Document,Technical Bid,,1.0,SBI Bank,"20,000",Nil,Nil,No,"Chief Engineer, WRD, Assam","O/o the Chief Engineer, WRD, Assam, AWC Basistha, Ghy 29",Construction of embankment from Misamari to Bilpathar on the right bank of river Dhansiri.,Construction of embankment from Misamari to Bilpathar on the right bank of river Dhansiri.,Please refer Tender documents. ,NA ,"7,93,47,847",Civil Works,NA ,Tender,180.0,365.0,GOLAGHAT,785361.0,NA ,NA ,NA ,Guwahati,No ,No,AOC,12-May-2026,"INR 79,337,835.2",365.0,Jayanta Kumar Barman,12-May-2026 12:23 PM,FWO_GOLAGHAT_Missamari_Bilpathar.pdf (522.00 KB),Construction of embankment from Misamari to Bilpathar on the right bank of river Dhansiri.,1.0,290965.0,Sri Manoj Pareek,INR,"79,337,835.2",1,290805,SHREE GAUTAM CONSTRUCTION CO. LTD.,03-Jan-2026 11:34 AM,Rejected-AOC,Not Qualified for AOC,12-May-2026 12:23 PM,Finance,All Bids are opened for Financial Evaluation,Jayanta Kumar Barman,24-Apr-2026 12:53 PM,,BOQ Comparative Chart,Director Design,Internal,,Jayanta Kumar Barman,12-May-2026 12:18 PM,finsummary_78591.pdf (265.98 KB),Department of Water Resources||Chief Engineer - DoWR,2025_DoWR_49541_1,GOLAGHAT/2025-26/SOPD-G/II,Construction of embankment from Misamari to Bilpathar on the right bank of river Dhansiri.,Technical,All Bids are opened for Technical Evaluation,Jayanta Kumar Barman,06-Mar-2026 06:17 PM,,Director Design,Internal,,Jayanta Kumar Barman,06-Mar-2026 06:25 PM,06-Mar-2026 06:30 PM,techsummary_78591.pdf (139.32 KB),1.0,Tender Revocation,Tender Revocation,06-Mar-2026 05:56 PM,revoke_golaghat_baksa.pdf ,89.1,Technical Opening,AOC
,,,,,,,,,,,,,,2,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2,290965,Sri Manoj Pareek,03-Jan-2026 11:53 AM,Accepted-AOC,AWARDED,12-May-2026 12:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
