Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Skill Employment and Entrepreneurship Department- Externally Aided Project||Assam Skill University Project- ADB Funded Tenders,GS07d,2026_SEEDE_50512_1,Yes,Open Tender,Item Rate,Services,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Form of Quotation,24-Jan-2026 10:00 AM,07-Feb-2026 04:00 PM,24-Jan-2026 10:00 AM,07-Feb-2026 03:00 PM,24-Jan-2026 10:00 AM ,01-Feb-2026 12:00 PM ,04-Feb-2026 10:00 AM,07-Feb-2026 03:00 PM,"1,50,000",No,fixed,,Nil,Nil,1.0,Corrigendum 1,BOQ,,1.0,SBI Bank,0.0,Nil,Nil,No,CEO Assam Skill University Project,"3rd Floor, DECT Complex, Rehabari, Guwahati 08","Hiring of Event Management Agency for Events and Activities, Seminars, Workshops etc","Hiring of Event Management Agency for Events and Activities, Seminars, Workshops etc",Please refer Tender documents. ,NA ,,Miscellaneous Services,NA ,Tender,90.0,NA ,"DECT Complex, Rehabari",781008.0,NA ,NA ,NA ,"O/o the CEO, Assam Skill University Project",No ,No,AOC,08-May-2026,"INR 13,538,140",365.0,Paran Gogoi,15-May-2026 05:04 PM,ContractPages.pdf (1552.00 KB),CONTRACT AGREEMENT,1.0,296733.0,Priya Communication,INR,"13,538,140",1,296721,Exclusive Advertising Private Limited,06-Feb-2026 09:20 PM,Rejected-Finance,Being price quoted higher than L1 bidder,06-May-2026 05:29 PM,Finance,Bids are forwarded to evaluation committee for further evaluation,Mintu Sinha,07-Feb-2026 04:28 PM,,BOQ Comparative Chart,"Registrar, ASU",Internal,,Himalay Sarma,06-May-2026 05:29 PM,finsummary_80403.pdf (30.98 KB),Skill Employment and Entrepreneurship Department- Externally Aided Project||Assam Skill University Project- ADB Funded Tenders,2026_SEEDE_50512_1,GS07d,"Hiring of Event Management Agency for Events and Activities, Seminars, Workshops etc","Registrar, ASU",Internal,,Himalay Sarma,06-May-2026 03:17 PM,techsummary_80403.pdf (137.21 KB),AOC
,,,,,,,,,,,,,,,,.pdf,Eligibility Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2,296733,Priya Communication,06-Feb-2026 10:02 PM,Accepted-AOC,Being lowest evaluated responsive bidder,15-May-2026 05:04 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.xls,Price Quotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3,296511,Sanjay Ballabh,07-Feb-2026 02:48 PM,Rejected-Finance,Being price quoted higher than L1 bidder,06-May-2026 05:29 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
