Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date.1,Bid Opening Date.1,Bid Submission Opening Date,Bid Submission Closing Date,Pre Bid Meeting Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date.1,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Health and Family Welfare Department||Directorate of Medical Education-HFWD||Dhubri Medical College and Hospital-HFWD,DMCH/HMC/Telephone Bill/01/2022-23/1153,2025_HFWD_48207_2,Yes,Open Tender,Supply,Goods,2.0,No,Yes,Online,No,No,Yes,1,Fee/PreQual/Technical,.pdf,Bid Document,13-Nov-2025 03:00 PM,29-Nov-2025 12:00 PM,13-Nov-2025 03:00 PM,29-Nov-2025 11:00 AM,NA ,NA ,13-Nov-2025 03:00 PM,29-Nov-2025 11:00 AM,11-Mar-2026 11:00 AM,"5,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,09-Mar-2026 11:00 AM,11-Mar-2026 11:00 AM,09-Mar-2026 11:00 AM,11-Mar-2026 11:00 AM,,500.0,Nil,Nil,No,Principal cum Chief Superintendent,Dhubri Medical College and Hospital,Supply of Fixed Cordless Phone Received,Supply of Fixed Cordless Phone Received,Please refer Tender documents. ,NA ,"90,000",Electronics Equipment,NA ,Tender,60.0,NA ,Dhubri Medical College and Hospital,783325.0,NA ,NA ,NA ,Dhubri Medical College and Hospital,No ,No,AOC,11-May-2026,"INR 90,000",365.0,Ashim Bhuyan,11-May-2026 11:00 AM,Agreement.pdf (3783.00 KB),Supply of Cordless Phone Receiver,1.0,286304.0,Pravi Mantech Pvt Ltd,INR,"90,000",1.0,286304.0,Pravi Mantech Pvt Ltd,20-Nov-2025 01:11 AM,Accepted-AOC,As per decision of Tender and Purchase Committee,11-May-2026 11:00 AM,Finance,Financial bid evaluation,Ashim Bhuyan,11-May-2026 10:48 AM,finance_77203.pdf,BOQ Comparative Chart,Dr Ashim Bhuyan,Internal,Dr Sayeda Jesmin Rahman Dr Sabrina Yesmin Dr Abdul Hakim Dr Bikash Agarwal,Ashim Bhuyan,11-May-2026 10:54 AM,finsummary_77203.pdf (1320.91 KB),Health and Family Welfare Department||Directorate of Medical Education-HFWD||Dhubri Medical College and Hospital-HFWD,2025_HFWD_48207_2,DMCH/HMC/Telephone Bill/01/2022-23/1153,Supply of Fixed Cordless Phone Received,Technical,Bid Opening summary,Ashim Bhuyan,01-Dec-2025 03:46 PM,technical_77203.pdf,Dr Ashim Bhuyan,Internal,Dr Sayeda Jesmin Rahman Dr Abdul Hakim Dr Bikash Agarwal,Ashim Bhuyan,09-Mar-2026 10:43 AM,techsummary_77203.pdf (867.34 KB),AOC
,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
