 revenue_ci,revenue_cr,HQ,are_new,dtname,object_id,dtcode11,max,mean,count,sum
Gossaigaon (Pt),Gossaigaon (Pt),,1069,KOKRAJHAR,18-300-00101,18-300,0.37664270431995395,0.16615408330749384,968,160.83715264165403
Bhowraguri,Bhawraguri,,159,KOKRAJHAR,18-300-00102,18-300,0.1631286943912506,0.16128439778919157,148,23.87009087280035
Dotoma,Dotoma,,304,KOKRAJHAR,18-300-00103,18-300,0.1631286943912506,0.14951414059009058,271,40.518332099914545
Kokrajhar (Pt),Kokrajhar (Pt),y,990,KOKRAJHAR,18-300-00104,18-300,0.18610330810546877,0.1503074759058371,894,134.37488345981836
Bagribari (Pt),Bagribari (Pt),,281,KOKRAJHAR,18-300-00105,18-300,0.15941428515911102,0.15939053785083818,256,40.80397768981457
Golokganj (Pt),Golokganj (Pt),,103,KOKRAJHAR,18-300-00106,18-300,0.18846024146080018,0.16122268311349294,93,14.993709529554843
Dhubri (Pt),Dhubri (Pt),,124,KOKRAJHAR,18-300-00107,18-300,0.15938957251310348,0.1593895725131035,114,18.1704112664938
Chapar (Pt),Chapar (Pt),,101,KOKRAJHAR,18-300-00108,18-300,0.18180606157779694,0.15862445187568663,91,14.434825120687485
Bagribari (Pt),Bagribari (Pt),,213,DHUBRI,18-301-00109,18-301,0.18846024146080018,0.16835886758660015,190,31.98818484145403
Agamoni,Agamoni,,221,DHUBRI,18-301-00110,18-301,0.17358276593312622,0.17344308092566343,201,34.86205926605835
Golokganj (Pt),Golakganj (Pt),,199,DHUBRI,18-301-00111,18-301,0.18846024146080018,0.1757673032031896,182,31.989649182980507
Dhubri (Pt),Dhubri (Pt),y,357,DHUBRI,18-301-00112,18-301,0.18846024146080018,0.18537306898281675,320,59.31938207450136
Bilasipara (Pt),Bilasipara (Pt),,295,DHUBRI,18-301-00113,18-301,0.15941428515911102,0.15936527384968835,268,42.70989339171648
Chapar (Pt),Chapar (Pt),,195,DHUBRI,18-301-00114,18-301,0.18180606157779694,0.17287451030966938,178,30.771662835121152
