Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Public Works Roads Department-Externally Aided Project||Public Works Road Department- World Bank Funded Tenders||Assam State Bridge Infrastructure Program,CE/EAP/ARRBP/02/TENDER/2024/42,2025_PWRDW_43984_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,EMD and Tender Fees Receipt,10-Apr-2025 09:00 AM,29-Apr-2025 02:30 PM,10-Apr-2025 09:00 AM,29-Apr-2025 02:00 PM,10-Apr-2025 09:00 AM ,17-Apr-2025 11:00 AM ,10-Apr-2025 09:00 AM,29-Apr-2025 02:00 PM,21-Jul-2025 02:00 PM,"3,69,000",Yes,fixed,,Nil,Nil,1.0,Corrigendum for Bid Submission Date,Date,,1.0,SBI Bank,"5,000",Nil,Nil,No,"Chief Engineer(EAP),PWRD,Assam","O/O The Chief Engineer(EAP),PWRD,Assam,Fatasil Ambari,Ghy-25",Br on Khanikar TE Road in Jorhat Dist.,CE/EAP/ARRBP/OCB/Bridge1/Jorhat/11 Construction of Bridge in Jorhat district Br on Khanikar TE Road,Please refer Tender documents. ,NA ,"1,84,17,000",Civil Works - Bridges,NA ,Tender,180.0,540.0,Jorhat district,785001.0,"O/O The Chief Engineer(EAP),PWRD,Assam ","O/O The Chief Engineer(EAP),PWRD,Assam,Fatasil Ambari,Ghy-25 ",17-Apr-2025 11:00 AM ,"O/O The Chief Engineer(EAP),PWRD,Assam",No ,No,AOC,13-Feb-2026,"INR 19,335,000",540.0,Dibyajyoti Nath,13-Feb-2026 06:30 PM,Work_Order.pdf (61.00 KB),1.0,266348.0,M/S Competent Infrastructure & Consulting Pvt. Ltd,INR,"19,335,000",1.0,266348.0,M/S Competent Infrastructure & Consulting Pvt. Ltd,29-Apr-2025 12:36 PM,Accepted-AOC,Awarded Contract Bidder,13-Feb-2026 06:30 PM,Finance,Financial bid has been opened.,Hena Chandini,21-Jul-2025 05:11 PM,,BOQ Comparative Chart,"CE (EAP), PWRD, Assam, Fatasil Ambari",Internal,,Dibyajyoti Nath,13-Feb-2026 06:26 PM,finsummary_70078.pdf (88.12 KB),Public Works Roads Department-Externally Aided Project||Public Works Road Department- World Bank Funded Tenders||Assam State Bridge Infrastructure Program,2025_PWRDW_43984_2,CE/EAP/ARRBP/02/TENDER/2024/42,Br on Khanikar TE Road in Jorhat Dist.,Technical,technical bid has been open,Sharadi Borah,30-Apr-2025 02:20 PM,,"CE(EAP),PWRD,Fatasil Ambari",Internal,,Sharadi Borah,19-Jul-2025 03:10 PM,21-Jul-2025 02:00 PM,techsummary_70078.pdf (466.95 KB),AOC
,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,266595.0,Tejkaran Jain,23-Apr-2025 02:08 PM,Rejected-Finance,Reject as L2,13-Feb-2026 06:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Technical Qualification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Letter of Bids (Technical),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,ESMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Letter of Bids (Financial),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
