Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Department of Water Resources-Externally Aided Project||Flood and River Erosion Management Agency of Assam||WRD- ADB Funded Tenders,FREMAA/13-2020/307/T-406,2024_WREAP_38681_1,Yes,Open Tender,Supply,Goods,1.0,No,No,Not Applicable,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Form of Quotation,29-Aug-2024 02:35 PM,30-Sep-2024 04:00 PM,29-Aug-2024 02:35 PM,30-Sep-2024 02:00 PM,29-Aug-2024 02:35 PM ,04-Sep-2024 05:00 PM ,05-Sep-2024 11:00 AM,30-Sep-2024 02:00 PM,0.0,No,fixed,,Nil,Nil,1.0,Corrigendum-III,Date,,0.0,Nil,Nil,No,"Chief Executive Officer, FREMAA","FREMAA, Assam Water Centre, Basistha, Guwahati","Supply, installation and activation of 1 nos. of AutoCAD 2025 Single User One Year (Annual) License at FREMAA","Supply, installation and activation of 1 nos. of AutoCAD 2025 Single User One Year (Annual) License at FREMAA",Please refer Tender documents. ,NA ,,Computer- S/W,NA ,Tender,120.0,30.0,"FREMAA, Assam Water Centre, Basistha, Guwahati",781029.0,NA ,NA ,NA ,"Conference Hall, FREMAA, Assam Water Centre",No ,No,AOC,20-Feb-2026,"INR 84,210",7.0,Diganta Sarma,20-Feb-2026 05:15 PM,AutoCAD2025Contract.pdf (141.00 KB),Trisita Engineering LLP is the lowest evaluated substantially responsive bidder,1.0,238713.0,TRISITA ENGINEERING LLP,INR,"84,210",1.0,240250.0,Mercantile Agents,19-Sep-2024 04:08 PM,Rejected-Technical,Quoted amount is higher than lowest quoted substantially responsive bidder,20-Feb-2026 04:56 PM,Finance,Quotation Opening Summary,Diganta Sarma,05-Nov-2024 12:44 PM,finance_62540.pdf,BOQ Comparative Chart,Dy. Executive Officer (Technical),Internal,,Diganta Sarma,20-Feb-2026 04:59 PM,finsummary_62540.pdf (457.28 KB),Department of Water Resources-Externally Aided Project||Flood and River Erosion Management Agency of Assam||WRD- ADB Funded Tenders,2024_WREAP_38681_1,FREMAA/13-2020/307/T-406,"Supply, installation and activation of 1 nos. of AutoCAD 2025 Single User One Year (Annual) License at FREMAA",Dy. Executive Officer (Technical),Internal,,Diganta Sarma,20-Feb-2026 04:56 PM,techsummary_62540.pdf (457.28 KB),AOC
,,,,,,,,,,,,,,,,.pdf,Supporting Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2.0,238713.0,TRISITA ENGINEERING LLP,11-Sep-2024 12:05 PM,Accepted-AOC,Lowest evaluated substantially responsive bidder,20-Feb-2026 05:16 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
