Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Public Works Roads Department,CE/DEV/TB/60/2025-26/01 Dtd- 21.06.2025,2025_PWD_45408_128,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,BID COST_BID SECURITY,14-Jul-2025 04:00 PM,28-Jul-2025 02:30 PM,14-Jul-2025 04:00 PM,28-Jul-2025 02:00 PM,14-Jul-2025 04:00 PM ,15-Jul-2025 12:00 PM ,14-Jul-2025 04:00 PM,28-Jul-2025 02:00 PM,22-Oct-2025 05:00 PM,"7,13,000",Yes,fixed,,Nil,Nil,1.0,SBD Correction,Other,,1.0,SBI Bank,"7,130",Nil,Nil,No,"CE,PWRD","CE,PWRD","MMPPNA_RIDF_XXXI_25_26_14 Construction of road from (1) Sangundenga to Sarupathar Gaon, (2) NH-27 at Rengbeng Kalimandir to Sarupathar Jamunamukh Road, (3) NH-27 to Garubandha via Mikirgaon Road, (4) Pachim Tarani ati to Jhumurmur Village under Mukhy","MMPPNA_RIDF_XXXI_25_26_14 Construction of road from (1) Sangundenga to Sarupathar Gaon, (2) NH-27 at Rengbeng Kalimandir to Sarupathar Jamunamukh Road, (3) NH-27 to Garubandha via Mikirgaon Road, (4) Pachim Tarani ati to Jhumurmur Village under Mukhy",Please refer Tender Documents. ,NA ,"3,56,62,000",Civil Works – Roads,NA ,Tender,180.0,365.0,Barhampur,786001.0,"CE,PWRD ","CE,PWRD ",17-Jul-2025 12:00 PM ,"CE,PWRD",No ,No,AOC,23-Feb-2026,"INR 35,661,000",365.0,BHABANANDA DEKA,23-Feb-2026 02:09 PM,MMPPNA14A.pdf (690.00 KB),1.0,273637.0,NRIPEN CHANDRA SARMA,INR,"35,661,000",1.0,273637.0,NRIPEN CHANDRA SARMA,27-Jul-2025 06:55 PM,Accepted-AOC,Awarded,23-Feb-2026 02:09 PM,Finance,Admitted,BHABANANDA DEKA,23-Feb-2026 02:01 PM,,BOQ Comparative Chart,CE PWRD,Internal,,BHABANANDA DEKA,23-Feb-2026 02:06 PM,finsummary_72237.pdf (530.87 KB),Public Works Roads Department,2025_PWD_45408_128,CE/DEV/TB/60/2025-26/01 Dtd- 21.06.2025,"MMPPNA_RIDF_XXXI_25_26_14 Construction of road from (1) Sangundenga to Sarupathar Gaon, (2) NH-27 at Rengbeng Kalimandir to Sarupathar Jamunamukh Road, (3) NH-27 to Garubandha via Mikirgaon Road, (4) Pachim Tarani ati to Jhumurmur Village under Mukhy",Technical,Admitted,Manoj Kr. Nath,22-Oct-2025 04:51 PM,,CE PWRD,Internal,,Manoj Kr. Nath,22-Oct-2025 04:52 PM,22-Oct-2025 05:00 PM,techsummary_72237.pdf (215.79 KB),AOC
,,,,,,,,,,,,,,,,.pdf,BIDDING DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,273639.0,Paban Saikia,27-Jul-2025 05:35 PM,Rejected-Finance,Rejected,23-Feb-2026 02:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,TECHNICAL QUALIFICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,FOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
