Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Public Works Building and NH Department||Chief Engineer-Building - PWBNH,ADP/13/2018/05 dtd. 09/07/2018_Auditorium,2018_PWBNH_7921_1,Yes,Open Tender,Works,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Tender Document,17-Jul-2018 02:30 PM,25-Jul-2018 01:00 PM,17-Jul-2018 02:30 PM,24-Jul-2018 02:30 PM,NA ,NA ,17-Jul-2018 02:30 PM,24-Jul-2018 02:30 PM,06-Aug-2018 02:00 PM,"3,06,171",Yes,fixed,,"EE, PWD, Jorhat Building Division,Jorhat",Jorhat,1.0,BC - Bankers Cheque,"4,600",Assam State Road Board Maintenance (Road) Fund,Guwahati,Yes,"The Chief Engineer, PWD, Chandmari, Ghy-03","O/o the Chief Engineer, PWD, Chandmari, Ghy-03",Construction of Auditorium cum Cultural Complex Centre at Jengraimukh_ Majuli under Infrastructure Development Scheme,"Construction of Auditorium cum Cultural Complex/ Centre at Jengraimukh, Majuli under Infrastructure Development Scheme",Please refer Tender documents. ,NA ,"1,53,08,536",Civil Works - Building,NA ,Tender,180.0,365.0,"Jengraimukh,Majuli",785105.0,"O/o the Chief Engineer, PWD, Chandmari, Ghy-03 ","O/o the Chief Engineer, PWD, Chandmari, Ghy-03 ",20-Jul-2018 12:00 PM ,"O/o the Chief Engineer, PWD, Chandmari, Ghy-03",No ,No,AOC,11-Feb-2026,"INR 16,686,317",365.0,Chandana Basumatary,11-Feb-2026 03:59 PM,WOAUDITORIUMMAJULI.pdf (786.00 KB),1.0,38797.0,SRI DUL SAIKIA,INR,"16,686,317",1.0,38795.0,Bhabananda Nath,23-Jul-2018 10:39 PM,Rejected-AOC,L2,11-Feb-2026 03:59 PM,Finance,Summary,Chandana Basumatary,11-Feb-2026 03:49 PM,finance_11903.pdf,BOQ Comparative Chart,CE PWD(Bldg),Internal,,Chandana Basumatary,11-Feb-2026 03:55 PM,finsummary_11903.pdf (785.58 KB),Public Works Building and NH Department||Chief Engineer-Building - PWBNH,2018_PWBNH_7921_1,ADP/13/2018/05 dtd. 09/07/2018_Auditorium,Construction of Auditorium cum Cultural Complex Centre at Jengraimukh_ Majuli under Infrastructure Development Scheme,Technical,Minutes,Chandana Basumatary,03-Aug-2018 02:54 PM,technical_11903.pdf,"CE, PWD (Bldg), Assam, Chandmari, Guwahati-3",Internal,,Chandana Basumatary,03-Aug-2018 02:55 PM,06-Aug-2018 02:00 PM,techsummary_11903.pdf (603.76 KB),AOC
,,,,,,,,,,,,,,,,.pdf,Cost of Bid,,,,,,,,,,,,,,,,2.0,DD - Demand Draft,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,38797.0,SRI DUL SAIKIA,24-Jul-2018 02:04 PM,Accepted-AOC,Work Order Issued,11-Feb-2026 03:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Technical Qualification,,,,,,,,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Form of Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
