Relief_Distribution_Liquid_BabyFood_In_Unit,object_id
13.0,18-300-00101
6.0,18-300-00102
2.0,18-300-00103
5.0,18-300-00104
5.0,18-300-00105
7.0,18-301-00109
2.0,18-301-00110
4.0,18-301-00111
10.0,18-301-00112
15.0,18-301-00113
7.0,18-301-00114
8.0,18-302-00115
7.0,18-302-00116
9.0,18-302-00117
0.0,18-302-00118
2.0,18-302-00119
5.0,18-303-00120
8.0,18-303-00121
11.0,18-303-00122
11.0,18-303-00123
12.0,18-799-00124
6.0,18-304-00126
0.0,18-304-00127
24.0,18-304-00128
9.0,18-304-00129
3.0,18-305-00130
2.0,18-305-00131
0.0,18-305-00132
0.0,18-305-00133
22.0,18-305-00134
18.0,18-305-00135
18.0,18-305-00136
19.0,18-306-00137
6.0,18-306-00138
6.0,18-306-00139
0.0,18-306-00140
7.0,18-307-00141
11.0,18-307-00142
14.0,18-307-00143
3.0,18-307-00144
10.0,18-307-00145
7.0,18-307-00146
13.0,18-307-00147
10.0,18-308-00150
14.0,18-308-00151
9.0,18-308-00152
10.0,18-308-00153
2.0,18-309-00154
9.0,18-309-00155
9.0,18-309-00156
0.0,18-309-00157
2.0,18-310-00158
2.0,18-310-00159
8.0,18-310-00160
1.0,18-310-00161
1.0,18-310-00162
0.0,18-310-00163
0.0,18-310-00164
0.0,18-311-00165
6.0,18-311-00166
0.0,18-311-00167
0.0,18-311-00168
0.0,18-312-00169
0.0,18-312-00170
0.0,18-312-00171
5.0,18-313-00172
0.0,18-313-00173
0.0,18-313-00174
0.0,18-313-00175
0.0,18-313-00176
0.0,18-313-00177
0.0,18-314-00178
0.0,18-314-00179
22.0,18-315-00181
6.0,18-316-00184
10.0,18-316-00185
3.0,18-316-00186
8.0,18-316-00187
4.0,18-316-00188
16.0,18-317-00189
22.0,18-317-00190
17.0,18-317-00191
13.0,18-317-00192
8.0,18-317-00193
17.0,18-318-00194
18.0,18-318-00195
14.0,18-318-00196
10.0,18-318-00197
2.0,18-319-00198
11.0,18-319-00199
16.0,18-319-00200
5.0,18-319-00201
10.0,18-319-00202
10.0,18-320-00205
5.0,18-320-00206
12.0,18-320-00207
18.0,18-321-00208
8.0,18-321-00209
11.0,18-321-00210
12.0,18-321-00211
0.0,18-321-00212
0.0,18-321-00213
3.0,18-321-00214
1.0,18-321-00215
0.0,18-321-00216
14.0,18-321-00217
12.0,18-322-00219
2.0,18-322-00220
2.0,18-322-00221
6.0,18-323-00222
8.0,18-323-00223
4.0,18-323-00224
9.0,18-323-00225
8.0,18-323-00226
4.0,18-323-00227
4.0,18-323-00228
7.0,18-323-00230
5.0,18-324-00231
14.0,18-324-00233
16.0,18-324-00234
14.0,18-325-00238
13.0,18-325-00239
7.0,18-326-00241
4.0,18-326-00245
11.0,18-326-00246
11.0,18-326-00247
0.0,18-755-00248
4.0,18-756-00249
14.0,18-756-00250
4.0,18-756-00251
18.0,18-757-00252
13.0,18-757-00253
8.0,18-757-00254
10.0,18-759-00255
6.0,18-758-00256
7.0,18-758-00257
15.0,18-816-00259
7.0,18-324-00260
12.0,18-816-00261
7.0,18-324-00262
7.0,18-303-00264
23.0,18-799-00265
13.0,18-303-00266
13.0,18-326-00268
14.0,18-325-00269
9.0,18-325-00270
20.0,18-304-00271
5.0,18-321-00272
0.0,18-321-00273
0.0,18-314-00275
0.0,18-312-00276
0.0,18-312-00277
0.0,18-755-00278
0.0,18-755-00279
5.0,18-760-00280
8.0,18-760-00281
