meeting_no,date,district,amount_lakhs,fund_type,section,annexure,reason,page_ref,source_pdf
55th SEC,2026-01-28,Lakhimpur,48.38,SDMF,55.12,Annexure III,Seismic Requalification of Existing Bridges (5 districts),Annexure III (p12-24),55th_sec_meeting_0.pdf
55th SEC,2026-01-28,Darrang,749.857,SDMF,55.12,Annexure III,Protection/prevention of NH 15 to Algachar connecting road from flood damages,Annexure III (p12-24),55th_sec_meeting_0.pdf
55th SEC,2026-01-28,Darrang,1450.0,SDMF,55.12,Annexure III,Protection of MPK Road by providing Disaster Mitigation Measures,Annexure III (p12-24),55th_sec_meeting_0.pdf
55th SEC,2026-01-28,Darrang,695.0,SDMF,55.12,Annexure III,Protection of Padmajhar to Andherighat Jayantipur road,Annexure III (p12-24),55th_sec_meeting_0.pdf
55th SEC,2026-01-28,Kamrup,485.0,SDMF,55.12,Annexure III,Protection of Krishna Nagar area from landslide hazard,Annexure III (p12-24),55th_sec_meeting_0.pdf
55th SEC,2026-01-28,Kamrup,1775.0,SDMF,55.12,Annexure III,Protection of Anand Nagar area from landslide hazard,Annexure III (p12-24),55th_sec_meeting_0.pdf
55th SEC,2026-01-28,Darrang,1256.0,SDMF,55.12,Annexure III,Protection of Rangagarh Pathar to Ghiladhar Road from flood damages,Annexure III (p12-24),55th_sec_meeting_0.pdf
55th SEC,2026-01-28,Lakhimpur,495.03,SDMF,55.12,Annexure III,Improvement of Road from NH-15 Thekeraguri to Da Mati Sonapur,Annexure III (p12-24),55th_sec_meeting_0.pdf
55th SEC,2026-01-28,Lakhimpur,186.7,SDMF,55.12,Annexure III,Improvement of Road Sri Sri Basudev Than to Nagpore with RCC Box Cell Culvert,Annexure III (p12-24),55th_sec_meeting_0.pdf
55th SEC,2026-01-28,Lakhimpur,228.994,SDMF,55.12,Annexure III,Improvement of road SH-42 Ghilamara Dhakuakhana Road,Annexure III (p12-24),55th_sec_meeting_0.pdf
55th SEC,2026-01-28,Lakhimpur,419.09,SDMF,55.12,Annexure III,Improvement of Road from Charikaria Bridge to Sankardev Path,Annexure III (p12-24),55th_sec_meeting_0.pdf
55th SEC,2026-01-28,Lakhimpur,491.76,SDMF,55.12,Annexure III,Integrated Slope-Stabilized Road Improvement Katharbari to KhajuaPatir Tiniali,Annexure III (p12-24),55th_sec_meeting_0.pdf
55th SEC,2026-01-28,Lakhimpur,371.732,SDMF,55.12,Annexure III,Improvement of Road from SH-42 to Joy Sagar Beel,Annexure III (p12-24),55th_sec_meeting_0.pdf
55th SEC,2026-01-28,Lakhimpur,359.62,SDMF,55.12,Annexure III,Strengthening road over Brahmaputra Dyke Tekeliphuta to Lutachur,Annexure III (p12-24),55th_sec_meeting_0.pdf
