,district,total_amount
7,Udalguri,16334852.194
1,Charaideo,14852100.0
5,Majuli,553.35
3,Karbi Anglong,16.43
4,Kokrajhar,14.566
6,Morigaon,9.5
2,Darrang,4.0
0,Barpeta,3.99471
