meeting_no,date,district,amount_lakhs,fund_type,section,annexure,reason,page_ref,source_pdf
51st SEC,2024-10-01,Sivsagar,927.14,SDMF,51.7,Annexure III,Cleaning of Jamuna canal around Sivasagar Borpukhuri,Annexure III table,51th_sec_meeting_0.pdf
51st SEC,2024-10-01,Golaghat,1200.0,SDMF,51.7,Annexure III,Flood mitigation at Chowdangpathar by dredging Ghiladhari river and silt trap basin,Annexure III table,51th_sec_meeting_0.pdf
51st SEC,2024-10-01,Golaghat,220.0,SDMF,51.7,Annexure III,Dhansiri river bank anti erosion at Dhansiripar Koiborta No.1,Annexure III table,51th_sec_meeting_0.pdf
51st SEC,2024-10-01,Golaghat,220.0,SDMF,51.7,Annexure III,Gelabill river bank anti erosion at Kanfola Bhokot,Annexure III table,51th_sec_meeting_0.pdf
51st SEC,2024-10-01,Golaghat,86.78,SDMF,51.7,Annexure III,Kohora river bank anti erosion near Sankardev Sishu Niketan,Annexure III table,51th_sec_meeting_0.pdf
51st SEC,2024-10-01,Golaghat,200.0,SDMF,51.7,Annexure III,Doigurung river bank anti erosion at Ponkiel,Annexure III table,51th_sec_meeting_0.pdf
51st SEC,2024-10-01,Sonitpur,190.0,SDMF,51.7,Annexure III,Gahigaon water harvesting cum distribution (vegetative/engineering),Annexure III table,51th_sec_meeting_0.pdf
51st SEC,2024-10-01,Tamulpur,203.72,SDMF,51.7,Annexure III,Mitigation of pluvial flood and erosion at Uttar Karipara village,Annexure III table,51th_sec_meeting_0.pdf
51st SEC,2024-10-01,Dhemaji,78.732,SDMF,51.7,Annexure III,Re-direction of stream at Golighat Pather of Depi river,Annexure III table,51th_sec_meeting_0.pdf
51st SEC,2024-10-01,Dhemaji,227.0,SDMF,51.7,Annexure III,Re-direction of stream at Nahor Nalla,Annexure III table,51th_sec_meeting_0.pdf
51st SEC,2024-10-01,Dhemaji,121.0,SDMF,51.7,Annexure III,Re-direction of stream at Tengani river,Annexure III table,51th_sec_meeting_0.pdf
51st SEC,2024-10-01,Majuli,20.7031,SDMF,51.7,Annexure III,Heritage Risk Mgmt for cultural continuity (Mask & Pottery),Annexure III table,51th_sec_meeting_0.pdf
51st SEC,2024-10-01,Udalguri,15.0,SDMF,51.7,Annexure III,Erosion protection at Chainage 9000 m of B1M canal (Dhansiri IP),Annexure III table,51th_sec_meeting_0.pdf
51st SEC,2024-10-01,Udalguri,45.0,SDMF,51.7,Annexure III,Erosion protection at Chainage 9900 m & silt clearance of B1M canal,Annexure III table,51th_sec_meeting_0.pdf
51st SEC,2024-10-01,Udalguri,74.0,SDMF,51.7,Annexure III,Erosion at D/S Guide Bund and upstream embankment at Pagla FIS,Annexure III table,51th_sec_meeting_0.pdf
51st SEC,2024-10-01,Udalguri,50.38,SDMF,51.7,Annexure III,Erosion of left guide bund and de-siltation of Phuluguri FIS,Annexure III table,51th_sec_meeting_0.pdf
51st SEC,2024-10-01,Udalguri,64.95,SDMF,51.7,Annexure III,Erosion protection at D/S Guide Bund of Dhalapara Bhergaon FIS,Annexure III table,51th_sec_meeting_0.pdf
51st SEC,2024-10-01,Udalguri,133.92,SDMF,51.7,Annexure III,Protection work at Daisam FIS,Annexure III table,51th_sec_meeting_0.pdf
51st SEC,2024-10-01,Udalguri,97.49,SDMF,51.7,Annexure III,Improvement of canal protection at Nepalpara FIS,Annexure III table,51th_sec_meeting_0.pdf
51st SEC,2024-10-01,Kamrup,454.5,SDMF,51.7,Annexure III,Supply & installation of solar-powered mobile lift irrigation scheme (3HP),Annexure III table,51th_sec_meeting_0.pdf
51st SEC,2024-10-01,Nalbari,118.9322,SDRF,51.10,Annexure IV,"Immediate restoration of HT/LT lines, poles and transformers damaged by storms (10 schemes under Nalbari Electrical Division)",Annexure IV total,51th_sec_meeting_0.pdf
51st SEC,2024-10-01,Golaghat,65.0,SDRF,51.11,Annexure V,Temporary repairing of 26 flood-damaged Anganwadi Centres,Annexure V total,51th_sec_meeting_0.pdf
