district,total_amount,date
Barpeta,3.99471,2025-10-09
Charaideo,24865896.2,2025-10-09
Darrang,4.0,2025-10-09
Karbi Anglong,16.43,2025-10-09
Kokrajhar,14.566,2025-10-09
Majuli,553.35,2025-10-09
Morigaon,9.5,2025-10-09
Udalguri,26401722.873999998,2025-10-09
