meeting_no,date,district,source_pdf,total_amount_lakhs,entries,fund_types_included
52nd SEC,2025-02-03,Charaideo,52nd_sec_meeting.pdf,25.0927,1,SDRF
52nd SEC,2025-02-03,Dibrugarh,52nd_sec_meeting.pdf,7678.0,1,NDMF_DPR
52nd SEC,2025-02-03,Golaghat,52nd_sec_meeting.pdf,12108.0,4,NDMF_DPR
52nd SEC,2025-02-03,Jorhat,52nd_sec_meeting.pdf,19341.0,4,NDMF_DPR
52nd SEC,2025-02-03,Kamrup (Rural),52nd_sec_meeting.pdf,4560.0,1,NDMF_DPR
52nd SEC,2025-02-03,Majuli,52nd_sec_meeting.pdf,1757.0,1,NDMF_DPR
52nd SEC,2025-02-03,Morigaon,52nd_sec_meeting.pdf,3600.0,1,NDMF_DPR
52nd SEC,2025-02-03,Sivasagar,52nd_sec_meeting.pdf,3254.0,1,NDMF_DPR
52nd SEC,2025-02-03,Sonitpur,52nd_sec_meeting.pdf,6683.0,2,NDMF_DPR
52nd SEC,2025-02-03,Tinsukia,52nd_sec_meeting.pdf,4502.0,1,NDMF_DPR
