meeting_no,date,district,source_pdf,total_amount_lakhs,entries,fund_types_included
54th SEC,2025-10-09,Barpeta,54th_sec_meeting.pdf,3.99471,1,SDRF
54th SEC,2025-10-09,Cachar,54th_sec_meeting.pdf,14.12913,1,GR-Flood
54th SEC,2025-10-09,Darrang,54th_sec_meeting.pdf,4.0,2,SDRF
54th SEC,2025-10-09,Dhemaji,54th_sec_meeting.pdf,11.54,4,SDRF
54th SEC,2025-10-09,Karbi Anglong,54th_sec_meeting.pdf,16.43,1,SDRF
54th SEC,2025-10-09,Kamrup,54th_sec_meeting.pdf,42.78,18,SDRF
54th SEC,2025-10-09,Kokrajhar,54th_sec_meeting.pdf,14.566,1,SDRF
54th SEC,2025-10-09,Lakhimpur,54th_sec_meeting.pdf,13.08,9,SDRF
54th SEC,2025-10-09,Majuli,54th_sec_meeting.pdf,553.35,1,SDRF
54th SEC,2025-10-09,Morigaon,54th_sec_meeting.pdf,9.5,6,SDRF
54th SEC,2025-10-09,Udalguri,54th_sec_meeting.pdf,12.194,1,SDRF
