meeting_no,date,district,amount_lakhs,fund_type,section,annexure,reason,page_ref,source_pdf
52nd SEC,2025-02-03,Sonitpur,569.0,NDMF_DPR,52.3,Annexure II,Capacity augmentation of Mansiri Wetland for flood regulation,Annexure II list,52nd_sec_meeting.pdf
52nd SEC,2025-02-03,Sonitpur,6114.0,NDMF_DPR,52.3,Annexure II,Capacity augmentation of Morabharali,Annexure II list,52nd_sec_meeting.pdf
52nd SEC,2025-02-03,Jorhat,3393.0,NDMF_DPR,52.3,Annexure II,Augmentation of Nanai Beel for flood regulation of Baghjan river,Annexure II list,52nd_sec_meeting.pdf
52nd SEC,2025-02-03,Jorhat,7170.999999999999,NDMF_DPR,52.3,Annexure II,Augmentation of Jelengitup Chinamornigarh Wetland,Annexure II list,52nd_sec_meeting.pdf
52nd SEC,2025-02-03,Jorhat,6627.0,NDMF_DPR,52.3,Annexure II,Capacity augmentation of Dorikamari Wetland for Flood Regulation of Bhogdoi,Annexure II list,52nd_sec_meeting.pdf
52nd SEC,2025-02-03,Jorhat,2150.0,NDMF_DPR,52.3,Annexure II,Augmentation of Kawoimari Beel,Annexure II list,52nd_sec_meeting.pdf
52nd SEC,2025-02-03,Golaghat,2515.0,NDMF_DPR,52.3,Annexure II,Wetland Storage Reservoir at Ghuramora Wetland,Annexure II list,52nd_sec_meeting.pdf
52nd SEC,2025-02-03,Golaghat,3871.0,NDMF_DPR,52.3,Annexure II,Wetland Storage Reservoir at Sankar Wetland,Annexure II list,52nd_sec_meeting.pdf
52nd SEC,2025-02-03,Golaghat,3135.0,NDMF_DPR,52.3,Annexure II,Wetland Storage Reservoir at Mer-Kolaboria Wetlands,Annexure II list,52nd_sec_meeting.pdf
52nd SEC,2025-02-03,Golaghat,2587.0,NDMF_DPR,52.3,Annexure II,Wetland Storage Reservoir at Borpak Wetland,Annexure II list,52nd_sec_meeting.pdf
52nd SEC,2025-02-03,Sivasagar,3254.0,NDMF_DPR,52.3,Annexure II,Capacity augmentation of Fekalai Wetland,Annexure II list,52nd_sec_meeting.pdf
52nd SEC,2025-02-03,Dibrugarh,7678.0,NDMF_DPR,52.3,Annexure II,Capacity Augmentation of Maijan Wetland upstream of Dibrugarh Town,Annexure II list,52nd_sec_meeting.pdf
52nd SEC,2025-02-03,Majuli,1757.0,NDMF_DPR,52.3,Annexure II,Capacity augmentation of Wetland Storage Reservoir at Vokoti for Tuni river mitigation,Annexure II list,52nd_sec_meeting.pdf
52nd SEC,2025-02-03,Tinsukia,4502.0,NDMF_DPR,52.3,Annexure II,Rejuvenation near Gurungbasti at Sadiya on the right bank of River Kundil,Annexure II list,52nd_sec_meeting.pdf
52nd SEC,2025-02-03,Morigaon,3600.0,NDMF_DPR,52.3,Annexure II,Capacity augmentation of Morisutitup Beel,Annexure II list,52nd_sec_meeting.pdf
52nd SEC,2025-02-03,Kamrup (Rural),4560.0,NDMF_DPR,52.3,Annexure II,Capacity augmentation of Wetland area at Garjan for Puthimari River,Annexure II list,52nd_sec_meeting.pdf
52nd SEC,2025-02-03,Charaideo,25.0927,SDRF,52.7,Annexure IV,"Immediate restoration of LT lines, poles and transformers (5 schemes)",Annexure IV list & total,52nd_sec_meeting.pdf
