district,amount,reference,reason,date
Charaideo,14852100.0,Annexure VI (Power SDRF).,SDRF: Power Dept restoration approvals,2025-10-09
Udalguri,16334840.0,Annexure VI (Power SDRF).,SDRF: Power Dept restoration approvals,2025-10-09
Kokrajhar,14.566,Annexure III (Schools SDRF). p.17,SDRF: repair/restoration of flood/storm damaged schools,2025-10-09
Karbi Anglong,16.43,Annexure III (Schools SDRF). p.17,SDRF: repair/restoration of flood/storm damaged schools,2025-10-09
Udalguri,12.194,Annexure III (Schools SDRF). p.17,SDRF: repair/restoration of flood/storm damaged schools,2025-10-09
Darrang,4.0,Annexure IV (Irrigation SDRF).,SDRF: Irrigation flood damage restoration,2025-10-09
Morigaon,9.5,Annexure IV (Irrigation SDRF).,SDRF: Irrigation flood damage restoration,2025-10-09
Barpeta,3.99471,Para 54.11 (Officers' Club renovation). p.3,SDRF: renovation of Officers' Club to accommodate NDRF team during flood 2023,2025-10-09
Majuli,553.35,Para 54.12 (WRD projects under SDRF 2022-23). p.3,SDRF: ex-post facto approval for three WRD projects,2025-10-09
