meeting_no,date,District,source_pdf,total_amount_lakhs,entries,fund_types_included,timeperiod,SDRF_funding_lakhs
44th SEC,2022-01-11,Baksa,44th_sec_meeting.pdf,11.7282,4,SDRF,2022_01,11.7282
44th SEC,2022-01-11,Barpeta,44th_sec_meeting.pdf,53.619,28,SDRF,2022_01,53.619
44th SEC,2022-01-11,Bongaigaon,44th_sec_meeting.pdf,333.212,52,SDRF,2022_01,333.212
44th SEC,2022-01-11,Cachar,44th_sec_meeting.pdf,80.0,1,SDRF,2022_01,80.0
44th SEC,2022-01-11,Charaideo,44th_sec_meeting.pdf,14.95,1,SDRF,2022_01,14.95
44th SEC,2022-01-11,Dima Hasao,44th_sec_meeting.pdf,147.32,3,SDRF,2022_01,147.32
44th SEC,2022-01-11,Goalpara,44th_sec_meeting.pdf,323.197,20,SDRF,2022_01,323.197
44th SEC,2022-01-11,Karimganj,44th_sec_meeting.pdf,7.45,2,SDRF,2022_01,7.45
44th SEC,2022-01-11,Kokrajhar,44th_sec_meeting.pdf,81.74000000000001,4,SDRF,2022_01,81.74000000000001
44th SEC,2022-01-11,Lakhimpur,44th_sec_meeting.pdf,119.539,9,SDRF,2022_01,119.539
44th SEC,2022-01-11,Majuli,44th_sec_meeting.pdf,224.35,1,SDRF,2022_01,224.35
44th SEC,2022-01-11,Morigaon,44th_sec_meeting.pdf,189.649,9,SDRF,2022_01,189.649
44th SEC,2022-01-11,Nalbari,44th_sec_meeting.pdf,77.63,2,SDRF,2022_01,77.63
44th SEC,2022-01-11,Udalguri,44th_sec_meeting.pdf,109.83,3,SDRF,2022_01,109.83
45th SEC,2022-03-23,Baksa,45th_sec_meeting.pdf,873.0,5,SDRF,2022_03,873.0
45th SEC,2022-03-23,Barpeta,45th_sec_meeting.pdf,1217.3604,61,SDRF,2022_03,1217.3604
45th SEC,2022-03-23,Biswanath,45th_sec_meeting.pdf,170.0,2,SDRF,2022_03,170.0
45th SEC,2022-03-23,Bongaigaon,45th_sec_meeting.pdf,498.4572,55,SDRF,2022_03,498.4572
45th SEC,2022-03-23,Cachar,45th_sec_meeting.pdf,563.0,4,SDRF,2022_03,563.0
45th SEC,2022-03-23,Charaideo,45th_sec_meeting.pdf,82.62,1,SDRF,2022_03,82.62
45th SEC,2022-03-23,Chirang,45th_sec_meeting.pdf,1287.34,17,SDRF,2022_03,1287.34
45th SEC,2022-03-23,Darrang,45th_sec_meeting.pdf,300.0,2,SDRF,2022_03,300.0
45th SEC,2022-03-23,Dhemaji,45th_sec_meeting.pdf,983.2914,44,SDRF,2022_03,983.2914
45th SEC,2022-03-23,Dhubri,45th_sec_meeting.pdf,2838.1875,79,SDRF,2022_03,2838.1875
45th SEC,2022-03-23,Dibrugarh,45th_sec_meeting.pdf,3116.94,17,SDRF,2022_03,3116.94
45th SEC,2022-03-23,Goalpara,45th_sec_meeting.pdf,423.5,4,SDRF,2022_03,423.5
45th SEC,2022-03-23,Golaghat,45th_sec_meeting.pdf,352.8,5,SDRF,2022_03,352.8
45th SEC,2022-03-23,Jorhat,45th_sec_meeting.pdf,622.62,10,SDRF,2022_03,622.62
45th SEC,2022-03-23,Kamrup,45th_sec_meeting.pdf,787.88,5,SDRF,2022_03,787.88
45th SEC,2022-03-23,Karimganj,45th_sec_meeting.pdf,210.0,1,SDRF,2022_03,210.0
45th SEC,2022-03-23,Kokrajhar,45th_sec_meeting.pdf,3552.644,56,SDRF,2022_03,3552.644
45th SEC,2022-03-23,Lakhimpur,45th_sec_meeting.pdf,250.0,1,SDRF,2022_03,250.0
45th SEC,2022-03-23,Nagaon,45th_sec_meeting.pdf,853.94,8,SDRF,2022_03,853.94
45th SEC,2022-03-23,Nalbari,45th_sec_meeting.pdf,48.76,5,SDRF,2022_03,48.76
45th SEC,2022-03-23,Sivsagar,45th_sec_meeting.pdf,455.213,4,SDRF,2022_03,455.213
45th SEC,2022-03-23,Sonitpur,45th_sec_meeting.pdf,867.798,7,SDRF,2022_03,867.798
45th SEC,2022-03-23,Udalguri,45th_sec_meeting.pdf,81.261,5,SDRF,2022_03,81.261
46th SEC,2022-11-04,Barpeta,46th_sec_meeting.pdf,239.135,1,SDRF,2022_11,239.135
46th SEC,2022-11-04,Bongaigaon,46th_sec_meeting.pdf,132.96,1,SDRF,2022_11,132.96
46th SEC,2022-11-04,Chirang,46th_sec_meeting.pdf,175.45,1,SDRF,2022_11,175.45
46th SEC,2022-11-04,Darrang,46th_sec_meeting.pdf,75.59,1,SDRF,2022_11,75.59
46th SEC,2022-11-04,Goalpara,46th_sec_meeting.pdf,1.9,1,SDRF,2022_11,1.9
46th SEC,2022-11-04,Kamrup,46th_sec_meeting.pdf,35.6,1,SDRF,2022_11,35.6
46th SEC,2022-11-04,Kokrajhar,46th_sec_meeting.pdf,623.97,1,SDRF,2022_11,623.97
46th SEC,2022-11-04,Nagaon,46th_sec_meeting.pdf,433.39,1,SDRF,2022_11,433.39
48th SEC,2023-03-29,Bajali,48_sec_meeting_29.03.2023_0.pdf,1.23,1,SDRF,2023_03,1.23
48th SEC,2023-03-29,Baksa,48_sec_meeting_29.03.2023_0.pdf,3.905,5,SDRF,2023_03,3.905
48th SEC,2023-03-29,Barpeta,48_sec_meeting_29.03.2023_0.pdf,8.5,3,SDRF,2023_03,8.5
48th SEC,2023-03-29,Bongaigaon,48_sec_meeting_29.03.2023_0.pdf,14.0,3,SDRF,2023_03,14.0
48th SEC,2023-03-29,Dhubri,48_sec_meeting_29.03.2023_0.pdf,72.39,18,SDRF,2023_03,72.39
48th SEC,2023-03-29,Kamrup,48_sec_meeting_29.03.2023_0.pdf,1.38,2,SDRF,2023_03,1.38
48th SEC,2023-03-29,Lakhimpur,48_sec_meeting_29.03.2023_0.pdf,59.1648,8,SDRF,2023_03,59.1648
48th SEC,2023-03-29,Nalbari,48_sec_meeting_29.03.2023_0.pdf,3.694,3,SDRF,2023_03,3.694
49th SEC,2023-09-07,Kamrup,49th_sec_meeting_07_09_2023_0.pdf,2123.00767,4,"SDMF,SDRF",2023_09,2123.00767
49th SEC,2023-09-07,Karbi Anglong,49th_sec_meeting_07_09_2023_0.pdf,1.2,1,SDRF,2023_09,1.2
49th SEC,2023-09-07,Kokrajhar,49th_sec_meeting_07_09_2023_0.pdf,2.8,1,SDRF,2023_09,2.8
55th SEC,2026-01-28,Bajali,55th_sec_meeting_0.pdf,2045.124,8,SDMF,2026_01,2045.124
55th SEC,2026-01-28,Baksa,55th_sec_meeting_0.pdf,1185.905,6,SDMF,2026_01,1185.905
55th SEC,2026-01-28,Biswanath,55th_sec_meeting_0.pdf,99.85,1,GR-Flood,2026_01,99.85
55th SEC,2026-01-28,Bongaigaon,55th_sec_meeting_0.pdf,58.133399999999995,5,SDRF,2026_01,58.133399999999995
55th SEC,2026-01-28,Cachar,55th_sec_meeting_0.pdf,15365.13,10,"GR-Flood,SDMF",2026_01,15365.13
55th SEC,2026-01-28,Darrang,55th_sec_meeting_0.pdf,6237.2417,6,"SDMF,SDRF",2026_01,6237.2417
55th SEC,2026-01-28,Dhemaji,55th_sec_meeting_0.pdf,210.503,3,"GR-Cyclone,SDRF",2026_01,210.503
55th SEC,2026-01-28,Dhubri,55th_sec_meeting_0.pdf,605.7841999999999,3,"SDMF,SDRF",2026_01,605.7841999999999
55th SEC,2026-01-28,Dibrugarh,55th_sec_meeting_0.pdf,172.3857,1,SDMF,2026_01,172.3857
55th SEC,2026-01-28,Dima Hasao,55th_sec_meeting_0.pdf,3376.935,6,"GR-Flood,SDMF,SDRF",2026_01,3376.935
55th SEC,2026-01-28,Golaghat,55th_sec_meeting_0.pdf,2094.5855,7,"GR-Flood,SDMF,SDRF",2026_01,2094.5855
55th SEC,2026-01-28,Hailakandi,55th_sec_meeting_0.pdf,587.731,3,"SDMF,SDRF",2026_01,587.731
55th SEC,2026-01-28,Hojai,55th_sec_meeting_0.pdf,11.908,1,SDRF,2026_01,11.908
55th SEC,2026-01-28,Kamrup,55th_sec_meeting_0.pdf,3410.3778,5,"SDMF,SDRF",2026_01,3410.3778
55th SEC,2026-01-28,Kamrup Metro,55th_sec_meeting_0.pdf,16.42,1,GR-Flood,2026_01,16.42
55th SEC,2026-01-28,Karimganj,55th_sec_meeting_0.pdf,540.0,1,SDMF,2026_01,540.0
55th SEC,2026-01-28,Kokrajhar,55th_sec_meeting_0.pdf,5.76,1,SDRF,2026_01,5.76
55th SEC,2026-01-28,Lakhimpur,55th_sec_meeting_0.pdf,2661.619,9,"SDMF,SDRF",2026_01,2661.619
55th SEC,2026-01-28,Majuli,55th_sec_meeting_0.pdf,450.0,2,SDMF,2026_01,450.0
55th SEC,2026-01-28,Morigaon,55th_sec_meeting_0.pdf,24.32,1,SDRF,2026_01,24.32
55th SEC,2026-01-28,Nagaon,55th_sec_meeting_0.pdf,1303.2,4,"SDMF,SDRF",2026_01,1303.2
55th SEC,2026-01-28,Sonitpur,55th_sec_meeting_0.pdf,17.49,1,SDRF,2026_01,17.49
55th SEC,2026-01-28,South Salmara,55th_sec_meeting_0.pdf,1724.05,2,"GR-Flood,SDMF",2026_01,1724.05
55th SEC,2026-01-28,Tamulpur,55th_sec_meeting_0.pdf,509.3,1,SDMF,2026_01,509.3
55th SEC,2026-01-28,Udalguri,55th_sec_meeting_0.pdf,3784.2725,16,"SDMF,SDRF",2026_01,3784.2725
