district,advance_sdrf_allocation,rank
Cachar,1203.1,1
Lakhimpur,1023.9,2
Karimganj,972.9,3
Barpeta,935.2,4
Nagaon,917.4,5
Kamrup,760.9,6
Majuli,682.7,7
Udalguri,630.7,8
Darrang,623.7,9
Dibrugarh,553.8,10
Hojai,552.3,11
Goalpara,531.4,12
Dhubri,529.8,13
Hailakandi,498.7,14
Nalbari,483.9,15
Sivasagar,468.5,16
Karbi,444.9,17
Morigaon,432.1,18
Biswanath,424.0,19
Kokrajhar,402.6,20
South,400.5,21
Tinsukia,391.8,22
Dhemaji,390.7,23
Charaideo,386.9,24
Bongaigaon,363.7,25
Golaghat,346.8,26
Sonitpur,341.9,27
Baksa,331.6,28
Chirang,325.6,29
Jorhat,320.6,30
Bajali,300.7,31
Dimahasao,298.2,32
Tamulpur,280.7,33
