meeting_no,timeperiod,District,source_pdf,SDRF funding,entries,fund_types_included
51st SEC,2024_10,DHEMAJI,51th_sec_meeting_0.pdf,42673200.0,3,SDMF
51st SEC,2024_10,GOLAGHAT,51th_sec_meeting_0.pdf,199178000.0,6,"SDMF,SDRF"
51st SEC,2024_10,KAMRUP METRO,51th_sec_meeting_0.pdf,45450000.0,1,SDMF
51st SEC,2024_10,MAJULI,51th_sec_meeting_0.pdf,2070310.0,1,SDMF
51st SEC,2024_10,NALBARI,51th_sec_meeting_0.pdf,11893220.0,1,SDRF
51st SEC,2024_10,SIVSAGAR,51th_sec_meeting_0.pdf,92714000.0,1,SDMF
51st SEC,2024_10,SONITPUR,51th_sec_meeting_0.pdf,19000000.0,1,SDMF
51st SEC,2024_10,TAMULPUR,51th_sec_meeting_0.pdf,20372000.0,1,SDMF
51st SEC,2024_10,UDALGURI,51th_sec_meeting_0.pdf,48074000.0,7,SDMF
52nd SEC,2025_02,CHARAIDEO,52nd_sec_meeting.pdf,2509270.0,1,SDRF
52nd SEC,2025_02,DIBRUGARH,52nd_sec_meeting.pdf,767800000.0,1,NDMF_DPR
52nd SEC,2025_02,GOLAGHAT,52nd_sec_meeting.pdf,1210800000.0,4,NDMF_DPR
52nd SEC,2025_02,JORHAT,52nd_sec_meeting.pdf,1934100000.0,4,NDMF_DPR
52nd SEC,2025_02,KAMRUP,52nd_sec_meeting.pdf,456000000.0,1,NDMF_DPR
52nd SEC,2025_02,MAJULI,52nd_sec_meeting.pdf,175700000.0,1,NDMF_DPR
52nd SEC,2025_02,MORIGAON,52nd_sec_meeting.pdf,360000000.0,1,NDMF_DPR
52nd SEC,2025_02,SIVASAGAR,52nd_sec_meeting.pdf,325400000.0,1,NDMF_DPR
52nd SEC,2025_02,SONITPUR,52nd_sec_meeting.pdf,668300000.0,2,NDMF_DPR
52nd SEC,2025_02,TINSUKIA,52nd_sec_meeting.pdf,450200000.0,1,NDMF_DPR
53rd SEC,2025_04,DHUBRI,53rd_sec_meeting_2.pdf,7200000.0,3,SDRF
