S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,267747.0,VERSHA TECHNOTRADE PVT LTD,INR,"144,160,600",Technical,Summary,ABIDUR RAHMAN,09-May-2025 06:05 PM,technical_70208.pdf,Public Works Building and NH Department||Chief Engineer-Building - PWBNH,2025_PWBNH_44010_14,"CE/TB-VI/ RIDF- XXX/ 1 /2024/ 13 Dated Guwahati the 4th March, 2025","Construction of 126 Secondary Schools in 35 Districts of Assam under RIDF-XXX (2024-25) for (i) Barpathar High School, Bokajan under Karbi Anglong DTBD (ii) BKB,Parkup Pahar High School, Rongmongve under Karbi Anglong DTBD (Gr-66)",CE PWD(Bldg),Internal,,ABIDUR RAHMAN,20-Nov-2025 10:21 AM,finsummary_70208.pdf (1162.17 KB),CE PWD(Bldg),Internal,,ABIDUR RAHMAN,19-Jun-2025 11:25 PM,20-Jun-2025 09:00 AM,techsummary_70208.pdf (2894.00 KB),Finance,Summary,Chandana Basumatary,20-Jun-2025 11:44 AM,finance_70208.pdf,BOQ Comparative Chart,20-Nov-2025,"INR 144,160,600",730.0,ABIDUR RAHMAN,20-Nov-2025 10:29 AM,WOGR66.pdf (1162.00 KB),1,267890,DHANUKA CONSTRUCTION,08-May-2025 04:22 PM,Rejected-Technical,Non-Responsive,19-Jun-2025 11:25 PM,AOC,"CE, PWD(B), H AND E, Assam, Chandmari, Ghy-3","O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3",1.0,SBI Bank,Public Works Building and NH Department||Chief Engineer-Building - PWBNH,"CE/TB-VI/ RIDF- XXX/ 1 /2024/ 13 Dated Guwahati the 4th March, 2025",2025_PWBNH_44010_14,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"29,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,BID COST_BID SECURITY,1.0,2nd Extension Notice,Date,,"Construction of 126 Secondary Schools in 35 Districts of Assam under RIDF-XXX (2024-25) for (i) Barpathar High School, Bokajan under Karbi Anglong DTBD (ii) BKB,Parkup Pahar High School, Rongmongve under Karbi Anglong DTBD (Gr-66)","Construction of 126 Secondary Schools in 35 Districts of Assam under RIDF-XXX (2024-25) for (i) Barpathar High School, Bokajan under Karbi Anglong DTBD (ii) BKB,Parkup Pahar High School, Rongmongve under Karbi Anglong DTBD (Gr-66)",Please refer Tender documents. ,NA ,"14,43,70,000",Civil Works - Building,NA ,Tender,180.0,730.0,Karbi Anglong,782460.0,"O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3 ","O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3 ",09-Apr-2025 11:00 AM ,"O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3",No ,No,08-Apr-2025 03:00 PM,09-May-2025 03:00 PM,08-Apr-2025 03:00 PM,09-May-2025 02:00 PM,NA ,NA ,08-Apr-2025 03:00 PM,09-May-2025 02:00 PM,20-Jun-2025 09:00 AM,"28,87,400",Yes,percentage,2.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,267886,JOHN MILLIK,09-May-2025 11:35 AM,Rejected-Technical,Non-Responsive,19-Jun-2025 11:25 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,BIDDING DOCUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,267894,M/S ELITE AGENCY,08-May-2025 02:18 PM,Rejected-Technical,Non-Responsive,19-Jun-2025 11:25 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TECHNICAL QUALIFICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,267633,M/s Macrocosm Builders,09-May-2025 12:38 PM,Rejected-AOC,L2,20-Nov-2025 10:30 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,268032,Power Tools and Engineering,09-May-2025 12:24 PM,Rejected-Technical,Non-Responsive,19-Jun-2025 11:25 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,APPENDIX-IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,267747,VERSHA TECHNOTRADE PVT LTD,09-May-2025 01:57 PM,Accepted-AOC,Work Order Issued,20-Nov-2025 10:30 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
