Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"Construction of ST Girls Hostel for 10 district of Assam under Article 275(1) of the Constitution of India during the year 2024-25 (Tamulpur Degree College, Baregaon, Tamulpur)","Construction of ST Girls Hostel for 10 district of Assam under Article 275(1) of the Constitution of India during the year 2024-25 (Tamulpur Degree College, Baregaon, Tamulpur)",Please refer to tender document ,NA ,"1,00,00,000",Civil Works,NA ,Tender,120.0,360.0,"Tamulpur Degree College, Baregaon, Tamulpu",781367.0,"Managing Director, APTDC Ltd., Ga ","Office of the Managing Director, APTDC Ltd., Ganeshguri, Guwahati  ",14-Aug-2025 11:00 AM ,"Managing Director, APTDC Ltd., Ga",No ,No,"2,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Technical Qualification,13-Aug-2025 04:45 PM,25-Aug-2025 03:00 PM,13-Aug-2025 05:00 PM,25-Aug-2025 02:00 PM,NA ,NA ,13-Aug-2025 05:00 PM,25-Aug-2025 02:00 PM,08-Oct-2025 03:40 PM,"2,00,000",Yes,percentage,2.0%,Nil,Nil,Managing Director,"Office of the Managing Director, APTDC Ltd., Ganeshguri, Guwahati",1.0,SBI Bank,Welfare of Plain Tribes and Backward Classes||Director - WPT and BC||Assam Plains Tribes Development Corporation Ltd.,PTDC/Engg/2024-25/382(D),2025_WPTBC_46387_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC,Managing Director,Internal,,Jeena Gabison Ahmed,08-Oct-2025 03:38 PM,08-Oct-2025 03:40 PM,techsummary_73967.pdf (1078.00 KB),1.0,277933.0,SHIV CONSTRUCTION CO,INR,"10,000,000",Welfare of Plain Tribes and Backward Classes||Director - WPT and BC||Assam Plains Tribes Development Corporation Ltd.,2025_WPTBC_46387_1,PTDC/Engg/2024-25/382(D),"Construction of ST Girls Hostel for 10 district of Assam under Article 275(1) of the Constitution of India during the year 2024-25 (Tamulpur Degree College, Baregaon, Tamulpur)",Finance,Financial bid has been opened,Dipak Kumar Gayary,08-Oct-2025 03:54 PM,,BOQ Comparative Chart,Technical,Technical bid has been opened.,Dipak Kumar Gayary,28-Aug-2025 06:14 PM,,1.0,277938.0,Dilip Kumar Bora,23-Aug-2025 03:18 PM,Rejected-AOC,Not Awarded,01-Nov-2025 04:04 PM,01-Nov-2025,"INR 10,000,000",360.0,Jeena Gabison Ahmed,01-Nov-2025 04:04 PM,AocTamulpur.pdf (1239.00 KB),AOC,Managing Director,Internal,,Jeena Gabison Ahmed,01-Nov-2025 04:01 PM,finsummary_73967.pdf (1239.32 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,277933.0,SHIV CONSTRUCTION CO,23-Aug-2025 03:03 PM,Accepted-AOC,Awarded,01-Nov-2025 04:04 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
