Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Assam Power Distribution Company Ltd||CGM(PP and D) - APDCL,2025_APDCL_45252_1,CGMPPD_APDCL_Mangaldoi_DSS,Supply and Installation of 33 and 11kV Terminal Equipments at Rowta and Dipila DSS,1.0,272673.0,RAJEEB ELECTRICALS,INR,"9,320,000.12",CGMPPD,Internal,,Dulu Barman,25-Sep-2025 02:06 PM,25-Sep-2025 03:00 PM,techsummary_71629.pdf (354.27 KB),10-Nov-2025,"INR 9,320,000.12",180.0,Dulu Barman,10-Nov-2025 03:58 PM,LOA_Mangaldoi.pdf (5244.00 KB),Letter of Award,CGMPPD,Internal,,Dulu Barman,10-Nov-2025 03:52 PM,finsummary_71629.pdf (318.04 KB),1,272696,J.B. Engineers & Associates,22-Jul-2025 03:30 PM,Rejected-Finance,Rejected during Financial Evaluation,10-Nov-2025 03:52 PM,Technical,Bid Summary,Dulu Barman,25-Sep-2025 02:03 PM,technical_71629.pdf,Finance,Bid summary,Dulu Barman,10-Nov-2025 03:48 PM,finance_71629.pdf,BOQ Comparative Chart,AOC,"5,000",Nil,Nil,No,Assam Power Distribution Company Ltd||CGM(PP and D) - APDCL,CGMPPD_APDCL_Mangaldoi_DSS,2025_APDCL_45252_1,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.rar,Technical Documents,"2,00,000",No,fixed,,Nil,Nil,CGMPP_D,CGMPP_D Bijulee Bhawan 6th floor Paltanbazar,02-Jul-2025 10:00 AM,25-Jul-2025 02:00 PM,02-Jul-2025 12:00 PM,23-Jul-2025 12:00 PM,02-Jul-2025 12:00 PM ,05-Jul-2025 05:00 PM ,09-Jul-2025 02:00 PM,23-Jul-2025 12:00 PM,25-Sep-2025 03:00 PM,1.0,SBI Bank,Supply and Installation of 33 and 11kV Terminal Equipments at Rowta and Dipila DSS,Supply and Installation of 33kV and 11kV Terminal Equipments at Rowta and Dipila DSS,Please refer Tender documents. ,NA ,"93,26,361",Electrical Works,NA ,Tender,180.0,NA ,Mangaldoi,784509.0,CGMPP_D Bijulee Bhawan 6th floor ,CGMPP_D Bijulee Bhawan 6th floor Paltanbazar ,07-Jul-2025 12:00 PM ,CGMPP_D Bijulee Bhawan 6th floor APDCL,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,272673,RAJEEB ELECTRICALS,22-Jul-2025 01:55 PM,Accepted-AOC,Awarded the work with the approval of TPC-I,10-Nov-2025 03:58 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial doc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,272666,SINGHI INFRAPOWER PROJECTS PRIVATE LIMITED,23-Jul-2025 10:42 AM,Rejected-Finance,Rejected during Financial Evaluation,10-Nov-2025 03:52 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
