Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Secretary ASSEB,Assam state School Education Board Division I Bamunimaidam Guwahati 21,"2,000",Nil,Nil,No,11-Aug-2025 03:00 PM,04-Sep-2025 12:00 PM,12-Aug-2025 11:00 AM,01-Sep-2025 02:00 PM,NA ,NA ,22-Aug-2025 11:00 AM,01-Sep-2025 02:00 PM,17-Oct-2025 04:15 PM,"2,00,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Technical,RENOVATION OF ASSEB DIVISION-I OFFICE BUILDING,"Propose Renovation of ASSEB (Div.-I) Office Building at Bamunimaidam, Guwahati - 21, Assam",Please refer Tender documents. ,NA ,"1,04,00,000",Civil Works,NA ,Tender,90.0,90.0,Bamunimaidam Guwahati,781021.0,NA ,NA ,NA ,Bamunimaidam Guwahati,No ,No,1.0,SBI Bank,SECONDARY EDUCATION DEPARTMENT ASSAM||Board of Secondary Education Assam,ASSEBDIEOROB20250507,2025_SE_46285_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,AOC,12-Nov-2025,"INR 8,081,000",90.0,Abhijit Saloi,18-Nov-2025 12:31 PM,WorkOrderDarshan.pdf (424.00 KB),Work Order,Technical,Bid opening summary,Abhijit Saloi,09-Sep-2025 02:12 PM,technical_73844.pdf,1,278245,Arsiddh Infraprojects,30-Aug-2025 11:59 AM,Rejected-AOC,Valid,18-Nov-2025 12:32 PM,Finance,Bid Opening Summary,Abhijit Saloi,31-Oct-2025 01:39 PM,finance_73844.pdf,BOQ Comparative Chart,NN NATH,Internal,ABHIJIT SALOI BINOY K MISRA SOBHAN KACHARI,Abhijit Saloi,31-Oct-2025 01:45 PM,finsummary_73844.pdf (63.18 KB),1.0,278799.0,M/S DARSHAN,INR,"8,081,000",SECONDARY EDUCATION DEPARTMENT ASSAM||Board of Secondary Education Assam,2025_SE_46285_1,ASSEBDIEOROB20250507,RENOVATION OF ASSEB DIVISION-I OFFICE BUILDING,NN NATH,Internal,ABHIJIT SALOI BINOY K MISHRA SOBHAN KACHARI,Abhijit Saloi,17-Oct-2025 03:57 PM,17-Oct-2025 04:15 PM,techsummary_73844.pdf (718.23 KB),AOC
,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2,279201,DAL THOMS SCIENTIFIC,01-Sep-2025 12:25 PM,Rejected-AOC,Valid,18-Nov-2025 12:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3,279066,KABENDRA DEKA,01-Sep-2025 01:56 PM,Rejected-AOC,Valid,18-Nov-2025 12:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,4,278588,Matrix,01-Sep-2025 12:32 PM,Rejected-Technical,As mentioned in evaluation report,17-Oct-2025 03:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,5,278799,M/S DARSHAN,01-Sep-2025 11:30 AM,Accepted-AOC,Valid,18-Nov-2025 12:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,6,278031,M/S Rajib Boro,30-Aug-2025 02:44 PM,Rejected-Technical,As mentioned in evaluation report,17-Oct-2025 03:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,7,279166,M/S Shass Engineers,01-Sep-2025 11:57 AM,Rejected-AOC,Valid,18-Nov-2025 12:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,8,279044,PALASH MONI GOSWAMI,30-Aug-2025 01:49 PM,Rejected-Technical,As mentioned in evaluation report,17-Oct-2025 03:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,9,278842,Sri Krishna Enterprise,01-Sep-2025 01:44 PM,Rejected-Technical,As mentioned in evaluation report,17-Oct-2025 03:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,10,279176,UTPAL JYOTI KALITA,31-Aug-2025 11:43 PM,Rejected-AOC,Valid,18-Nov-2025 12:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
