Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
"G. C. Rabha, Chairman",Internal,"R. K. Hazarika, Member, B. K. Nath, Member, A. K. Kalita, Member, R. K. Saikia, Member",Apurba Kumar Kalita,15-Oct-2025 05:36 PM,16-Oct-2025 11:15 AM,techsummary_75040.pdf (1122.96 KB),1.0,281628.0,GOPAL DEKA,INR,"3,177,591",Technical,Opening summery,Rajib Kumar Saikia,18-Sep-2025 03:59 PM,technical_75040.pdf,"G. C. Rabha, Chairman",Internal,"R. K. Hazarika, Member, B. K. Nath, Member, A. K. Kalita, Member, R. K. Saikia, Member",Apurba Kumar Kalita,24-Oct-2025 03:29 PM,finsummary_75040.pdf (729.54 KB),Finance,Bid Opening Summery,Apurba Kumar Kalita,24-Oct-2025 03:13 PM,,BOQ Comparative Chart,1,281628,GOPAL DEKA,18-Sep-2025 01:23 PM,Accepted-AOC,L1,01-Nov-2025 05:33 PM,29-Oct-2025,"INR 3,738,342",150.0,Apurba Kumar Kalita,01-Nov-2025 05:33 PM,AOC_Jonai.pdf (329.00 KB),AOC,Industries and Commerce Department||Commissioner Industries and Commerce Assam||Office of the Ex Engineer,2025_ICD_47070_1,EEG/73/79/Pt-I/170-172/513-519 dt 27/08/2025,Construction of Boundary Wall with MS Gate and Upgradation of 2 (two) storied RCC ADCI office Building Jonai Dist Dhemaji,AOC,1.0,Fee/PreQual/Technical,.pdf,Signed Bid Document,EE,EE office Bamunimaidam Ghy-21,1.0,SBI Bank,Construction of Boundary Wall with MS Gate and Upgradation of 2 (two) storied RCC ADCI office Building Jonai Dist Dhemaji,Construction of Boundary Wall with MS Gate and Upgradation of 2 (two) storied RCC ADCI office Building Jonai Dist Dhemaji,Please refer Tender documents. ,NA ,"37,38,342",Civil Works,NA ,Tender,180.0,150.0,ADCI office Jonai Dhemaji,787060.0,NA ,NA ,NA ,EE office Bamunimaidam Ghy-21,No ,No,"1,200",Nil,Nil,No,Industries and Commerce Department||Commissioner Industries and Commerce Assam||Office of the Ex Engineer,EEG/73/79/Pt-I/170-172/513-519 dt 27/08/2025,2025_ICD_47070_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,29-Aug-2025 02:00 PM,18-Sep-2025 03:00 PM,29-Aug-2025 02:00 PM,18-Sep-2025 02:00 PM,29-Aug-2025 02:00 PM ,18-Sep-2025 02:00 PM ,06-Sep-2025 02:00 PM,18-Sep-2025 02:00 PM,16-Oct-2025 11:15 AM,"74,767",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,282272,JINTU MAHANTA,18-Sep-2025 01:43 PM,Rejected-Technical,Refer Minutes,15-Oct-2025 05:36 PM,,,,,,,,,,,,AOC,,,.pdf,Technical Qualification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,282005,MADHU SUDAN BAISHYA,18-Sep-2025 01:15 PM,Rejected-Finance,Refer Minutes,24-Oct-2025 03:29 PM,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,281623,MS UNIQUE CONSTRUCTION AND SUPPLY,16-Sep-2025 05:59 PM,Rejected-Finance,Refer Minutes,24-Oct-2025 03:29 PM,,,,,,,,,,,,AOC,,,.pdf,FOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,281634,Sri Dinesh Goswami,16-Sep-2025 07:04 PM,Rejected-Finance,Refer Minutes,24-Oct-2025 03:29 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
