Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,As Enclosed.,Ratul Goswami,01-Nov-2025 04:28 PM,finance_76338.pdf,BOQ Comparative Chart,1.0,284775.0,M/S. M.P. AGARWALLA,25-Oct-2025 04:01 PM,Accepted-AOC,Accepted as L1 bidder.,04-Nov-2025 02:34 PM,"Syed Muhammad Abdullah,EE,",Internal,"Pallabi Phukon,AE, Prasanta Dutta AO, Kshirode Buragohain,JE.",Ratul Goswami,01-Nov-2025 04:36 PM,finsummary_76338.pdf (400.03 KB),Technical,As enclosed,Ratul Goswami,31-Oct-2025 04:04 PM,technical_76338.pdf,01-Nov-2025,"INR 18,805,003.41",180.0,Ratul Goswami,04-Nov-2025 02:34 PM,LOA.pdf (437.00 KB),LOA,"Syed Muhammad Addullah,EE",Internal,"Pallabi Phukon,AE, Prasanta Dutta,AO, Kshirode Buragohain,JE",Ratul Goswami,31-Oct-2025 04:16 PM,01-Nov-2025 10:00 AM,techsummary_76338.pdf (700.57 KB),1.0,284775.0,M/S. M.P. AGARWALLA,INR,"18,805,003.41",Irrigation Department||Chief Engineer(Major)-Irrigation Dept||Jorhat Circle,2025_ID_47921_1,JC(I)/Tech/E-Tender/2025/88 Dated.09/10/2025,Improvement of Sisupani FIS under SOPD-G for the year 2025-26,AOC,1.0,Fee/PreQual/Technical,.pdf,NIT,"S.E. Jorhat Circle(I), Jorhat.","O/o the S.E. Jorhat Circle(I), Jorhat.","3,76,275",Yes,percentage,2.0%,Nil,Nil,09-Oct-2025 06:00 PM,30-Oct-2025 03:00 PM,10-Oct-2025 02:00 PM,30-Oct-2025 02:00 PM,NA ,NA ,13-Oct-2025 10:00 AM,30-Oct-2025 02:00 PM,01-Nov-2025 10:00 AM,1.0,SBI Bank,"5,000",Nil,Nil,Yes,1,General Certificate ,PAN ,Permanent Account Number ,,Improvement of Sisupani FIS under SOPD-G for the year 2025-26,Improvement of Sisupani FIS under SOPD-G for the year 2025-26,As per SBD ,NA ,"1,88,13,734",Civil Works - Others,FIS ,Tender,180.0,180.0,"Golaghat, Sisupani",785621.0,NA ,NA ,NA ,"O/o the S.E. Jorhat Circle(I), Jorhat.",No ,No,Irrigation Department||Chief Engineer(Major)-Irrigation Dept||Jorhat Circle,JC(I)/Tech/E-Tender/2025/88 Dated.09/10/2025,2025_ID_47921_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,2.0,284778.0,Nirmal Kumar Agarwalla,25-Oct-2025 01:51 PM,Rejected-Technical,Bidder have not submitted any work order of similar nature.(As per clause 3.VII.a.ii),31-Oct-2025 04:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,2,General Certificate ,Goods and Service Tax ,Goods and Service Tax Registration Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,3,General Certificate ,ESIC ,Employees State Insurance Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,General Certificate ,PF ,Providenet Fund Certificates ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,General Certificate ,Company Details ,"Partnership Deed, Co-Operative Society By Law,MOA,Company Registration Certificates,JV Consortium,Year of Incorporation Certificates ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,General Certificate ,Solvency Certificate ,Solvency Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,General Certificate ,Other Certificates ,As Mentioned In The Tender Document ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Machineries ,Machineries Details ,Machineries Details Description ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Manpower ,Manpower Details ,Manpower Details Description ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,P/L and Balance Sheet ,Year 1 ,Y1 Profit and Loss Statement and Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
