S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,268350.0,Buildrite Constructions,INR,"74,992,105",CE PWD(Bldg),Internal,,ABIDUR RAHMAN,15-Nov-2025 04:48 PM,finsummary_70340.pdf (927.83 KB),Technical,Summary,Chandana Basumatary,15-May-2025 05:42 PM,technical_70340.pdf,Public Works Building and NH Department||Chief Engineer-Building - PWBNH,2025_PWBNH_44092_11,"CE/TB-VI/RIDF-XXX/1/2024/17 Dated Guwahati the 17th March, 2025","Construction of 126 Secondary Schools in 35 Districts of Assam under RIDF-XXX (2024-25) for (i) Vidya Niketan High School, Guwahati under Jalukbari,Guwahati CentralTBD (Gr-21)",Finance,Summary,ABIDUR RAHMAN,22-Jul-2025 06:41 PM,finance_70340.pdf,BOQ Comparative Chart,CE PWD(Bldg),Internal,,Chandana Basumatary,22-Jul-2025 06:16 PM,22-Jul-2025 06:20 PM,techsummary_70340.pdf (1137.87 KB),15-Nov-2025,"INR 74,992,105",730.0,ABIDUR RAHMAN,15-Nov-2025 04:51 PM,WOGR21.pdf (928.00 KB),1,268350,Buildrite Constructions,15-May-2025 09:28 AM,Accepted-AOC,Work Order Issued,15-Nov-2025 04:51 PM,AOC,19-Apr-2025 09:00 AM,15-May-2025 03:00 PM,19-Apr-2025 09:00 AM,15-May-2025 02:00 PM,NA ,NA ,19-Apr-2025 09:00 AM,15-May-2025 02:00 PM,22-Jul-2025 06:20 PM,Public Works Building and NH Department||Chief Engineer-Building - PWBNH,"CE/TB-VI/RIDF-XXX/1/2024/17 Dated Guwahati the 17th March, 2025",2025_PWBNH_44092_11,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,BID COST_BID SECURITY,"CE, PWD(Bldg), H and E, Assam, Chandmari, Ghy-3","O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3",1.0,Extension Notice,Date,,"14,500",Nil,Nil,No,1.0,SBI Bank,"14,43,700",Yes,percentage,2.0%,Nil,Nil,"Construction of 126 Secondary Schools in 35 Districts of Assam under RIDF-XXX (2024-25) for (i) Vidya Niketan High School, Guwahati under Jalukbari,Guwahati CentralTBD (Gr-21)","Construction of 126 Secondary Schools in 35 Districts of Assam under RIDF-XXX (2024-25) for (i) Vidya Niketan High School, Guwahati under Jalukbari,Guwahati CentralTBD (Gr-21)",Please refer Tender documents. ,NA ,"7,21,85,000",Civil Works - Building,NA ,Tender,180.0,730.0,JALUKBARI,781028.0,"O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3 ","O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3 ",21-Apr-2025 11:30 AM ,"O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,268311,GANPATI CONSTRUCTION COMPANY,15-May-2025 10:48 AM,Rejected-AOC,L2,15-Nov-2025 04:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,BIDDING DOCUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,267662,Kamal Kumar Modi,15-May-2025 11:18 AM,Rejected-Technical,Non-Responsive,22-Jul-2025 06:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TECHNICAL QUALIFICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,268347,M/S MAHAABALA CONSTRUCTION PVT. LTD.,14-May-2025 09:31 PM,Rejected-Technical,Non-Responsive,22-Jul-2025 06:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,268346,M/S RAJSHEKHAR CONSTRUCTIONS PVT LTD,15-May-2025 12:54 PM,Rejected-Technical,Non-Responsive,22-Jul-2025 06:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,APPENDIX-IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,267845,OM CONSTRUCTION,13-May-2025 10:32 AM,Rejected-Technical,Non-Responsive,22-Jul-2025 06:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
