Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage
Health and Family Welfare Department||Directorate of Medical Education-HFWD||Guwahati Medical College Hospital-HFWD,2025_HFWD_47370_1,MCH/HMS/2025/372/200,"Supply of Equipments/Hand Instruments for Liver Transplant Procedure in GMCH, Guwahati, Assam",Superintendent cum Member Secretary,Internal,,Lipseeta Deka,28-Nov-2025 11:38 AM,finsummary_75616.pdf (13070.63 KB),Technical,Technical bid ahs been open for evaluation,Rupak Jyoti Baishya,10-Oct-2025 05:23 PM,,1.0,283255.0,Patpro Health Connect Private Limited,INR,"1,989,333.84",28-Nov-2025,"INR 22,335,918.29",365.0,Lipseeta Deka,28-Nov-2025 11:45 AM,Apprvdl.pdf (7147.00 KB),Finance,Financial bid has been opened for evaluation,Arun Bikash Hazarika,30-Oct-2025 01:09 PM,,BOQ Comparative Chart,Superintendent cum Member Secretary,Internal,,Rupak Jyoti Baishya,29-Oct-2025 05:58 PM,30-Oct-2025 11:00 AM,techsummary_75616.pdf (10145.30 KB),1.0,283210.0,Biosis Medical Services,02-Oct-2025 03:18 PM,Accepted-AOC,Awarded,28-Nov-2025 11:45 AM,AOC,1.0,SBI Bank,"10,00,000",Yes,fixed,,Nil,Nil,Health and Family Welfare Department||Directorate of Medical Education-HFWD||Guwahati Medical College Hospital-HFWD,MCH/HMS/2025/372/200,2025_HFWD_47370_1,Yes,Open Tender,Item Wise,Goods,2.0,No,Yes,Online,No,No,No,Superintendent cum Member Secretary,"GMCH, Bhangagarh, Guwahati","Supply of Equipments/Hand Instruments for Liver Transplant Procedure in GMCH, Guwahati, Assam","Supply of Equipments/Hand Instruments for Liver Transplant Procedure in GMCH, Guwahati, Assam",Please refer Tender documents. ,NA ,,Laboratory and scientific equipment,NA ,Tender,365.0,365.0,"GMCH, Bhangagarh, Guwahati",781032.0,"Office of the Superintendent, GMCH ","Office of the Superintendent, GMCH ",15-Sep-2025 01:00 PM ,"Office of the Superintendent, GMCH",No ,No,1,Corrigendum notice,BOQ,,"5,000",Nil,Nil,No,09-Sep-2025 05:00 PM,09-Oct-2025 04:00 PM,09-Sep-2025 05:00 PM,09-Oct-2025 02:00 PM,NA ,NA ,22-Sep-2025 04:00 PM,09-Oct-2025 02:00 PM,30-Oct-2025 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Bid document downloaded from the portal,AOC
,,,,,,,,,,,,,,,2.0,283210.0,Biosis Medical Services,INR,"13,341,730.72",,,,,,,,,,,,,,,,,,,,2.0,283255.0,Patpro Health Connect Private Limited,09-Oct-2025 08:46 AM,Accepted-AOC,Awarded,28-Nov-2025 11:45 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Date extension notice,Date,,,,,,,,,,,,,,,,,.pdf,Technical qualification document,AOC
,,,,,,,,,,,,,,,3.0,282697.0,Vishal Surgical Equipment Co. Pvt. Ltd.,INR,"7,004,853.73",,,,,,,,,,,,,,,,,,,,3.0,282697.0,Vishal Surgical Equipment Co. Pvt. Ltd.,08-Oct-2025 12:43 PM,Accepted-AOC,Awarded,28-Nov-2025 11:45 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Fee Corrigendum,Fee,,,,,,,,,,,,,,,2.0,Finance,.xls,Price bid,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Addendum notice,Technical Bid,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Corrigendum notice,Terms and Conditions,,,,,,,,,,,,,,,,,,,AOC
