Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Pr. Chief Conservator of Forest and Head of Forest Force||Assam Project on Forest and Biodiversity Conservation Society (APFBC),2025_PCCF_48296_1,APFBC/Ph-II/RWAB/2025/397/32,"UPGRADATION OF ARANYA BHAWAN, PANJABARI, GUWAHATI",Technical,A total of four bids have been received and are currently under technical evaluation.,Debajit Hazarika,06-Nov-2025 03:22 PM,technical_76799.pdf,"Shri Sunnydeo Indradeo Choudhary, IFS",Internal,,Debajit Hazarika,19-Nov-2025 12:56 PM,finsummary_76799.pdf (280.17 KB),19-Nov-2025,"INR 17,399,800",60.0,Debajit Hazarika,28-Nov-2025 11:37 AM,AOC.pdf (252.00 KB),Finance,The Financial Evaluation is under process.,Debajit Hazarika,10-Nov-2025 12:52 PM,,BOQ Comparative Chart,1.0,285491.0,Sri Krishna Barman,INR,"17,399,800","Shri Sunnydeo Indradeo Choudhary, IFS",Internal,,Sandeep Virmani,08-Nov-2025 11:00 PM,10-Nov-2025 12:30 PM,techsummary_76799.pdf (314.47 KB),1,285615,Airsense,05-Nov-2025 09:55 PM,Rejected-Technical,Bid Evaluation Committee did not find the bid technically qualified,08-Nov-2025 11:00 PM,AOC,1.0,SBI Bank,"3,500",Nil,Nil,No,30-Oct-2025 10:00 AM,06-Nov-2025 03:00 PM,30-Oct-2025 10:00 AM,06-Nov-2025 02:00 PM,NA ,NA ,30-Oct-2025 10:00 AM,06-Nov-2025 02:00 PM,10-Nov-2025 12:30 PM,"4,00,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Essential Technical Qualification Documents,"Project Director, APFBC","3rd Floor, Aranya Bhawan, Near Srimanta Sankaradeva Kalakshetra Panjabari, Guwahati - 781037 Assam",Pr. Chief Conservator of Forest and Head of Forest Force||Assam Project on Forest and Biodiversity Conservation Society (APFBC),APFBC/Ph-II/RWAB/2025/397/32,2025_PCCF_48296_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,"UPGRADATION OF ARANYA BHAWAN, PANJABARI, GUWAHATI","UPGRADATION OF ARANYA BHAWAN, PANJABARI, GUWAHATI",Please refer Tender documents ,NA ,,Civil Works,NA ,Tender,120.0,NA ,"Panjabari, Guwahati",781037.0,NA ,NA ,NA ,"PMU, APFBCS, Aranya Bhawan, Panjabari",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,285500,Himangshu Nath,05-Nov-2025 06:44 PM,Rejected-AOC,Not Awarded,28-Nov-2025 11:37 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sealed and signed copy of the bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,285524,M/S RAJSHEKHAR CONSTRUCTIONS PVT LTD,06-Nov-2025 01:36 PM,Rejected-AOC,Not Awarded,28-Nov-2025 11:37 AM,AOC,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,285491,Sri Krishna Barman,05-Nov-2025 05:40 PM,Accepted-AOC,Awarded,28-Nov-2025 11:37 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
