Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Managing Director,Internal,,Dipak Kumar Gayary,25-Sep-2025 12:08 PM,25-Sep-2025 12:10 PM,techsummary_74954.pdf (785.03 KB),1.0,279743.0,MS A D SOLUTIONS,INR,"17,869,603",Welfare of Plain Tribes and Backward Classes||Director - WPT and BC,2025_WPTBC_47021_1,PTDC/Engg/2024-25/397,Installation of 200 nos of permanent Hoarding in 200 hundred locations.,Finance,Financial bid has been opened,Jeena Gabison Ahmed,25-Sep-2025 12:24 PM,,BOQ Comparative Chart,1,279657,Biren Deka,03-Sep-2025 06:40 PM,Rejected-Technical,As per Comperative Statement (Technical Bid) is Non Responsive,25-Sep-2025 12:08 PM,Technical,Technical bid has been opened,Dipak Kumar Gayary,08-Sep-2025 08:18 PM,,Managing Director,Internal,,Dipak Kumar Gayary,26-Nov-2025 03:34 PM,finsummary_74954.pdf (1335.63 KB),26-Nov-2025,"INR 17,869,603",270.0,Dipak Kumar Gayary,26-Nov-2025 03:35 PM,Aochording.pdf (1336.00 KB),AOC,AOC,Installation of 200 nos of permanent Hoarding in 200 hundred locations.,Installation of 200 nos of permanent Hoarding in 200 hundred locations.,Please refer tender document ,NA ,"1,79,59,400",Civil Works,NA ,Tender,180.0,270.0,All District,781005.0,"Managing Director, APTDC Ltd., Ga ","Office of the Managing Director, APTDC Ltd., Ganeshguri, Guwahati ",28-Aug-2025 11:00 AM ,"Managing Director, APTDC Ltd., Ga",No ,No,1.0,SBI Bank,27-Aug-2025 03:00 PM,04-Sep-2025 03:00 PM,27-Aug-2025 03:30 PM,04-Sep-2025 02:00 PM,NA ,NA ,27-Aug-2025 03:30 PM,04-Sep-2025 02:00 PM,25-Sep-2025 12:10 PM,Welfare of Plain Tribes and Backward Classes||Director - WPT and BC,PTDC/Engg/2024-25/397,2025_WPTBC_47021_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"3,59,188",Yes,percentage,2.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Technical Qualification,Managing Director,"Office of the Managing Director, APTDC Ltd., Ganeshguri, Guwahati","3,600",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2,279652,KHAGENDRA NATH SARKAR,03-Sep-2025 06:53 PM,Rejected-Technical,As per Comperative Statement (Technical Bid) is Non Responsive,25-Sep-2025 12:08 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,279743,MS A D SOLUTIONS,04-Sep-2025 12:13 AM,Accepted-AOC,Awarded,26-Nov-2025 03:35 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,279698,MS PRITHIVI ADVERTISING AGENCY,03-Sep-2025 11:41 PM,Rejected-AOC,Not Awarded,26-Nov-2025 03:35 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,279590,PRADIP ADVERTISING & CO.,03-Sep-2025 11:32 PM,Rejected-Technical,As per Comperative Statement (Technical Bid) is Non Responsive,25-Sep-2025 12:08 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
