Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
HOD,Internal,,SANDEEP B V,11-Nov-2025 02:08 PM,finsummary_74887.pdf (781.01 KB),Technical,Tender has been oppened,SANDEEP B V,17-Sep-2025 12:35 PM,,"Pr. Chief Conservator of Forest and Head of Forest Force||Chief Conservator of Forests (Upper Assam Zone)||Eastern Assam Circle, Jorhat||Digboi Division",2025_PCCF_46986_1,DIG/NIT/160 dt. 22-08-2025,Construction of Forest Range Office,1.0,281587.0,ASM BROTHERS,INR,"4,483,896.3",11-Nov-2025,"INR 4,483,896.3",180.0,SANDEEP B V,11-Nov-2025 02:17 PM,AOC.pdf (25062.00 KB),Offline AOC has been issued on 29-10-2025,Finance,Financial bid has been opened on 19/10/2025,SANDEEP B V,11-Nov-2025 01:44 PM,,BOQ Comparative Chart,1,281587,ASM BROTHERS,12-Sep-2025 09:32 PM,Accepted-AOC,Having higher score based on 100 percent of the value of all civil work completed in last five years,11-Nov-2025 02:18 PM,HOD,Internal,,SANDEEP B V,19-Sep-2025 03:44 PM,19-Sep-2025 04:20 PM,techsummary_74887.pdf (1029.36 KB),AOC,"99,642",Yes,percentage,2.0%,Nil,Nil,"Pr. Chief Conservator of Forest and Head of Forest Force||Chief Conservator of Forests (Upper Assam Zone)||Eastern Assam Circle, Jorhat||Digboi Division",DIG/NIT/160 dt. 22-08-2025,2025_PCCF_46986_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,"DIVISIONAL FOREST OFFICER, DIGBOI DIVISION, DIGBOI","Office of the DFO, Digboi Division, Digboi","1,000",Nil,Nil,Yes,1.0,Fee/PreQual/Technical,.pdf,Scan copy of Eligibility Criteria Documents,Construction of Forest Range Office,Construction of Forest Range Office,Please refer to the SBD ,NA ,"49,82,107",Construction Works,NA ,Tender,180.0,180.0,Digboi Range under Digboi Forest Division,786171.0,"Office of the DFO, Digboi Division, Digboi ","Office of the DFO, Digboi Division, Digboi ",27-Aug-2025 11:30 AM ,"Office of the DFO, Digboi Division, Digboi",No ,No,1.0,SBI Bank,26-Aug-2025 04:30 PM,17-Sep-2025 11:30 AM,26-Aug-2025 05:00 PM,16-Sep-2025 03:00 PM,NA ,NA ,27-Aug-2025 04:00 PM,16-Sep-2025 03:00 PM,19-Sep-2025 04:20 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,281900,DHANUKA CONSTRUCTION,16-Sep-2025 02:40 PM,Rejected-AOC,Having lower score based on 100 percent of the value of all civil work completed in last five years then ASM BROTHERS,11-Nov-2025 02:18 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Additional Technical Qualification Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,281898,JAGADISH SONOWAL,16-Sep-2025 11:22 AM,Rejected-AOC,Having lower score based on 100 percent of the value of all civil work completed in last five years then ASM BROTHERS,11-Nov-2025 02:18 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,282057,MS MANAB JYOTI GOGOI AND CO.,16-Sep-2025 01:33 PM,Rejected-Technical,Not all of the documents is submitted to be technically qualified,19-Sep-2025 03:44 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,281821,MS N.K CONSTRUCTION,16-Sep-2025 01:56 PM,Rejected-Technical,Not all of the documents is submitted to be technically qualified,19-Sep-2025 03:44 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price Bid (BOQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,282028,M/S VIJAY AGARWAL AND SONS,16-Sep-2025 01:48 PM,Rejected-Finance,5 Percent,11-Nov-2025 02:08 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,282073,SHIO KUMAR VERMA,16-Sep-2025 12:54 PM,Rejected-Technical,Not all of the documents is submitted to be technically qualified,19-Sep-2025 03:44 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,282100,SULABH DOHUTIA,16-Sep-2025 02:58 PM,Rejected-AOC,Having lower score based on 100 percent of the value of all civil work completed in last five years then ASM BROTHERS,11-Nov-2025 02:18 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,282056,Utpal Chetia,16-Sep-2025 12:32 PM,Rejected-Technical,Not all of the documents is submitted to be technically qualified,19-Sep-2025 03:44 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
