Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Shilu Rani Das,Internal,Tender Evaluation Committee Of Swachh Bharat Mission Urban Assam,Amrit Hanse,18-Jun-2025 01:48 PM,18-Jun-2025 02:00 PM,techsummary_69470.pdf (563.23 KB),1.0,265358.0,ARMAN TRADERS,INR,"5,383,000",Technical,All 3 Bids Addmitted,Amrit Hanse,21-May-2025 01:21 PM,,Shilu Rani Das,Internal,,Amrit Hanse,02-Jul-2025 04:52 PM,finsummary_69470.pdf (563.23 KB),Finance,Two Number Of Finance Bid Admitted,Amrit Hanse,18-Jun-2025 02:25 PM,finance_69470.pdf,BOQ Comparative Chart,1,265358,ARMAN TRADERS,16-Apr-2025 03:46 PM,Accepted-AOC,Being the L1 Bidder the Award Of Contract for Establishment of Waste To Compost And Material Recovery Facility At Sonai Municipal Board is Awarded To Arman Traders,17-Nov-2025 08:45 PM,17-Nov-2025,"INR 5,383,000",360.0,Amrit Hanse,17-Nov-2025 08:44 PM,AOC.pdf (151.00 KB),Award of Contract for Establishment Of Waste To Compost And Material Recovery Facility At Sonai Municipal Board,Urban Development Department||Directorate of Municipality Administration - UDD||Sonai Municipal Board,2025_UDD_43577_1,SMB/89/PT-II/SBM/SWM/315,NIT FOR ESTABLISHMENT OF WASTE TO COMPOST AND MATERIAL RECOVERY FACILITY AT SONAI MUNICIPAL BOARD,AOC,"5,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,TECHNICAL BID,1.0,Corrigendum2,Date,,18-Mar-2025 04:30 PM,15-May-2025 01:00 PM,18-Mar-2025 04:30 PM,17-Apr-2025 02:00 PM,NA ,NA ,18-Mar-2025 04:30 PM,17-Apr-2025 02:00 PM,18-Jun-2025 02:00 PM,NIT FOR ESTABLISHMENT OF WASTE TO COMPOST AND MATERIAL RECOVERY FACILITY AT SONAI MUNICIPAL BOARD,NIT FOR ESTABLISHMENT OF WASTE TO COMPOST AND MATERIAL RECOVERY FACILITY AT SONAI MUNICIPAL BOARD,Please refer Tender documents. ,NA ,"53,83,000",Civil Works - Building,NA ,Tender,350.0,NA ,OFFICE OF THE SONAI MUNICIPAL BOARD,788119.0,NA ,NA ,NA ,OFFICE OF THE SONAI MUNICIPAL BOARD,No ,No,EXECUTIVE OFFICER SONAI MUNICIPAL BOARD,OFFICE OF THE SONAI MUNICIPAL BOARD SONAI CACHAR ASSAM,Urban Development Department||Directorate of Municipality Administration - UDD||Sonai Municipal Board,SMB/89/PT-II/SBM/SWM/315,2025_UDD_43577_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,"1,07,660",Yes,percentage,2.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,265770,BHARAT TRADERS,16-Apr-2025 04:05 PM,Rejected-Technical,Technically Not Qualified,18-Jun-2025 01:48 PM,,,,,,,,,,,,AOC,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,265768,R F CONSTRUCTION and CONSULTANCY,16-Apr-2025 03:56 PM,Rejected-Finance,RF CONSTRUCTION AND CONSULTANCY IS THE SECOND HIGHEST BIDDER,02-Jul-2025 04:52 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
