Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
INSTALLATION OF SOLAR SHALLOW TUBE WELL SCHEME AT TITABAR LAC OF JORHAT DISTRICT (4 POINTS) UNDER SOPD-G FOR THE YEAR 2025-26,INSTALLATION OF SOLAR SHALLOW TUBE WELL SCHEME AT TITABAR LAC OF JORHAT DISTRICT (4 POINTS) UNDER SOPD-G FOR THE YEAR 2025-26,AS PER SBD ,NA ,"26,72,123",Civil Works - Others,SHALLOW TUBE WELL ,Tender,180.0,180.0,TITABAR,785630.0,NA ,NA ,NA ,"O/o TheExecutive Engineer, Titabar-Mariani Div (I)",No ,No,1.0,Replacement of Para F. Award of Contract,Technical Bid,,"Executive Engineer, Titabar-Mariani Div (I)","O/o The Executive Engineer, Titabar-Mariani Div (I), Titabar","1,000",Nil,Nil,Yes,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,NIT,"53,442",Yes,percentage,2.0%,Nil,Nil,1,General Certificate ,PAN ,Permanent Account Number ,,16-Sep-2025 10:00 AM,07-Oct-2025 01:00 PM,16-Sep-2025 10:00 AM,07-Oct-2025 12:00 PM,NA ,NA ,16-Sep-2025 10:00 AM,07-Oct-2025 12:00 PM,09-Oct-2025 10:00 AM,Irrigation Department||Chief Engineer(Major)-Irrigation Dept||Jorhat Circle||Titabar Mariani Division,TMD(I)/W-1(Pt-2)/2021/733 Dated 15/09/2025,2025_ID_47531_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC,13-Oct-2025,"INR 2,672,123",180.0,Virendra Thakur,20-Nov-2025 01:17 PM,LOA.pdf (201.00 KB),As per LOA attached,Technical,AS PER MINUTES ENCLOSED,Virendra Thakur,08-Oct-2025 05:03 PM,technical_75833.pdf,"GITASHRI SAIKIA, AEE TC",Internal,"Subhrajit Baruah, AE, Biman Teron, AO, Zarine Salim Sattar,AE",Virendra Thakur,13-Oct-2025 10:45 AM,finsummary_75833.pdf (363.12 KB),Finance,As per minutes,Virendra Thakur,13-Oct-2025 10:30 AM,finance_75833.pdf,BOQ Comparative Chart,1.0,283052.0,Bubul Gogoi,06-Oct-2025 07:48 PM,Accepted-AOC,Lowest Bid accepted,20-Nov-2025 01:17 PM,Irrigation Department||Chief Engineer(Major)-Irrigation Dept||Jorhat Circle||Titabar Mariani Division,2025_ID_47531_1,TMD(I)/W-1(Pt-2)/2021/733 Dated 15/09/2025,INSTALLATION OF SOLAR SHALLOW TUBE WELL SCHEME AT TITABAR LAC OF JORHAT DISTRICT (4 POINTS) UNDER SOPD-G FOR THE YEAR 2025-26,1.0,283052.0,Bubul Gogoi,INR,"2,672,123","GITASHRI SAIKIA, AEE TC",Internal,"SUBHRAJIT BARUAH, AE, BIMAN TERON, AO, ZARINE SALIM SATTAR, AE",Virendra Thakur,08-Oct-2025 05:14 PM,09-Oct-2025 10:00 AM,techsummary_75833.pdf (309.07 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,2,General Certificate ,Goods and Service Tax ,Goods and Service Tax Registration Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,3,General Certificate ,Company Details ,"Partnership Deed, Co-Operative Society By Law,MOA,Company Registration Certificates,JV Consortium,Year of Incorporation Certificates ",,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,General Certificate ,Solvency Certificate ,Solvency Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,General Certificate ,Other Certificates ,As Mentioned In The Tender Document ,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Machineries ,Machineries Details ,Machineries Details Description ,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Manpower ,Manpower Details ,Manpower Details Description ,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,P/L and Balance Sheet ,Year 1 ,Y1 Profit and Loss Statement and Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Technical Documents ,Misc. Documents ,Micellaneous Documents ,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Works ,Order 1 ,Order 1 executed ,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
