Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"1,000",Nil,Nil,No,"89,592",Yes,percentage,2.0%,Nil,Nil,1.0,SBI Bank,Director,"O/o Director AH and Vety, Dpt chenikuthi Ghy-3",Animal Husbandry and Veterinary Department||Directorate of A.H. and Veterinary||Assam Livestock and Poultry Corporation Ltd.,E-679310/2025-26/DFA/1367538,2025_AHVD_46337_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"RENOVATION AND MODIFICATION OF PIG STY NO.1.(GROWER SHED), PIG STY NO.2 AND 3. (FARROWING SHED) AND PIG STY NO.1 AND 2.(QUARANTINE SHED) AT NUCLEUS PIG BREEDING FARM, KATHIATOLI IN NAGAON DIST","RENOVATION AND MODIFICATION OF PIG STY NO.1.(GROWER SHED), PIG STY NO.2 AND 3. (FARROWING SHED) AND PIG STY NO.1 AND 2.(QUARANTINE SHED) AT NUCLEUS PIG BREEDING FARM, KATHIATOLI IN NAGAON DIST",Please refer Tender documents. ,NA ,"44,79,600",Civil Works,NA ,Tender,180.0,90.0,Nagaon,782001.0,"O/o Director AH and Vety, Dpt  ","O/o Director AH and Vety, Dpt chenikuthi Ghy-3 ",20-Aug-2025 01:00 PM ,"O/o Director AH and Vety, Dpt chenikuthi Ghy-3",No ,No,12-Aug-2025 05:05 PM,04-Sep-2025 02:30 PM,12-Aug-2025 05:05 PM,03-Sep-2025 02:00 PM,NA ,NA ,21-Aug-2025 10:00 AM,03-Sep-2025 02:00 PM,18-Sep-2025 04:20 PM,1.0,Fee/PreQual/Technical,.pdf,Document downloaded from portal,AOC,20-Nov-2025,"INR 3,274,587.59",90.0,Dandeswar Deka,20-Nov-2025 04:57 PM,AOC.pdf (3683.00 KB),Finance,Financial bid is opened,NARESWAR THAKURIA,18-Sep-2025 04:27 PM,,BOQ Comparative Chart,1.0,279293.0,GOPAL CHANDRA BORAH,INR,"3,274,587.59",Animal Husbandry and Veterinary Department||Directorate of A.H. and Veterinary||Assam Livestock and Poultry Corporation Ltd.,2025_AHVD_46337_2,E-679310/2025-26/DFA/1367538,"RENOVATION AND MODIFICATION OF PIG STY NO.1.(GROWER SHED), PIG STY NO.2 AND 3. (FARROWING SHED) AND PIG STY NO.1 AND 2.(QUARANTINE SHED) AT NUCLEUS PIG BREEDING FARM, KATHIATOLI IN NAGAON DIST",Director,Internal,,Dandeswar Deka,20-Nov-2025 04:54 PM,finsummary_73912.pdf (3518.80 KB),Technical,The technical bid has been opened,Dandeswar Deka,04-Sep-2025 04:23 PM,,Director,Internal,,Dandeswar Deka,18-Sep-2025 04:17 PM,18-Sep-2025 04:20 PM,techsummary_73912.pdf (2004.70 KB),1,279546,APURBA KUMAR DEKA,03-Sep-2025 12:58 PM,Rejected-Technical,Disqualified. Refer to technical minutes,18-Sep-2025 04:17 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Document,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,279230,ARCHNIRMAN PRIVATE LIMITED,03-Sep-2025 12:54 PM,Rejected-Technical,Disqualified. Refer to technical minutes,18-Sep-2025 04:17 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,279253,BASANTA KUMAR BARUAH,03-Sep-2025 12:42 PM,Rejected-Finance,Rejected,20-Nov-2025 04:54 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Letter of Bid,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,279293,GOPAL CHANDRA BORAH,03-Sep-2025 11:44 AM,Accepted-AOC,Awarded,20-Nov-2025 04:57 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,justification and analysis,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,279498,INDRANUJ KASHYAP,03-Sep-2025 10:59 AM,Rejected-Finance,Rejected,20-Nov-2025 04:54 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,279138,Jiban Gogoi,03-Sep-2025 01:28 AM,Rejected-Finance,Rejected,20-Nov-2025 04:54 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,279336,MONSOON ENTERPRISE,02-Sep-2025 10:24 AM,Rejected-Technical,Disqualified. Refer to technical minutes,18-Sep-2025 04:17 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,279195,Nur Alom,03-Sep-2025 01:52 PM,Rejected-Technical,Disqualified. Refer to technical minutes,18-Sep-2025 04:17 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,278420,PRADIP CHAKRABORTY,01-Sep-2025 05:46 PM,Rejected-Finance,Rejected,20-Nov-2025 04:54 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,279223,Rajib Mohan Das,01-Sep-2025 02:32 PM,Rejected-Finance,Rejected,20-Nov-2025 04:54 PM,AOC
