S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
1.0,260519.0,Mega Electricals,05-Mar-2025 06:14 PM,Accepted-AOC,L1 bidder,10-Nov-2025 12:03 PM,Technical,The Technical Bids have been opened.,Rahul Satnami,10-Apr-2025 02:36 PM,,Finance,Opened,Rahul Satnami,19-Aug-2025 04:12 PM,,BOQ Comparative Chart,cgm,Internal,,Rahul Satnami,10-Nov-2025 11:58 AM,finsummary_67648.pdf (93.25 KB),10-Nov-2025,"INR 28,583,942",365.0,Rahul Satnami,10-Nov-2025 12:02 PM,Image_013.pdf (8464.00 KB),cgm,Internal,,ASISH DAS,02-Jun-2025 11:04 AM,02-Jun-2025 11:05 AM,techsummary_67648.pdf (356.84 KB),1.0,260519.0,Mega Electricals,INR,"28,583,942",Assam Electricity Grid Corporation Ltd||CGM (T and T),2025_AEGCL_42050_1,Tech-1099/DCNEL/Umrangso/HTLS,Destringing of Existing Panther Conductor and Stringing of HTLS Conductor of 132 kV Khandong-Haflong LILO at 132 kV Umrangso GSS along with associated works,AOC,Destringing of Existing Panther Conductor and Stringing of HTLS Conductor of 132 kV Khandong-Haflong LILO at 132 kV Umrangso GSS along with associated works,Destringing of Existing Panther Conductor and Stringing of HTLS Conductor of 132 kV Khandong-Haflong LILO at 132 kV Umrangso GSS along with associated works,Please refer Tender documents. ,NA ,"3,11,21,123",Electrical Works,NA ,Tender,180.0,NA ,132 kV Umrangso GSS AEGCL,788931.0,NA ,NA ,NA ,"O/o the MD, AEGCL, Paltanbazar, Guwahati-781001",No ,No,"6,22,422",No,fixed,,Nil,Nil,10-Jan-2025 05:45 PM,07-Mar-2025 04:30 PM,10-Jan-2025 05:45 PM,06-Mar-2025 10:00 AM,NA ,NA ,10-Jan-2025 05:45 PM,06-Mar-2025 10:00 AM,02-Jun-2025 11:05 AM,"2,000",Nil,Nil,No,Assam Electricity Grid Corporation Ltd||CGM (T and T),Tech-1099/DCNEL/Umrangso/HTLS,2025_AEGCL_42050_1,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,"Chief General Manager (PPnD), AEGCL","Chief General Manager (PPnD) O/o the Managing Director, Assam Electricity Grid Corporation Limited, 1st Floor, Bijulee Bhawan, Paltanbazar, Guwahati-781001",1.0,Fee/PreQual/Technical,.rar,TECHNO-COMMERCIAL,1.0,SBI Bank,1.0,Corrigendum 4,Date,,AOC
2.0,257955.0,M/s Lumino Industries Limited,20-Feb-2025 08:04 PM,Rejected-Finance,Not L1 bidder,10-Nov-2025 11:58 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.rar,EXPERIENCE AND PERFORMANCE,,,2.0,Corrigendum II,Other,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.rar,GTP AND TYPE TESTS,,,3.0,Scope,Technical Bid,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,PRICE SCHEDULE,,,,,,,AOC
