Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Public Works Building and NH Department||Chief Engineer-Building - PWBNH,"CE/TB-III/09/2023/Pt/20, Dated Guwahati the 21st May 2025",2025_PWBNH_44456_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,22-May-2025 02:05 PM,21-Jun-2025 03:30 PM,22-May-2025 02:05 PM,21-Jun-2025 02:00 PM,NA ,NA ,02-Jun-2025 03:30 PM,21-Jun-2025 02:00 PM,15-Jul-2025 05:00 PM,1.0,SBI Bank,1.0,Extension Notice-2,Date,,"6,16,32,609",Yes,percentage,2.0%,Nil,Nil,"30,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,BID COST_BID SECURITY,"Construction of Teachers Quarters and Students Hostels at Assam Medical College and Hospital, Dibrugarh, Assam","Construction of Teachers Quarters and Students Hostels at Assam Medical College and Hospital, Dibrugarh, Assam",Please refer Tender documents. ,NA ,"3,08,16,30,455",Civil Works - Building,NA ,Tender,180.0,730.0,Dibrugarh,786001.0,"O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3 ","O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3 ",30-May-2025 12:30 PM ,"O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3",No ,No,"CE, PWD(Bldg), H and E, Assam, Chandmari, Ghy-3","O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3",AOC,Public Works Building and NH Department||Chief Engineer-Building - PWBNH,2025_PWBNH_44456_1,"CE/TB-III/09/2023/Pt/20, Dated Guwahati the 21st May 2025","Construction of Teachers Quarters and Students Hostels at Assam Medical College and Hospital, Dibrugarh, Assam",1.0,270111.0,M/S Badri Rai & Company,INR,"3,159,994,000",CE PWD(Bldg),Internal,,ABIDUR RAHMAN,15-Jul-2025 04:45 PM,15-Jul-2025 05:00 PM,techsummary_70769.pdf (609.49 KB),CE PWD(Bldg),Internal,,Chandana Basumatary,27-Nov-2025 05:09 PM,finsummary_70769.pdf (676.66 KB),29-Nov-2025,"INR 3,159,994,000",730.0,ABIDUR RAHMAN,29-Nov-2025 07:49 PM,WOADIBTEACHERSQUARTER.pdf (678.00 KB),Finance,Summary,ABIDUR RAHMAN,15-Jul-2025 05:18 PM,finance_70769.pdf,BOQ Comparative Chart,Technical,Summary,Chandana Basumatary,21-Jun-2025 03:39 PM,,1.0,270111.0,M/S Badri Rai & Company,21-Jun-2025 01:47 PM,Accepted-AOC,Work Order Issued,29-Nov-2025 07:49 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Corrigendum2,Technical Bid,,,,,,,,,,,,,,.pdf,BIDDING DOCUMENT,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,270106.0,SHREE GAUTAM CONSTRUCTION CO. LTD.,21-Jun-2025 11:15 AM,Rejected-Finance,Accepted,27-Nov-2025 05:09 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TECHNICAL QUALIFICATIONS,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,269841.0,Shreejikrupa Project Ltd.,21-Jun-2025 11:36 AM,Rejected-Finance,Accepted,27-Nov-2025 05:09 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,269747.0,Sri Avantika Contractors (I) Limited,21-Jun-2025 12:41 PM,Rejected-Technical,Non-Responsive,15-Jul-2025 04:45 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,APPENDIX-IB,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
