Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Document downloaded from portal,"RENOVATION AND MODIFICATION OF PIG STY NO.4, 5, AND 6(SOW SHED), CONSTRUCTION OF DRESS CHANGING ROOM AND CONSTRUCTION OF BIO-SECURITY CHAIN LINK FENCING AT NUCLEUS PIG BREEDING FARM, KATHIATOLI IN NAGAON DIST","RENOVATION AND MODIFICATION OF PIG STY NO.4, 5, AND 6(SOW SHED), CONSTRUCTION OF DRESS CHANGING ROOM AND CONSTRUCTION OF BIO-SECURITY CHAIN LINK FENCING AT NUCLEUS PIG BREEDING FARM, KATHIATOLI IN NAGAON DIST",Please refer Tender documents. ,NA ,"44,96,500",Civil Works,NA ,Tender,180.0,90.0,Nagaon,782001.0,"O/o Director AH and Vety, Dpt  ","O/o Director AH and Vety, Dpt chenikuthi Ghy-3 ",20-Aug-2025 01:00 PM ,"O/o Director AH and Vety, Dpt chenikuthi Ghy-3",No ,No,Director,"O/o Director AH and Vety, Dpt chenikuthi Ghy-3",1.0,SBI Bank,12-Aug-2025 05:20 PM,04-Sep-2025 02:30 PM,12-Aug-2025 05:20 PM,03-Sep-2025 02:00 PM,NA ,NA ,21-Aug-2025 10:00 AM,03-Sep-2025 02:00 PM,18-Sep-2025 04:15 PM,Animal Husbandry and Veterinary Department||Directorate of A.H. and Veterinary||Assam Livestock and Poultry Corporation Ltd.,E-679310/2025-26/DFA/1367538,2025_AHVD_46337_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"89,930",Yes,percentage,2.0%,Nil,Nil,"1,000",Nil,Nil,No,AOC,Finance,Financial Bid is opened,NARESWAR THAKURIA,18-Sep-2025 04:22 PM,,BOQ Comparative Chart,20-Nov-2025,"INR 3,286,914.5",90.0,Dandeswar Deka,20-Nov-2025 05:08 PM,AOC.pdf (3683.00 KB),1.0,279294.0,GOPAL CHANDRA BORAH,INR,"3,286,941.5",Technical,Technical bid has been opened,Dandeswar Deka,04-Sep-2025 04:32 PM,,Director,Internal,,Dandeswar Deka,20-Nov-2025 05:03 PM,finsummary_73914.pdf (3518.80 KB),Animal Husbandry and Veterinary Department||Directorate of A.H. and Veterinary||Assam Livestock and Poultry Corporation Ltd.,2025_AHVD_46337_3,E-679310/2025-26/DFA/1367538,"RENOVATION AND MODIFICATION OF PIG STY NO.4, 5, AND 6(SOW SHED), CONSTRUCTION OF DRESS CHANGING ROOM AND CONSTRUCTION OF BIO-SECURITY CHAIN LINK FENCING AT NUCLEUS PIG BREEDING FARM, KATHIATOLI IN NAGAON DIST",1,279545,APURBA KUMAR DEKA,03-Sep-2025 01:02 PM,Rejected-Technical,Disqualified. Refer to technical minutes,18-Sep-2025 04:12 PM,Director,Internal,,Dandeswar Deka,18-Sep-2025 04:12 PM,18-Sep-2025 04:15 PM,techsummary_73914.pdf (2004.69 KB),AOC
,,.pdf,Technical Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,279229,ARCHNIRMAN PRIVATE LIMITED,03-Sep-2025 01:25 PM,Rejected-Technical,Disqualified. Refer to technical minutes,18-Sep-2025 04:12 PM,,,,,,,,AOC
2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,279294,GOPAL CHANDRA BORAH,03-Sep-2025 11:40 AM,Accepted-AOC,Awarded,20-Nov-2025 05:08 PM,,,,,,,,AOC
,,.pdf,Letter of Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,279562,INDRANUJ KASHYAP,03-Sep-2025 01:32 PM,Rejected-Finance,Rejected,20-Nov-2025 05:03 PM,,,,,,,,AOC
,,.pdf,justification and analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,279137,Jiban Gogoi,03-Sep-2025 01:35 AM,Rejected-Finance,Rejected,20-Nov-2025 05:03 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,279339,MONSOON ENTERPRISE,02-Sep-2025 10:41 AM,Rejected-Technical,Disqualified. Refer to technical minutes,18-Sep-2025 04:12 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,278860,Nur Alom,03-Sep-2025 01:49 PM,Rejected-Technical,Disqualified. Refer to technical minutes,18-Sep-2025 04:12 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,278423,PRADIP CHAKRABORTY,01-Sep-2025 05:49 PM,Rejected-Finance,Rejected,20-Nov-2025 05:03 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,279222,Rajib Mohan Das,01-Sep-2025 02:29 PM,Rejected-Finance,Rejected,20-Nov-2025 05:03 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,279527,Route To Connect,02-Sep-2025 11:31 PM,Rejected-Finance,Rejected,20-Nov-2025 05:03 PM,,,,,,,,AOC
