Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
"Syed Muhammad Abdullah,EE,",Internal,"Pallabi Phukon AE, Prasanta Dutta AO, Kshirode Buragohain JE.",Ratul Goswami,20-Nov-2025 12:22 PM,25-Nov-2025 10:00 AM,techsummary_76788.pdf (553.72 KB),1.0,286478.0,Prince Enterprise,INR,"2,879,800",Irrigation Department||Chief Engineer(Major)-Irrigation Dept||Jorhat Circle,2025_ID_48284_1,JC(I)/Tech/E-Tender/2025/90 Dated 29/10/2025,Installation of Solar Powered MDTW Scheme at Morongi Development Block area (5 Points) under SOPD-G for the year 2025-26,1.0,286125.0,ARNAB BURAGOHAIN,17-Nov-2025 11:58 PM,Accepted-AOC,Quoted amount is justified,27-Nov-2025 03:36 PM,Finance,As Enclosed.,Ratul Goswami,27-Nov-2025 11:11 AM,finance_76788.pdf,BOQ Comparative Chart,"Syed Muhammad Abdullah,EE,",Internal,"Pallabi Phukon,AE, Prasanta Dutta, AO, Kshirode Buragohain, JE.",Ratul Goswami,27-Nov-2025 11:36 AM,finsummary_76788.pdf (650.24 KB),Technical,As Enclosed,Ratul Goswami,20-Nov-2025 12:16 PM,technical_76788.pdf,27-Nov-2025,"INR 14,399,000.02",180.0,Ratul Goswami,27-Nov-2025 03:35 PM,LOA.pdf (849.00 KB),LOA,AOC,1,General Certificate ,PAN ,Permanent Account Number ,,"2,87,992",Yes,percentage,2.0%,Nil,Nil,1.0,SBI Bank,29-Oct-2025 06:00 PM,20-Nov-2025 11:00 AM,30-Oct-2025 10:00 AM,19-Nov-2025 12:00 PM,NA ,NA ,03-Nov-2025 10:00 AM,19-Nov-2025 12:00 PM,25-Nov-2025 10:00 AM,1.0,Fee/PreQual/Technical,.pdf,NIT,"3,000",Nil,Nil,Yes,Irrigation Department||Chief Engineer(Major)-Irrigation Dept||Jorhat Circle,JC(I)/Tech/E-Tender/2025/90 Dated 29/10/2025,2025_ID_48284_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,Installation of Solar Powered MDTW Scheme at Morongi Development Block area (5 Points) under SOPD-G for the year 2025-26,Installation of Solar Powered MDTW Scheme at Morongi Development Block area (5 Points) under SOPD-G for the year 2025-26,As per SBD ,NA ,"1,43,99,604",Civil Works - Others,MDTW ,Tender,180.0,180.0,Khumtai,785619.0,NA ,NA ,NA ,"O/o the S.E. Jorhat Circle(I), Jorhat.",No ,No,"S.E. Jorhat Circle(Irrigation), Jorhat",O/o the S.E. Jorhat Circle (Irrigation) Jorhat,AOC
,,,,,,,2.0,286125.0,ARNAB BURAGOHAIN,INR,"11,519,200.01",,,,,2.0,286478.0,Prince Enterprise,18-Nov-2025 03:36 PM,Accepted-AOC,Quoted amount is justified,27-Nov-2025 03:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,General Certificate ,Goods and Service Tax ,Goods and Service Tax Registration Certificate ,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,General Certificate ,ESIC ,Employees State Insurance Certificate ,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,General Certificate ,PF ,Providenet Fund Certificates ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,General Certificate ,Company Details ,"Partnership Deed, Co-Operative Society By Law,MOA,Company Registration Certificates,JV Consortium,Year of Incorporation Certificates ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,General Certificate ,Solvency Certificate ,Solvency Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,General Certificate ,Other Certificates ,As Mentioned In The Tender Document ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,Machineries ,Machineries Details ,Machineries Details Description ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,Manpower ,Manpower Details ,Manpower Details Description ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,P/L and Balance Sheet ,Year 1 ,Y1 Profit and Loss Statement and Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
