Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Department of Housing and Urban Affairs||Chief Engineer Technical Cell,CE/H and UA/Tech/17/PT-III/23-24/127(2),2025_DHUA_42966_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"9,45,000",Yes,fixed,,Nil,Nil,20-Feb-2025 09:00 AM,10-Mar-2025 03:00 PM,20-Feb-2025 09:00 AM,07-Mar-2025 02:00 PM,NA ,NA ,20-Feb-2025 09:00 AM,07-Mar-2025 02:00 PM,18-Mar-2025 01:00 PM,"O/O The Chief Engineer,TC,DoHUA,Guwahati","O/O The Chief Engineer,TC,DoHUA,Guwahati",1.0,SBI Bank,"Construction of RCC Box Drain under Dibrugarh Municipal Corporation, Phase-1","Construction of RCC Box Drain under Dibrugarh Municipal Corporation, Phase-1",Please refer Tender documents. ,NA ,"4,72,28,776",Civil Works,NA ,Rate Contract,180.0,365.0,Dibrugarh,786001.0,NA ,NA ,NA ,"O/O The Chief Engineer,TC,DoHUA,Guwahati",No ,No,1.0,Fee/PreQual/Technical,.pdf,Technical Documents,"9,400",Nil,Nil,No,AOC,1,260270,ANIL MAKRARY,05-Mar-2025 04:56 PM,Rejected-Finance,L3,28-May-2025 12:28 PM,"Secy. to GOA, DoHUA",Internal,,Achinta Kumar Bharali,18-Mar-2025 12:17 PM,18-Mar-2025 01:00 PM,techsummary_68766.pdf (121.26 KB),1.0,260292.0,Ranjan Dutta,INR,"47,227,290",Finance,Financial bid opened and proceed for evaluation,Achinta Kumar Bharali,25-Mar-2025 01:04 PM,,BOQ Comparative Chart,29-May-2025,"INR 47,228,776",365.0,Achinta Kumar Bharali,11-Nov-2025 03:13 PM,AOCI.pdf (366.00 KB),Technical,Bid opened on 10/03/2025 and proceed for evaluation,Achinta Kumar Bharali,18-Mar-2025 12:16 PM,,"Secy. to GOA, DoHUA",External,,Achinta Kumar Bharali,28-May-2025 12:28 PM,finsummary_68766.pdf (351.58 KB),Department of Housing and Urban Affairs||Chief Engineer Technical Cell,2025_DHUA_42966_1,CE/H and UA/Tech/17/PT-III/23-24/127(2),"Construction of RCC Box Drain under Dibrugarh Municipal Corporation, Phase-1",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,AOC,2,260301,NUMAL SAIKIA,06-Mar-2025 06:40 PM,Rejected-AOC,L2,11-Nov-2025 03:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,NIT,,,,,AOC,3,260292,Ranjan Dutta,06-Mar-2025 08:13 PM,Accepted-AOC,L1,11-Nov-2025 03:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
