EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"1,87,000",Yes,percentage,2.0%,Nil,Nil,Irrigation Department||Chief Engineer(Major)-Irrigation Dept||Tinsukia Circle,TC(I)/A-11/01/2025-26,2025_ID_46114_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"2,000",Nil,Nil,Yes,1.0,Corrigendum regarding Total Value of Civil Engineering construction work and Attach Certificate from CA,Technical Bid,,04-Aug-2025 06:00 PM,26-Aug-2025 01:00 PM,04-Aug-2025 06:00 PM,26-Aug-2025 12:00 PM,NA ,NA ,05-Aug-2025 10:00 AM,26-Aug-2025 12:00 PM,08-Sep-2025 03:30 PM,STW Scheme 14pts at Baruahula Area under Makum LAC under SOPD for the year 2025-26,STW Scheme 14pts at Baruahula Area under Makum LAC under SOPD for the year 2025-26,Please refer Tender documents. ,NA ,"93,50,007",Construction Works,NA ,Tender,180.0,180.0,Makum LAC Tinsukia,786170.0,NA ,NA ,NA ,O/O SE Tinsukia Circle (Irrigation),No ,No,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,BID document,Superintending Engineer Tinsukia Circle (Irrigatio,"O/O SE Tinsukia Circle (Irrigation), Borguri, Tinsukia",AOC,Irrigation Department||Chief Engineer(Major)-Irrigation Dept||Tinsukia Circle,2025_ID_46114_1,TC(I)/A-11/01/2025-26,STW Scheme 14pts at Baruahula Area under Makum LAC under SOPD for the year 2025-26,1.0,278034.0,TRIDEB GOGOI,INR,"9,349,000.08",EE Tinsukia Makum Division Tinsukia,Internal,CJB DD PB JP,Pallabi Baruah,08-Sep-2025 03:16 PM,08-Sep-2025 03:30 PM,techsummary_73469.pdf (823.19 KB),Technical,Provisionally admitted.,Pallabi Baruah,26-Aug-2025 01:45 PM,,29-Oct-2025,"INR 9,350,007",180.0,Pallabi Baruah,12-Nov-2025 12:09 PM,FormalWorkorderSTW14ptsMakumLAC.pdf (651.00 KB),As per TEC.,EE Tinsukia Makum Division Tinsukia,Internal,CJB DD PB JP,Pallabi Baruah,18-Sep-2025 01:19 PM,finsummary_73469.pdf (887.15 KB),Finance,As per TEC.,Pallabi Baruah,18-Sep-2025 01:15 PM,finance_73469.pdf,BOQ Comparative Chart,1,278203,ABIN SWARGIARY,26-Aug-2025 11:47 AM,Rejected-Technical,Hard copy not submitted of cost of Bid and Total Monetary value of civil Engg construction works not submitted both online and offline.,08-Sep-2025 03:16 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,NIT,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,278004,KLS-GEE KAY JV,25-Aug-2025 08:26 PM,Rejected-Technical,No documents submitted both online and offline.,08-Sep-2025 03:16 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,278034,TRIDEB GOGOI,25-Aug-2025 12:21 PM,Accepted-AOC,As per TEC.,12-Nov-2025 12:09 PM,AOC
