Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
Urban Development Department||Directorate of Municipality Administration - UDD||Gohpur Municipal Board,GMB 7/2019/167,2025_UDD_46161_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,NIT,"2,18,216",Yes,percentage,2.0%,Nil,Nil,1.0,SBI Bank,"5,000",Nil,Nil,Yes,05-Aug-2025 04:00 PM,06-Sep-2025 02:00 PM,05-Aug-2025 04:05 PM,05-Sep-2025 02:00 PM,NA ,NA ,07-Aug-2025 10:00 AM,05-Sep-2025 02:00 PM,19-Sep-2025 02:00 PM,EXPANSION OF SOLID WASTE MANAGEMENT PROJECTS (MATERIAL RECOVERY FACILITY ) UNDER SWACHH BHARAT MISSION(URBAN)2.0 AND UNDER 15th TIED GRANT,SOLID WASTE MANAGEMENT PROJECT,Please refer Tender documents. ,NA ,"1,09,10,803",Civil Works,NA ,Tender,180.0,180.0,"SOLID WASTE MANAGEMENT,GOHPUR MB,ASSAM",784168.0,GOHPUR MUNICIPAL OFFICE ,O/O GOHPUR MUNICIPAL BOARD. ,19-Aug-2025 11:00 AM ,GMB OFFICE,No ,No,EXECUTIVE OFFICER,O/O GOHPUR MUNICIPAL BOARD.,AOC,Urban Development Department||Directorate of Municipality Administration - UDD||Gohpur Municipal Board,2025_UDD_46161_1,GMB 7/2019/167,EXPANSION OF SOLID WASTE MANAGEMENT PROJECTS (MATERIAL RECOVERY FACILITY ) UNDER SWACHH BHARAT MISSION(URBAN)2.0 AND UNDER 15th TIED GRANT,10-Nov-2025,"INR 10,910,803.832",180.0,Puja Kumari,11-Nov-2025 01:48 PM,AOC.pdf (444.00 KB),Item of work 0.18% below of schedule rate,1.0,279886.0,IMPACT SOLUTIONS,INR,"10,891,157.25",Atul Borah,Internal,"Chairman, CDC,EO, AEE PWD,EE PWRD,TO,FMO,UTO,JE,CPO,ACCOUNTANT",Puja Kumari,24-Sep-2025 05:29 PM,finsummary_73576.pdf (1077.38 KB),Technical,Tender is opened in presence of Chairman and sanctioning committee for the project Expansion of Solid Waste Management project funded under SBM (Urban)2.0 and 15th FC Tied Grant.,Atul Borah,06-Sep-2025 04:31 PM,technical_73576.pdf,Atul Borah,Internal,"Chairman,CDC,PWRD EE,PWBD AE,TO,EO,FMO,UTO,JE,CPO,Accountant",Puja Kumari,16-Sep-2025 05:37 PM,19-Sep-2025 02:00 PM,techsummary_73576.pdf (669.02 KB),1,279886,IMPACT SOLUTIONS,04-Sep-2025 08:47 PM,Accepted-AOC,IMPACT SOLUTIONS LOWEST AMOUNT QUOTED,11-Nov-2025 01:48 PM,Finance,Tender committee attended the financial bid opening for the Solid Waste Management project. The list of bidders after financial bid opening are uploaded.,Puja Kumari,19-Sep-2025 03:44 PM,finance_73576.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,.pdf,RFP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,278107,KAMAKHYA POWER SYSTEMS,23-Aug-2025 05:19 PM,Rejected-Finance,Rejected based on technical and financial evaluation,24-Sep-2025 05:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,279856,Raj Kumar Daimary,04-Sep-2025 05:49 PM,Rejected-Finance,Rejected based on technical and financial evaluation,24-Sep-2025 05:29 PM,,,,,,,AOC
