Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
Superintending Engineer,Internal,,Chandan Kumar Medhi,15-Oct-2025 04:19 PM,16-Oct-2025 01:00 PM,techsummary_75835.pdf (334.77 KB),1.0,283638.0,Prasanta Kalita,INR,"1,711,000",Public Works Building and NH Department||Chief Engineer-Building - PWBNH,2025_PWBNH_47524_1,"CS/SE/GBC/2025-26/08/56-A, Dated 11-09-2025","Construction of Community Hall at Pandoba, Goalpara under Border Area Development Fund for the year 2024-25",1,283684,AMAL CHNADRA ARJYA,06-Oct-2025 06:48 PM,Rejected-Technical,Rejected,15-Oct-2025 04:19 PM,Technical,Technical Bid Opening,Chandan Kumar Medhi,08-Oct-2025 02:43 PM,technical_75835.pdf,Finance,Financial Bid Opening Summary,Chandan Kumar Medhi,16-Oct-2025 01:25 PM,finance_75835.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,,Chandan Kumar Medhi,30-Oct-2025 04:49 PM,finsummary_75835.pdf (187.49 KB),03-Nov-2025,"INR 1,711,000",90.0,Chandan Kumar Medhi,06-Nov-2025 01:16 PM,AOC_Uploading.pdf (1189.00 KB),AOC,AOC,"Construction of Community Hall at Pandoba, Goalpara under Border Area Development Fund for the year 2024-25","Construction of Community Hall at Pandoba, Goalpara under Border Area Development Fund for the year 2024-25",Please refer Tender documents. ,NA ,"23,84,537",Civil Works - Building,NA ,Tender,180.0,90.0,"Pandoba, Goalpara",783120.0,"O/O the S.E. PWD Goalpara Building Circle,Goalpara ","O/O the S.E. PWD Goalpara Building Circle,Goalpara ",25-Sep-2025 12:00 PM ,"O/O the S.E. PWD Goalpara Building Circle,Goalpara",No ,No,Public Works Building and NH Department||Chief Engineer-Building - PWBNH,"CS/SE/GBC/2025-26/08/56-A, Dated 11-09-2025",2025_PWBNH_47524_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,"47,691",Yes,percentage,2.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Technical Qualification,500.0,Nil,Nil,No,1.0,SBI Bank,16-Sep-2025 04:00 PM,08-Oct-2025 12:00 PM,16-Sep-2025 04:00 PM,07-Oct-2025 02:00 PM,NA ,NA ,26-Sep-2025 12:00 PM,07-Oct-2025 02:00 PM,16-Oct-2025 01:00 PM,"Superintending Engineer, PWD","O/O the S.E. PWD Goalpara Building Circle,Goalpara",AOC
,,,,,,,,,,,,,,,,2,283645,MAYUR MADHAB DAS,07-Oct-2025 01:56 PM,Rejected-Technical,Rejected,15-Oct-2025 04:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Additional Document,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,283638,Prasanta Kalita,06-Oct-2025 03:50 PM,Accepted-AOC,L1,06-Nov-2025 01:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,283608,SAHAR ALI,06-Oct-2025 02:43 PM,Rejected-Finance,L2,30-Oct-2025 04:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,283750,Sebabrata Purkayastha,07-Oct-2025 10:50 AM,Rejected-Technical,Rejected,15-Oct-2025 04:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
