Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
"A. Talukdar, CGM (PP and I),",Internal,,ABHIJIT SAHA,30-Aug-2025 05:03 PM,30-Aug-2025 05:05 PM,techsummary_71614.pdf (570.73 KB),Assam Power Generation Company Limited,2025_APGCL_45253_1,APGCL/CGM (Gen)/2025-26/Spares of Raw Water Pump-LTPS/12,Supply of Spares for WPIL Limited make Vertical Turbine Pump,1.0,272127.0,WPIL LIMITED,INR,"1,334,621",1.0,272127.0,WPIL LIMITED,16-Jul-2025 03:39 PM,Accepted-AOC,L-1 Bidder,10-Nov-2025 11:09 AM,Technical,Technical Bid Evaluation initiated,ABHIJIT SAHA,12-Aug-2025 12:26 PM,,Finance,Price Bid opened,Migom Mili,30-Aug-2025 05:17 PM,,BOQ Comparative Chart,"Sri Biswajit Pegu, IAS, MD, APGCL",Internal,,BHARGAV BORAH,10-Nov-2025 11:02 AM,finsummary_71614.pdf (167.93 KB),10-Nov-2025,"INR 1,334,621",120.0,BHARGAV BORAH,10-Nov-2025 11:09 AM,PO2020001348WPILSpares.PDF (169.00 KB),AOC,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,Technical Bid,500.0,Nil,Nil,No,Assam Power Generation Company Limited,APGCL/CGM (Gen)/2025-26/Spares of Raw Water Pump-LTPS/12,2025_APGCL_45253_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Online,No,No,No,Supply of Spares for WPIL Limited make Vertical Turbine Pump,"Supply of Spares for WPIL Limited make Vertical Turbine (VT) Pump (Model 16.5X8FAB) for Waste Heat Recovery Plant of Lakwa Thermal Power Station (LTPS), APGCL, Maibella.",Please refer Tender documents. ,NA ,"15,89,867",Mechanical Engg Items,pump parts ,Tender,180.0,120.0,Lakwa Thermal Power Station,785689.0,NA ,NA ,NA ,"Office of CGM (Gen), APGCL",No ,No,"CGM (Gen), APGCL","3rd Floor, Bijulee Bhawan, Paltan Bazar, Guwahati-781001",1.0,3rd Extension Notice,Date,,30-Jun-2025 06:00 PM,08-Aug-2025 04:00 PM,01-Jul-2025 10:00 AM,06-Aug-2025 12:00 PM,NA ,NA ,01-Jul-2025 10:00 AM,06-Aug-2025 12:00 PM,30-Aug-2025 05:05 PM,"32,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,"Additional Technical Documents, if any",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Corrigendum Notice-1,Technical Bid,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,Finance,.xls,Price Bid BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
