Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Bodoland Territorial Council||Small Cottage and Rural Industry-BTC,IND/CHD/G-126/2022-23/Pt-I/406,2025_BoTC_45728_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,ADDL DIRECTOR AND CHD IND AND COMMERCE,O/O THE ADDL DIRECTOR AND CHD IND AND COMMERCE,18-Jul-2025 01:30 PM,04-Aug-2025 10:30 AM,18-Jul-2025 01:30 PM,04-Aug-2025 10:00 AM,18-Jul-2025 01:30 PM ,04-Aug-2025 10:00 AM ,18-Jul-2025 01:30 PM,04-Aug-2025 10:00 AM,06-Aug-2025 12:00 PM,"2,500",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Technical Documents,1.0,Regarding Tender Fees,Fee,,1.0,SBI Bank,"2,00,015",Yes,percentage,2.0%,Nil,Nil,Human Resource Development under Project Management Unit for Authorized User Registration for GI Product,Human Resource Development under Project Management Unit for Authorized User Registration for GI Product,Please refer Tender documents. ,NA ,"1,00,00,746",Miscellaneous Services,NA ,Tender,180.0,NA ,Kokrajhar,783370.0,NA ,NA ,NA ,ADDL DIRECTOR AND CHD IND AND COMMERCE,No ,No,AOC,1.0,274431.0,NRDS Management Private Limited,INR,"10,000,246",04-Nov-2025,"INR 10,000,246",360.0,Ranaj Brahma,04-Nov-2025 01:30 PM,WorkOrderHumanResource0.pdf (597.00 KB),L1 Bidder,Finance,2 Bids are Admitted,Ranaj Brahma,04-Nov-2025 01:17 PM,finance_72485.pdf,BOQ Comparative Chart,Bodoland Territorial Council||Small Cottage and Rural Industry-BTC,2025_BoTC_45728_1,IND/CHD/G-126/2022-23/Pt-I/406,Human Resource Development under Project Management Unit for Authorized User Registration for GI Product,Technical,TOTAL THREE BIDS SUBMITTED AND ALL THREE BIDS ARE ACCEPTED,Ranaj Brahma,06-Aug-2025 11:21 AM,technical_72485.pdf,GC Rabha,Internal,Gopal Rabha Gopal Bharali Tarun Dam,Ranaj Brahma,04-Nov-2025 01:22 PM,finsummary_72485.pdf (590.88 KB),Gopal Rabha,Internal,G Rabha T Dam G Bharali D Narzary,Ranaj Brahma,06-Aug-2025 11:26 AM,06-Aug-2025 12:00 PM,techsummary_72485.pdf (1726.58 KB),1,274428,Assam Skill Training Provider (ASTP),02-Aug-2025 11:27 PM,Rejected-Finance,2nd lowest,04-Nov-2025 01:22 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Press Notice,2.0,Corrigendum,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,274423,Grameen Kaushal Vikash Kendra (GKVK),02-Aug-2025 11:40 PM,Rejected-Technical,REJECT,06-Aug-2025 11:26 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,274431,NRDS Management Private Limited,02-Aug-2025 10:15 PM,Accepted-AOC,Lowest Bidder,04-Nov-2025 01:31 PM,AOC
