Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,admitted,Robin Borah,24-Oct-2025 01:43 PM,,BOQ Comparative Chart,1,283929,M/S NISTHA CONSTRUCTION,13-Oct-2025 02:20 PM,Accepted-AOC,lowest bidder,27-Nov-2025 06:07 PM,SAJIDUR RAHMAN,Internal,,Robin Borah,24-Oct-2025 01:30 PM,24-Oct-2025 01:35 PM,techsummary_76200.pdf (1028.33 KB),ROBIN BORAH,Internal,,Robin Borah,17-Nov-2025 07:25 PM,finsummary_76200.pdf (1267.85 KB),Technical,Admitted,Ranjan Kumar Barman,16-Oct-2025 12:32 PM,,1.0,283929.0,M/S NISTHA CONSTRUCTION,INR,"2,058,682",21-Nov-2025,"INR 2,058,682",60.0,Robin Borah,27-Nov-2025 06:07 PM,workorder2.pdf (405.00 KB),NTC Workorder,Public Works Roads Department,2025_PWD_47803_1,PMGSY/SONARI/2025-26/02,PMGSY/SONARI/2025-26/02,AOC,1,Fee/PreQual/Technical,.pdf,SBD,1.0,SBI Bank,"41,174",Yes,fixed,,Nil,Nil,07-Oct-2025 02:00 PM,16-Oct-2025 12:00 PM,07-Oct-2025 02:00 PM,15-Oct-2025 02:00 PM,07-Oct-2025 02:00 PM ,13-Oct-2025 01:00 PM ,07-Oct-2025 02:00 PM,15-Oct-2025 02:00 PM,24-Oct-2025 01:35 PM,EE PWD CHARAIDEO DISTRICT TRD,O/O THE EE CHARAIDEO DISTRICT TERRITORIAL ROAD DIVISION.,Public Works Roads Department,PMGSY/SONARI/2025-26/02,2025_PWD_47803_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,420.0,Nil,Nil,No,PMGSY/SONARI/2025-26/02,"Defects Correction of Road Howfaw Ali No.3 Length 2.41KM including CD works and Routine Maintenance works for 5 years under PMGSY 2017-18 Pkg No AS-21-426,Batch-3 in Sibsagar District under PWD Charaideo DTRD,Sonari.Pkg No-PMGSY/SONARI/2025-26/02",Please refer Tender documents. ,NA ,,Civil Works – Roads,NA ,Tender,180.0,NA ,SONARI LAC,785690.0,"O/O THE EE CDTRD,SONARI ",O/O THE EE CHARAIDEO DISTRICT TERRITORIAL ROAD DIVISION.  ,13-Oct-2025 01:00 PM ,O/O THE EE CHARAIDEO DISTRICT TERRITORIAL ROAD DIV,No ,No,AOC
,,,,,,2,283934,Sri Pradip Sarmah,13-Oct-2025 02:09 PM,Rejected-Finance,higher bid value,17-Nov-2025 07:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
