EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"50,478",Yes,percentage,2.0%,Nil,Nil,12-Aug-2025 05:40 PM,04-Sep-2025 02:30 PM,12-Aug-2025 05:40 PM,03-Sep-2025 02:00 PM,NA ,NA ,21-Aug-2025 10:00 AM,03-Sep-2025 02:00 PM,18-Sep-2025 04:25 PM,1.0,SBI Bank,Animal Husbandry and Veterinary Department||Directorate of A.H. and Veterinary||Assam Livestock and Poultry Corporation Ltd.,E-679310/2025-26/DFA/1367538,2025_AHVD_46337_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,600.0,Nil,Nil,No,"REPAIRING OF OFFICE BUILDING, MANAGER QTR., GRADE- 3 AND GRADE 4 QTR, LABOUR BARRACK, CONSTRUCTION OF WHEEL DEEP, LAND DEVELOPMENT, JUNGLE CLEARANCE, SIGN BOARD ETC. AT NUCLEUS PIG BREEDING FARM, KATHIATOLI IN NAGAON DIST","REPAIRING OF OFFICE BUILDING, MANAGER QTR., GRADE- 3 AND GRADE 4 QTR, LABOUR BARRACK, CONSTRUCTION OF WHEEL DEEP, LAND DEVELOPMENT, JUNGLE CLEARANCE, SIGN BOARD ETC. AT NUCLEUS PIG BREEDING FARM, KATHIATOLI IN NAGAON DIST",Please refer Tender documents. ,NA ,"25,23,900",Civil Works,NA ,Tender,180.0,90.0,Nagaon,782001.0,"O/o Director AH and Vety, Dpt  ","O/o Director AH and Vety, Dpt chenikuthi Ghy-3 ",20-Aug-2025 01:00 PM ,"O/o Director AH and Vety, Dpt chenikuthi Ghy-3",No ,No,1.0,Fee/PreQual/Technical,.pdf,Document downloaded from portal,Director,"O/o Director AH and Vety, Dpt chenikuthi Ghy-3",AOC,1.0,279295.0,GOPAL CHANDRA BORAH,INR,"1,844,970.9",20-Nov-2025,"INR 1,844,970.9",90.0,Dandeswar Deka,20-Nov-2025 04:35 PM,AOC.pdf (3683.00 KB),Finance,Financial bid has been opened,Dandeswar Deka,18-Sep-2025 04:34 PM,,BOQ Comparative Chart,Animal Husbandry and Veterinary Department||Directorate of A.H. and Veterinary||Assam Livestock and Poultry Corporation Ltd.,2025_AHVD_46337_4,E-679310/2025-26/DFA/1367538,"REPAIRING OF OFFICE BUILDING, MANAGER QTR., GRADE- 3 AND GRADE 4 QTR, LABOUR BARRACK, CONSTRUCTION OF WHEEL DEEP, LAND DEVELOPMENT, JUNGLE CLEARANCE, SIGN BOARD ETC. AT NUCLEUS PIG BREEDING FARM, KATHIATOLI IN NAGAON DIST",Director,Internal,,Dandeswar Deka,20-Nov-2025 04:29 PM,finsummary_73917.pdf (3518.80 KB),Technical,Technical bid has been opened,NARESWAR THAKURIA,04-Sep-2025 04:22 PM,,Director,Internal,,Dandeswar Deka,18-Sep-2025 04:22 PM,18-Sep-2025 04:25 PM,techsummary_73917.pdf (2004.70 KB),1,279544,APURBA KUMAR DEKA,03-Sep-2025 01:05 PM,Rejected-Technical,Disqualified. Refer to technical minutes,18-Sep-2025 04:22 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Document,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,279226,ARCHNIRMAN PRIVATE LIMITED,03-Sep-2025 01:37 PM,Rejected-Technical,Disqualified. Refer to technical minutes,18-Sep-2025 04:22 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,279295,GOPAL CHANDRA BORAH,03-Sep-2025 11:39 AM,Accepted-AOC,Awarded,20-Nov-2025 04:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Letter of Bid,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,279136,Jiban Gogoi,03-Sep-2025 01:32 AM,Rejected-Finance,Rejected,20-Nov-2025 04:29 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,justification and analysis,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,278595,JUGAL PHUKAN,27-Aug-2025 05:41 PM,Rejected-Finance,Rejected,20-Nov-2025 04:29 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,278425,PRADIP CHAKRABORTY,01-Sep-2025 05:43 PM,Rejected-Finance,Rejected,20-Nov-2025 04:29 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,279221,Rajib Mohan Das,02-Sep-2025 12:02 PM,Rejected-Finance,Rejected,20-Nov-2025 04:29 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,278501,Route To Connect,02-Sep-2025 10:57 PM,Rejected-Finance,Rejected,20-Nov-2025 04:29 PM,AOC
