Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Assam Electricity Grid Corporation Ltd||CGM (T and T),2025_AEGCL_45573_1,Tech-338/OnM(LAR)/Lalganesh Flyover/Bid,Height Raising of 132kV Kahilipara-Kamakhya-AIIMS Transmission Line at Barshapara flyover crossing under Deposit work on Turnkey Basis,1.0,274731.0,Krishna Urja Construction LLP,INR,"52,604,891",CGM (OnM) LAR,Internal,,PRIYABRATA DEB,19-Sep-2025 05:27 PM,19-Sep-2025 05:30 PM,techsummary_72277.pdf (157.24 KB),13-Nov-2025,"INR 52,604,891",90.0,PRIYABRATA DEB,13-Nov-2025 05:27 PM,Contract_KUCLLP.pdf (12372.00 KB),"CGM (OnM), LAR",Internal,,PRIYABRATA DEB,13-Nov-2025 05:24 PM,finsummary_72277.pdf (181.21 KB),1,274732,ABHEDYA BASUMATARY JV PIXERIS POWER PRIVATE LIMITED,27-Aug-2025 02:10 PM,Rejected-Finance,L3 bidder,13-Nov-2025 05:24 PM,Technical,Technical Bid opened on 28.08.2025,Sumi Phukan,28-Aug-2025 03:54 PM,,Finance,Financial bid opened on 19.09.2025,PRIYABRATA DEB,19-Sep-2025 05:33 PM,,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.rar,Techno-commmercial,1.0,SBI Bank,"1,000",Nil,Nil,No,1.0,Corrigendum-V,Date,,Assam Electricity Grid Corporation Ltd||CGM (T and T),Tech-338/OnM(LAR)/Lalganesh Flyover/Bid,2025_AEGCL_45573_1,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,"10,45,000",Yes,fixed,,Nil,Nil,"CGM (OnM), LAR","Bijulee Bhawan, Paltan Bazar",15-Jul-2025 12:00 PM,28-Aug-2025 02:00 PM,15-Jul-2025 12:00 PM,28-Aug-2025 12:00 PM,15-Jul-2025 12:00 PM ,22-Jul-2025 05:00 PM ,15-Jul-2025 12:00 PM,28-Aug-2025 12:00 PM,19-Sep-2025 05:30 PM,Height Raising of 132kV Kahilipara-Kamakhya-AIIMS Transmission Line at Barshapara flyover crossing under Deposit work on Turnkey Basis,Height Raising of 132kV Kahilipara-Kamakhya-AIIMS Transmission Line at Barshapara flyover crossing under Deposit work on Turnkey Basis,Please refer Tender documents. ,NA ,"5,22,72,070",Electrical Works,NA ,Tender,180.0,90.0,"Barshapara, Guwahati",781018.0,NA ,NA ,NA ,"Bijulee Bhawan, Paltan Bazar",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,274722,Aquarian Enterprises,28-Aug-2025 10:26 AM,Rejected-Finance,L2 bidder,13-Nov-2025 05:24 PM,,,,,,,,,,,,AOC,,,.rar,Financial,,,,,,,2.0,Corrigendum-IV,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,274731,Krishna Urja Construction LLP,23-Aug-2025 06:42 PM,Accepted-AOC,L1 bidder,13-Nov-2025 05:27 PM,,,,,,,,,,,,AOC,,,.rar,Experience,,,,,,,3.0,Corrigendum-I,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,278440,Mega Electricals,27-Aug-2025 07:20 PM,Rejected-Technical,Non Responsive,19-Sep-2025 05:27 PM,,,,,,,,,,,,AOC,,,.rar,GTP and TTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,273115,Rahul Agenices,26-Aug-2025 04:48 PM,Rejected-Finance,L4 bidder,13-Nov-2025 05:24 PM,,,,,,,,,,,,AOC,2.0,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
