Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Welfare of Plain Tribes and Backward Classes||Director - WPT and BC||Assam Plains Tribes Development Corporation Ltd.,2024_WPTBC_38394_1,PTDC/Engg/2023-24/219,"Infrastructure Developmemt for Drinking water facilities, RCC staging, boundary wall etc. at EMRS Howraghat, Diphu",1.0,236885.0,M/S N.E. Infra,INR,"8,091,996.25",Dilip Kr. Pathak,Internal,Dilip Kr. Pathak,Jeena Gabison Ahmed,22-Aug-2024 05:36 PM,22-Aug-2024 05:40 PM,techsummary_62229.pdf (710.65 KB),13-Nov-2025,"INR 8,091,996.25",270.0,Jeena Gabison Ahmed,13-Nov-2025 12:24 PM,AocEMRSDiphu.pdf (1259.00 KB),AOC,Managing Director,Internal,,Jeena Gabison Ahmed,13-Nov-2025 12:18 PM,finsummary_62229.pdf (1259.36 KB),1.0,236889.0,M/S I.S. Trading Co.,16-Aug-2024 07:20 PM,Rejected-AOC,Not Awarded,13-Nov-2025 12:24 PM,Technical,Technical bid opened.,Dipak Kumar Gayary,20-Aug-2024 03:56 PM,,Finance,Financial bid has been opened,Dipak Kumar Gayary,22-Aug-2024 06:41 PM,,BOQ Comparative Chart,AOC,08-Aug-2024 04:00 PM,17-Aug-2024 03:30 PM,08-Aug-2024 04:00 PM,17-Aug-2024 03:00 PM,NA ,NA ,08-Aug-2024 04:00 PM,17-Aug-2024 03:00 PM,22-Aug-2024 05:40 PM,"1,600",Nil,Nil,Yes,1.0,Fee/PreQual/Technical,.pdf,Technical Qualification,Welfare of Plain Tribes and Backward Classes||Director - WPT and BC||Assam Plains Tribes Development Corporation Ltd.,PTDC/Engg/2023-24/219,2024_WPTBC_38394_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,"1,61,840",Yes,fixed,,Nil,Nil,Managing director,"Managing director at APTDCLtd. Ganeshguri, Guwahati - 05","Infrastructure Developmemt for Drinking water facilities, RCC staging, boundary wall etc. at EMRS Howraghat, Diphu","Infrastructure Developmemt for Drinking water facilities, RCC staging, boundary wall etc. at EMRS Howraghat, Diphu",Please refer tender document ,NA ,"80,92,000",Civil Works,NA ,Tender,120.0,270.0,"EMRS Howraghat, Diphu",782481.0,NA ,NA ,NA ,"APTDCLtd. Ganeshguri, Guwahati - 05",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,236885.0,M/S N.E. Infra,16-Aug-2024 07:34 PM,Accepted-AOC,Awarded,13-Nov-2025 12:24 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
