Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
500.0,Nil,Nil,Yes,"Executive Officer, Tinsukia Municipal Board",TINSUKIA MB,Urban Development Department||Directorate of Municipality Administration - UDD||Tinsukia Municipal Board,TMB(Tech)15th FC/(Untied Grant)/1177(67C),2025_UDD_46492_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,1.0,MODIFICATION,Other,,1.0,Fee/PreQual/Technical,.pdf,TECHNICAL BID,Construction of RCC Drain at Matri Nagar Main Road (Left),Construction of RCC Drain at Matri Nagar Main Road (Left),Please refer Tender documents. ,NA ,"21,54,000",Civil Works,NA ,Tender,180.0,NA ,Tinsukia,786125.0,NA ,NA ,NA ,Tinsukia Municipal Board,No ,No,14-Aug-2025 02:00 PM,08-Sep-2025 11:00 AM,16-Aug-2025 11:00 AM,06-Sep-2025 04:00 PM,NA ,NA ,16-Aug-2025 11:00 AM,06-Sep-2025 04:00 PM,15-Sep-2025 01:10 PM,1.0,SBI Bank,"43,080",Yes,fixed,,Nil,Nil,AOC,Urban Development Department||Directorate of Municipality Administration - UDD||Tinsukia Municipal Board,2025_UDD_46492_1,TMB(Tech)15th FC/(Untied Grant)/1177(67C),Construction of RCC Drain at Matri Nagar Main Road (Left),17-Oct-2025,"INR 1,938,600",180.0,Nayan Jyoti Nath,06-Nov-2025 02:35 PM,46492.pdf (288.00 KB),Pulak Chetia,Internal,,Nayan Jyoti Nath,24-Sep-2025 01:34 PM,finsummary_74076.pdf (307.10 KB),Technical,ADMITTED,Nayan Jyoti Nath,11-Sep-2025 05:01 PM,technical_74076.pdf,1.0,279849.0,Maverick Enterprise,INR,"1,938,600",Pulak Chetia,Internal,,Nayan Jyoti Nath,15-Sep-2025 01:06 PM,15-Sep-2025 01:10 PM,techsummary_74076.pdf (338.05 KB),1,280149,BS Traders,06-Sep-2025 02:35 PM,Rejected-Finance,Rejected by lottery,24-Sep-2025 01:34 PM,Finance,ADMITTED,Nayan Jyoti Nath,24-Sep-2025 11:21 AM,finance_74076.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,2.0,stamp,Technical Bid,,2.0,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,280132,HRIDHAAN ENTERPRISE,06-Sep-2025 01:02 PM,Rejected-Finance,Rejected by lottery,24-Sep-2025 01:34 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,279689,JOY GURU AGENCY,04-Sep-2025 12:37 PM,Rejected-Finance,Rejected by lottery,24-Sep-2025 01:34 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,279849,Maverick Enterprise,05-Sep-2025 02:32 PM,Accepted-AOC,L1,06-Nov-2025 02:35 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,280156,M/S MATA VAISHNO DEVI CONSTRUCTION,06-Sep-2025 03:10 PM,Rejected-Finance,Rejected by lottery,24-Sep-2025 01:34 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,279455,SRI SURAJIT DAS,05-Sep-2025 02:19 PM,Rejected-Finance,Rejected by lottery,24-Sep-2025 01:34 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,279389,SUMAN DEY,04-Sep-2025 01:29 PM,Rejected-Finance,Rejected by lottery,24-Sep-2025 01:34 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,279369,TABLU DEY,04-Sep-2025 12:22 PM,Rejected-Finance,Rejected by lottery,24-Sep-2025 01:34 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,279606,UMESH RAY,05-Sep-2025 02:42 PM,Rejected-Finance,Rejected by lottery,24-Sep-2025 01:34 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,279756,Usha Construction,04-Sep-2025 07:22 PM,Rejected-Finance,Rejected by lottery,24-Sep-2025 01:34 PM,,,,,,,AOC
