S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,SBI Bank,200.0,Nil,Nil,No,"11,000",Yes,percentage,2.0%,Nil,Nil,Department of Fisheries||Directorate of Fisheries Assam||DDF LAZ Howly||DFDO South Salmara,AFD(SM)-36/PMMSY/2023-24/152,2025_FD_47036_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,NIB,28-Aug-2025 02:00 PM,19-Sep-2025 01:00 PM,28-Aug-2025 03:00 PM,18-Sep-2025 03:30 PM,NA ,NA ,28-Aug-2025 03:30 PM,18-Sep-2025 03:30 PM,06-Oct-2025 11:00 AM,"DFDO, South Salmara Mankachar","O/o DFDO, South Salmara Mankachar, Hatsingimari","Supply of Fish Seed, Size Grater than 5 Inch Indian Major Carp and Exotic Carp under components for Inputs for Fresh Water Aquaculture and Paddy cum Fish culture","Supply of Fish Seed, Size Grater than 5 Inch Indian Major Carp and Exotic Carp under components for Inputs for Fresh Water Aquaculture and Paddy cum Fish culture",Please refer Tender documents. ,NA ,"5,50,000",Crop Products,NA ,Tender,180.0,NA ,SOUTH SALMARA MANKACHAR,783135.0,NA ,NA ,NA ,"O/o DFDO, South Salmara Mankachar",No ,No,AOC,Technical,"Against the component of Fish Seed, 2 tender applications were received in hardcopies as well as in assamtenders.com portal.",Mahesh Brahma,04-Oct-2025 01:16 AM,technical_74979.pdf,10-Nov-2025,"INR 550,000",120.0,Mahesh Brahma,11-Nov-2025 09:10 PM,2025_FD_47036_1.pdf (381.00 KB),"L1 BIDDER for Supply of Fish Seed, Size Grater than 5 Inch Indian Major Carp and Exotic Carp under components for Inputs for Fresh Water Aquaculture and Paddy cum Fish culture.",DISTRICT COMMISSIONER CUM CHAIRMAN,External,MEMBER SECRETARY AND MEMBERS,Mahesh Brahma,06-Nov-2025 12:42 AM,finsummary_74979.pdf (936.92 KB),Finance,"1 Financial bid was received in online and found in correct order, hence proposed for financial evaluation.",Mahesh Brahma,03-Nov-2025 04:49 PM,finance_74979.pdf,BOQ Comparative Chart,1,282185,Hatsingimari Farmers Producer company Limited,17-Sep-2025 07:49 PM,Rejected-Technical,Rejected due to submission of expired Fish Grower Registration Certificate.,04-Oct-2025 01:24 AM,Department of Fisheries||Directorate of Fisheries Assam||DDF LAZ Howly||DFDO South Salmara,2025_FD_47036_1,AFD(SM)-36/PMMSY/2023-24/152,"Supply of Fish Seed, Size Grater than 5 Inch Indian Major Carp and Exotic Carp under components for Inputs for Fresh Water Aquaculture and Paddy cum Fish culture",1.0,282318.0,LUIT ENTERPRISE,INR,"548,900",DISTRICT COMMISSIONER CUM CHAIRMAN,External,"Member Secretary, Members",Mahesh Brahma,04-Oct-2025 01:24 AM,06-Oct-2025 11:00 AM,techsummary_74979.pdf (435.11 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,282318,LUIT ENTERPRISE,18-Sep-2025 03:05 PM,Accepted-AOC,ACCEPTED- L1 BIDDER,11-Nov-2025 09:14 PM,,,,,,,,,,,,,,,,,AOC
