S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
1.0,268193.0,Power Tools and Engineering,INR,"143,174,000",Public Works Building and NH Department||Chief Engineer-Building - PWBNH,2025_PWBNH_44074_9,"CE/TB-VI/RIDF-XXX/1/2024/15 Dated Guwahati the 17th March, 2025","Construction of 126 Secondary Schools in 35 Districts of Assam under RIDF-XXX (2024-25) for (i) NamoniSubansiri High School, Narayanpur (ii)Harmoti Higher Secondary School, Bihpuria under Lakhimpur DTBD (Gr-44)",CE PWD(Bldg),Internal,,ABIDUR RAHMAN,21-Jun-2025 02:58 PM,21-Jun-2025 03:00 PM,techsummary_70286.pdf (1086.39 KB),04-Nov-2025,"INR 143,174,000",730.0,Chandana Basumatary,04-Nov-2025 06:24 PM,WOGr44.pdf (847.00 KB),CE PWD(Bldg),Internal,,Chandana Basumatary,04-Nov-2025 06:22 PM,finsummary_70286.pdf (846.59 KB),Finance,Summary,Chandana Basumatary,21-Jun-2025 03:46 PM,finance_70286.pdf,BOQ Comparative Chart,1,268139,golden traders,12-May-2025 08:34 PM,Rejected-AOC,L2,04-Nov-2025 06:24 PM,Technical,Summary,ABIDUR RAHMAN,15-May-2025 12:57 AM,technical_70286.pdf,AOC,Public Works Building and NH Department||Chief Engineer-Building - PWBNH,"CE/TB-VI/RIDF-XXX/1/2024/15 Dated Guwahati the 17th March, 2025",2025_PWBNH_44074_9,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"29,000",Nil,Nil,No,11-Apr-2025 05:00 PM,13-May-2025 03:00 PM,12-Apr-2025 11:00 AM,13-May-2025 02:00 PM,NA ,NA ,12-Apr-2025 11:30 AM,13-May-2025 02:00 PM,21-Jun-2025 03:00 PM,1.0,Fee/PreQual/Technical,.pdf,BID COST_BID SECURITY,1.0,SBI Bank,"CE, PWD(Bldg), H and E, Assam, Chandmari, Ghy-3","O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3","Construction of 126 Secondary Schools in 35 Districts of Assam under RIDF-XXX (2024-25) for (i) NamoniSubansiri High School, Narayanpur (ii)Harmoti Higher Secondary School, Bihpuria under Lakhimpur DTBD (Gr-44)","Construction of 126 Secondary Schools in 35 Districts of Assam under RIDF-XXX (2024-25) for (i) NamoniSubansiri High School, Narayanpur (ii)Harmoti Higher Secondary School, Bihpuria under Lakhimpur DTBD (Gr-44)",Please refer Tender documents. ,NA ,"14,43,70,000",Civil Works - Building,NA ,Tender,180.0,730.0,Lakhimpur,787001.0,"O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3 ","O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3 ",21-Apr-2025 11:30 AM ,"O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3",No ,No,"28,87,400",Yes,percentage,2.0%,Nil,Nil,1.0,2nd Extension Notice,Date,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,268180,JC Construction Pvt Ltd,13-May-2025 12:40 PM,Rejected-Technical,Non-Responsive,21-Jun-2025 02:58 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,BIDDING DOCUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,267860,Mousum Bora,12-May-2025 07:22 PM,Rejected-Technical,Non-Responsive,21-Jun-2025 02:58 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TECHNICAL QUALIFICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,268193,Power Tools and Engineering,13-May-2025 01:35 PM,Accepted-AOC,Work Order Issued,04-Nov-2025 06:24 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,268135,Sri Tarun Dutta,13-May-2025 01:33 PM,Rejected-Technical,Non-Responsive,21-Jun-2025 02:58 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,APPENDIX-IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
