Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"1,000",Nil,Nil,No,1.0,SBI Bank,Construction of Assam Type Forester Barrack House,"Construction of Assam Type Forester Barrack House at Eastern Range, Gamiri",Please refer Tender documents. ,NA ,"45,06,238",Civil Works - Building,NA ,Tender,90.0,90.0,"EAstern Range, Gamiri",784168.0,DFO Office ,"Panibharal, Biswanath Chariali ",22-Oct-2025 11:00 AM ,DFO Office,No ,No,13-Oct-2025 05:10 PM,07-Nov-2025 03:30 PM,13-Oct-2025 06:00 PM,07-Nov-2025 03:00 PM,NA ,NA ,14-Oct-2025 11:00 AM,07-Nov-2025 03:00 PM,27-Nov-2025 12:00 PM,Pr. Chief Conservator of Forest and Head of Forest Force||Principal Chief Conservator of Forests(Wildlife and Ch. Wildlife Warden)||Kaziranga National Park Bokakhat||Biswanath Wildlife Division,BWLD-589/2025,2025_PCCF_48007_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,EMD,"90,124",Yes,fixed,,Nil,Nil,Divisional Forest Officer,"Biswanath Wildlife Division, Biswanath Chariali",AOC,Raju Saikia,Internal,"Mohan Timung, Rinu Borah, Tridip Bhuyan",RITU PABAN BORAH,26-Nov-2025 04:24 PM,27-Nov-2025 12:00 PM,techsummary_76441.pdf (493.95 KB),1,285347,ABHIJIT DAS,02-Nov-2025 04:26 PM,Rejected-AOC,Not Recommended,30-Dec-2025 04:16 PM,Finance,All the obtained bids were evaluated by the tender committee and after scrutiny the report is made.,RITU PABAN BORAH,01-Dec-2025 01:21 PM,finance_76441.pdf,BOQ Comparative Chart,12-Dec-2025,"INR 4,055,614.2",90.0,RITU PABAN BORAH,30-Dec-2025 04:15 PM,WOforester45.pdf (287.00 KB),"Construction of Assam Type Forester Barrack House at Eastern Range, Gamiri of Biswanath Wildlife Division",1.0,285613.0,Airsense,INR,"4,055,614.2",Pr. Chief Conservator of Forest and Head of Forest Force||Principal Chief Conservator of Forests(Wildlife and Ch. Wildlife Warden)||Kaziranga National Park Bokakhat||Biswanath Wildlife Division,2025_PCCF_48007_1,BWLD-589/2025,Construction of Assam Type Forester Barrack House,Technical,Ten valid responses found and admitted to technical evaluation,RITU PABAN BORAH,26-Nov-2025 04:15 PM,technical_76441.pdf,Ritu Paban Borah,Internal,"Raju Saikia, Mohan Timung, Rinu Borah",RITU PABAN BORAH,01-Dec-2025 01:28 PM,finsummary_76441.pdf (393.55 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Bid Documents or SBD,,,,,,,,,AOC,,,,,,,,2,285613,Airsense,05-Nov-2025 09:52 PM,Accepted-AOC,Lowest Bidder,30-Dec-2025 04:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,IT Return/GST/Pan Card,,,,,,,,,AOC,,,,,,,,3,285414,KABENDRA DEKA,03-Nov-2025 04:45 PM,Rejected-AOC,Not Recommended,30-Dec-2025 04:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Liquid Asset/Financial Turnover/Cancelled Cheque,,,,,,,,,AOC,,,,,,,,4,285339,M/S A R ENTERPRISE,07-Nov-2025 08:13 AM,Rejected-AOC,Not Recommended,30-Dec-2025 04:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Past Experience Certificate/Caste Certificate/Undertaking/Labour License,,,,,,,,,AOC,,,,,,,,5,285117,M/S Kalpana Construction,07-Nov-2025 01:28 AM,Rejected-AOC,Not Recommended,30-Dec-2025 04:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Certificate/Affidavit/Similar Work done certificate/other bid related documents,,,,,,,,,AOC,,,,,,,,6,285425,M/S MAHAABALA CONSTRUCTION PVT. LTD.,03-Nov-2025 08:25 PM,Rejected-AOC,Not Recommended,30-Dec-2025 04:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid documents or BOQ,,,,,,,,,AOC,,,,,,,,7,285337,PABITRA SAIKIA,02-Nov-2025 11:53 AM,Rejected-AOC,Not Recommended,30-Dec-2025 04:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,285160,P.G.ENTERPRISES,01-Nov-2025 10:58 AM,Rejected-AOC,Not Recommended,30-Dec-2025 04:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,285274,STANDARD CREATION,31-Oct-2025 07:08 PM,Rejected-AOC,Not Recommended,30-Dec-2025 04:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,285690,Surjya Das,06-Nov-2025 02:05 PM,Rejected-AOC,Not Recommended,30-Dec-2025 04:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
