Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,Minutes,Sharon Thomas,24-Dec-2025 02:44 PM,finance_73770.pdf,BOQ Comparative Chart,1,278713,Allied Engineering Developers,28-Aug-2025 01:06 PM,Accepted-AOC,L1 Bidder,24-Dec-2025 03:31 PM,Chairman,Internal,Chairman,Ramen Tamuli,16-Dec-2025 02:48 PM,19-Dec-2025 03:00 PM,techsummary_73770.pdf (507.41 KB),1.0,278713.0,Allied Engineering Developers,INR,"8,310,400.16",Chairman,Internal,Chairman,Sharon Thomas,24-Dec-2025 03:06 PM,finsummary_73770.pdf (462.67 KB),Technical,Technical Bids of the successful bidders may be opened.,Ramen Tamuli,11-Dec-2025 12:28 PM,,24-Dec-2025,"INR 8,310,400.16",30.0,Sharon Thomas,24-Dec-2025 03:31 PM,AOC_Dumpers.pdf (717.00 KB),Li Bidder,Urban Development Department||Directorate of Municipality Administration - UDD||Tezpur Municipal Board,2025_UDD_46232_1,TM/PWD/SWM/2024-25/26/491,Supply of 4 Nos. of 5.0 Cum Dumpers at Tezpur Municipal Board,AOC,"5,000",Nil,Nil,Yes,1.0,SBI Bank,"Chairman/Executive Officer, Tezpur Municipal Board","Chairman/Executive Officer, Tezpur Municipal Board, Post Office Road, Near Head Post Office",07-Aug-2025 04:00 PM,28-Aug-2025 03:00 PM,07-Aug-2025 04:00 PM,28-Aug-2025 02:00 PM,07-Aug-2025 04:00 PM ,28-Aug-2025 02:00 PM ,07-Aug-2025 04:00 PM,28-Aug-2025 02:00 PM,19-Dec-2025 03:00 PM,1.0,Fee/PreQual/Technical,.pdf,NIT,Supply of 4 Nos. of 5.0 Cum Dumpers at Tezpur Municipal Board,Supply of 4 Nos. of 5.0 Cum Dumpers at Tezpur Municipal Board,Please refer Tender documents. ,NA ,0.0,Vehicles/Vehicle Spares,NA ,Tender,30.0,30.0,"Chairman/Executive Officer, Tezpur Municipal Board",784001.0,NA ,NA ,NA ,"Chairman/Executive Officer, Tezpur Municipal Board",No ,No,Urban Development Department||Directorate of Municipality Administration - UDD||Tezpur Municipal Board,TM/PWD/SWM/2024-25/26/491,2025_UDD_46232_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Online,No,No,No,"1,60,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,2,278839,AUTO AXIS PRIVATE LIMITED,28-Aug-2025 01:43 PM,Not Admitted-Fee/PreQual/Technical,Others-EMD Amount not submitted online.,11-Dec-2025 12:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,3,278287,Clean & Green Equipments Private Limited,25-Aug-2025 04:20 PM,Not Admitted-Fee/PreQual/Technical,Others-EMD amount not submitted online.,11-Dec-2025 12:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,4,278740,Punjab Engineering Company,27-Aug-2025 08:12 PM,Not Admitted-Fee/PreQual/Technical,Others-EMD Amount not submitted online,11-Dec-2025 12:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,5,278313,WASTE HANDLING EQUIPMENT MANUFACTURING ENTERPRISES,27-Aug-2025 10:04 PM,Rejected-AOC,L2,24-Dec-2025 03:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
