Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Technical Document,"1,500",Nil,Nil,Yes,1.0,Extension of Tender Closing Date,Date,,1.0,SBI Bank,Divisional Forest Officer,"O/o the Divisional Forest Officer, Western Assam Wildlife Division, Dolabari, Tezpur",Pr. Chief Conservator of Forest and Head of Forest Force||Principal Chief Conservator of Forests(Wildlife and Ch. Wildlife Warden)||Western Assam Wildlife Division,B/WAWL/TENDER/CAMPA/2025/1755,2025_PCCF_47340_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,"73,717",Yes,percentage,2.0%,Nil,Nil,CONSTRUCTION OF ANTI-POACHING CAMP AT MYNA,"CONSTRUCTION OF ANTI-POACHING CAMP AT MYNA, NAMERI NATIONAL PARK UNDER WESTERN ASSAM WILDLIFE DIVISION, DOLABARI, TEZPUR",Please refer the bid document ,NA ,"36,85,874",Civil Works,NA ,Tender,120.0,90.0,Nameri National Park,784102.0,"Divisional Forest Officer, WAWL Division ","O/o the Divisional Forest Officer, Western Assam Wildlife Division, Dolabari, Tezpur ",15-Sep-2025 12:00 PM ,"Divisional Forest Officer, WAWL Division",No ,No,08-Sep-2025 09:00 AM,10-Oct-2025 02:00 PM,08-Sep-2025 10:00 AM,10-Oct-2025 12:00 PM,15-Sep-2025 01:00 PM ,22-Sep-2025 05:00 PM ,22-Sep-2025 05:30 PM,10-Oct-2025 12:00 PM,10-Oct-2025 05:10 PM,AOC,Finance,Financially Qualified by BEC,Piraisoodan B,04-Dec-2025 11:04 AM,finance_75549.pdf,BOQ Comparative Chart,04-Dec-2025,"INR 3,317,286.6",90.0,Piraisoodan B,04-Dec-2025 11:16 AM,WOMynaAPC.pdf (822.00 KB),Awarded Contract to Mahaabala Construction,1.0,283953.0,M/S MAHAABALA CONSTRUCTION PVT. LTD.,INR,"3,317,286.6",Divisional Forest Officer,Internal,Divisional Forest Officer Deputy Ranger Beat Officer Senior Assistant,Piraisoodan B,04-Dec-2025 11:09 AM,finsummary_75549.pdf (1004.98 KB),Technical,Technically Qualified by BEC,Piraisoodan B,10-Oct-2025 04:55 PM,technical_75549.pdf,Pr. Chief Conservator of Forest and Head of Forest Force||Principal Chief Conservator of Forests(Wildlife and Ch. Wildlife Warden)||Western Assam Wildlife Division,2025_PCCF_47340_1,B/WAWL/TENDER/CAMPA/2025/1755,CONSTRUCTION OF ANTI-POACHING CAMP AT MYNA,1,283953,M/S MAHAABALA CONSTRUCTION PVT. LTD.,09-Oct-2025 08:41 AM,Accepted-AOC,Least Quoted Responsive Bidder,04-Dec-2025 11:16 AM,Divisional Forest Officer,Internal,Divisional Forest Officer Deputy Ranger Beat Officer Senior Assistant,Piraisoodan B,10-Oct-2025 05:04 PM,10-Oct-2025 05:10 PM,techsummary_75549.pdf (626.52 KB),AOC
,,.pdf,Bid document download from the portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,283713,M/S R P JALLAN,08-Oct-2025 03:31 PM,Rejected-Finance,Non Responsive Bidder,04-Dec-2025 11:09 AM,,,,,,,,AOC
2.0,Finance,.xls,Price bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,283963,MUGDHA CONSTRUCTION AND SUPPLY SERVICES,09-Oct-2025 11:50 AM,Rejected-Finance,Non Responsive Bidder,04-Dec-2025 11:09 AM,,,,,,,,AOC
