Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
23-Aug-2025 06:00 PM,15-Sep-2025 01:00 PM,24-Aug-2025 09:00 AM,15-Sep-2025 12:00 PM,NA ,NA ,03-Sep-2025 05:00 PM,15-Sep-2025 12:00 PM,26-Sep-2025 12:00 PM,"2,00,000",Yes,percentage,2.0%,Nil,Nil,"Principal cum Chief Superintendent, LMCH","Superintendent Office, LMCH","Supply of Laboratory reagents,chemicals and consumables Items","Supply of Laboratory reagents,chemicals and consumables at Lakhimpur Medical College and Hospital",Please refer Tender documents. ,NA ,"1,00,00,000",Consumables (Hospital / Lab),NA ,Rate Contract,90.0,NA ,Lakhimpur Medical College,787051.0,"Superintendent Office, LMCH ","Superintendent Office, LMCH ",02-Sep-2025 12:00 PM ,"Superintendent Office, LMCH",No ,No,1.0,Changes in Boq,BOQ,,1.0,Fee/PreQual/Technical,.pdf,Technical Bid,1.0,SBI Bank,Health and Family Welfare Department||Directorate of Medical Education-HFWD||Lakhimpur Medical College and Hospital-HFWD,LMC/Lab/79/2025/1660,2025_HFWD_46869_1,Yes,Open Tender,Item Wise,Goods,2.0,No,No,Online,No,No,No,"2,000",Nil,Nil,No,AOC,Finance,Financial evaluation done and item wise L1 selected,MIGOM DOLEY,17-Dec-2025 11:53 AM,finance_74719.pdf,BOQ Comparative Chart,17-Dec-2025,"INR 10,000,000",730.0,MIGOM DOLEY,17-Dec-2025 12:54 PM,Reagents_AOC_Merged.pdf (7536.00 KB),"SUPPLY OF LABORATORY REAGENTS, CHEMICALS, CONSUMABLES AT LAKHIMPUR MEDICAL COLLEGE & HOSPITAL, NORTH LAKHIMPUR, ASSAM",1,281838,ASSAM CHEMICALS & INSTRUMENTS CORPORATION,INR,"1,029,295",Dr. Raktim Borgohain,Internal,"Dr. Jitu Das, Dr. Rumi Deori, Dr. Nitu Mani Khakhlari, Dr. Migom Doley, Dr. Nayanjyoti Sarmah, Dr. Bandana Devi(AFS)",MIGOM DOLEY,17-Dec-2025 12:37 PM,finsummary_74719.pdf (480.95 KB),Technical,Shortfall documents requested from bidders,MIGOM DOLEY,17-Sep-2025 11:52 AM,technical_74719.pdf,Health and Family Welfare Department||Directorate of Medical Education-HFWD||Lakhimpur Medical College and Hospital-HFWD,2025_HFWD_46869_1,LMC/Lab/79/2025/1660,"Supply of Laboratory reagents,chemicals and consumables Items",1,281532,AAROGYA PHARMACEUTICALS,13-Sep-2025 07:34 PM,Accepted-AOC,L1 bidder for 15 items out of total 1263 qualified items,17-Dec-2025 12:54 PM,Dr. Raktim Borgohain,Internal,"Dr. Jitu Das, Dr. Rumi Deori, Dr. Nitu Mani Khakhlari, Dr. Migom Doley, Dr. Nayanjyoti Sarmah, Mrs. Bandana Devi, AFS",MIGOM DOLEY,25-Sep-2025 02:31 PM,26-Sep-2025 12:00 PM,techsummary_74719.pdf (455.08 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,2,281620,KRITARTHA TRADERS,INR,"1,472,684",,,,,,,,,,,,,,,,2,281530,AFFIGENIX BIOSOLUTIONS PRIVATE LIMITED,15-Sep-2025 10:44 AM,Accepted-AOC,L1 bidder for 17 items out of total 1263 qualified items,17-Dec-2025 12:54 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,3,281615,S.B Suppliers,INR,"1,250,990",,,,,,,,,,,,,,,,3,281838,ASSAM CHEMICALS & INSTRUMENTS CORPORATION,14-Sep-2025 11:02 PM,Accepted-AOC,L1 bidder for 130 items out of total 1263 qualified items,17-Dec-2025 12:54 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,4,281532,AAROGYA PHARMACEUTICALS,INR,"118,765",,,,,,,,,,,,,,,,4,281470,BIO-CARE ASSOCIATES,15-Sep-2025 10:49 AM,Accepted-AOC,L1 bidder for 54 items out of total 1263 qualified items,17-Dec-2025 12:54 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,5,281530,AFFIGENIX BIOSOLUTIONS PRIVATE LIMITED,INR,"134,600",,,,,,,,,,,,,,,,5,281392,Biogene Scientific,12-Sep-2025 01:40 PM,Accepted-AOC,L1 bidder for 8 items out of total 1263 qualified items,17-Dec-2025 12:54 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,6,281470,BIO-CARE ASSOCIATES,INR,"427,553",,,,,,,,,,,,,,,,6,280792,Jyoti Pharmaceuticals,15-Sep-2025 09:31 AM,Accepted-AOC,L1 bidder for 212 items out of total 1263 qualified items,17-Dec-2025 12:54 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,7,281392,Biogene Scientific,INR,"63,341",,,,,,,,,,,,,,,,7,280018,KALPATRU SCIENTIFIC,09-Sep-2025 02:34 PM,Accepted-AOC,L1 bidder for 67 items out of total 1263 qualified items,17-Dec-2025 12:54 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,8,281373,M B Traders,INR,"1,567,696",,,,,,,,,,,,,,,,8,281620,KRITARTHA TRADERS,13-Sep-2025 05:44 PM,Accepted-AOC,L1 bidder for 186 items out of total 1263 qualified items,17-Dec-2025 12:54 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,9,281227,U D Scientific,INR,"419,636",,,,,,,,,,,,,,,,9,281373,M B Traders,13-Sep-2025 03:55 PM,Accepted-AOC,L1 bidder for 198 items out of total 1263 qualified items,17-Dec-2025 12:54 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,10,280914,P.M. Medizone,INR,"285,036",,,,,,,,,,,,,,,,10,280798,North East Enterprise,15-Sep-2025 12:54 AM,Accepted-AOC,L1 bidder for 129 items out of total 1263 qualified items,17-Dec-2025 12:54 PM,,,,,,,,AOC
