Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
Public Works Roads Department,CE/MAINT/SOPDG/01/2025-26/02,2025_PWD_45827_64,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,24-Jul-2025 09:00 AM,14-Aug-2025 11:00 AM,24-Jul-2025 09:00 AM,12-Aug-2025 02:00 PM,24-Jul-2025 09:00 AM ,12-Aug-2025 12:00 PM ,24-Jul-2025 09:00 AM,12-Aug-2025 02:00 PM,16-Oct-2025 12:55 PM,"1,27,000",Yes,fixed,,Nil,Nil,"1,300",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Technical Qualification Details,1.0,SBI Bank,MAINT/SOPD-G/2025-26/73,MAINT/SOPD-G/2025-26/73_1Reconstruction of SPT BrNo 1/1 on Barpeta Dangarkuchi road and 2Reconstruction of SPT Br No 1/1 at Deuri kuchi Bhalukamari road under SOPDG for the year 202526,Please refer Tender documents. ,NA ,"63,31,000",Civil Works – Roads,NA ,Rate Contract,180.0,120.0,Barpeta,781301.0,"O/o the Chief Engineer,PWD(Roads),Assam,Chandmari, ","O/o the Chief Engineer,PWD(Roads),Assam,Chandmari,Guwahati-03 ",24-Jul-2025 12:00 PM ,"O/o the Chief Engineer,PWD(Roads),Assam,Chandmari,",No ,No,"Chief Engineer,PWD(Roads),Assam,Chandmari,Guwahati","O/o the Chief Engineer,PWD(Roads),Assam,Chandmari,Guwahati-03",AOC,"Chief Engineer,PWD(Roads),Assam,Chandmari,Guwahati-03",Internal,AEEMaintenanceCell_ SEMaintenanceCell_ Chief EngineerPWD RoadsDepartment_Assam,Bhupendra Nath Das,16-Oct-2025 12:50 PM,16-Oct-2025 12:55 PM,techsummary_72826.pdf (323.39 KB),1.0,276176.0,M/S Royal Smart Construction,12-Aug-2025 12:35 PM,Rejected-Finance,Rejected by BEC,24-Dec-2025 02:58 PM,1.0,276173.0,Yaminuz Zaman,INR,"6,330,000",24-Dec-2025,"INR 6,330,000",120.0,Monoj Kumar Tamuli,24-Dec-2025 03:02 PM,FWO_SOPD_2025_26_73.pdf (362.00 KB),Awarded Cost of Contract,Finance,Recommended by BEC,Monoj Kumar Tamuli,24-Dec-2025 02:54 PM,,BOQ Comparative Chart,Public Works Roads Department,2025_PWD_45827_64,CE/MAINT/SOPDG/01/2025-26/02,MAINT/SOPD-G/2025-26/73,Technical,Recommended by bid evaluation committee,Bhupendra Nath Das,16-Oct-2025 12:48 PM,,Chief_Engineer_PWD_Roads,Internal,AEE_Maint_Cell_SE_Maint_Cell_Chief_Engineer_PWD_Roads,Monoj Kumar Tamuli,24-Dec-2025 02:58 PM,finsummary_72826.pdf (1064.36 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Standard Bidding Document,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2.0,276173.0,Yaminuz Zaman,12-Aug-2025 12:56 PM,Accepted-AOC,Accepted by BEC,24-Dec-2025 03:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FOB,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
