Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
CE PWRD,Internal,,BHABANANDA DEKA,12-Mar-2025 06:05 PM,12-Mar-2025 06:30 PM,techsummary_64888.pdf (286.20 KB),1.0,247177.0,SRI PRAGYA JYOTI MAHANTA,INR,"13,965,300",Public Works Roads Department,2024_PWD_39820_188,"CE/DEV/TB/213/2024-25/04 Dtd. Guwahati, 20th September, 2024","TE_RIDF_XXX_24_25_363 Construction of (1) Bosabari T.E. Road, (2) Bosabari T.E. Line No-1, (3) Bosabari T.E. Line No-2, (4) Bosabari T.E. Line No-3, under RIDF-XXX of NABARD for the year 2024-25",1,247302,Amlan Deep Borah,29-Oct-2024 09:04 PM,Rejected-Finance,Rejected,18-Dec-2025 05:41 PM,Technical,Admitted,BHABANANDA DEKA,12-Mar-2025 06:04 PM,,Finance,Admitted,BHABANANDA DEKA,18-Dec-2025 05:35 PM,,BOQ Comparative Chart,18-Dec-2025,"INR 13,965,300",270.0,BHABANANDA DEKA,18-Dec-2025 05:43 PM,TE363A.pdf (480.00 KB),"CE,PWRD",Internal,,BHABANANDA DEKA,18-Dec-2025 05:41 PM,finsummary_64888.pdf (526.82 KB),AOC,"CE, PWD(Roads), Assam, Chandmari, Ghy-3","CE, PWD(Roads), Assam, Chandmari, Ghy-3",1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,BID COST_BID SECURITY,"3,100",Nil,Nil,No,Public Works Roads Department,"CE/DEV/TB/213/2024-25/04 Dtd. Guwahati, 20th September, 2024",2024_PWD_39820_188,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"TE_RIDF_XXX_24_25_363 Construction of (1) Bosabari T.E. Road, (2) Bosabari T.E. Line No-1, (3) Bosabari T.E. Line No-2, (4) Bosabari T.E. Line No-3, under RIDF-XXX of NABARD for the year 2024-25","TE_RIDF_XXX_24_25_363 Construction of (1) Bosabari T.E. Road, (2) Bosabari T.E. Line No-1, (3) Bosabari T.E. Line No-2, (4) Bosabari T.E. Line No-3, under RIDF-XXX of NABARD for the year 2024-25",Please refer Tender documents. ,NA ,"1,55,17,000",Civil Works – Roads,NA ,Tender,180.0,270.0,Jorhat,785630.0,"CE, PWD(Roads), Assam, Chandmari, Ghy-3 ","CE, PWD(Roads), Assam, Chandmari, Ghy-3 ",22-Oct-2024 12:00 PM ,"CE, PWD(Roads), Assam, Chandmari, Ghy-3",No ,No,19-Oct-2024 02:00 PM,30-Oct-2024 02:30 PM,19-Oct-2024 02:00 PM,30-Oct-2024 02:00 PM,19-Oct-2024 02:00 PM ,22-Oct-2024 12:00 PM ,23-Oct-2024 02:30 PM,30-Oct-2024 02:00 PM,12-Mar-2025 06:30 PM,"3,10,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,2,247383,BIJU GOGOI,30-Oct-2024 01:04 PM,Rejected-Finance,Rejected,18-Dec-2025 05:41 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,BIDDING DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,246884,Charu Krishna Bhardwaj,29-Oct-2024 09:43 PM,Rejected-Finance,Rejected,18-Dec-2025 05:41 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,TECHNICAL QUALIFICATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,246413,Dinesh Gogoi,29-Oct-2024 03:56 PM,Rejected-Finance,Rejected,18-Dec-2025 05:41 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,246444,PRANAB PHUKAN,29-Oct-2024 09:11 PM,Rejected-Finance,Rejected,18-Dec-2025 05:41 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,FOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,247149,Shantanu Madhab,30-Oct-2024 01:44 PM,Rejected-Finance,Rejected,18-Dec-2025 05:41 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,247394,Sri Manoj Pareek,30-Oct-2024 10:45 AM,Rejected-Finance,Rejected,18-Dec-2025 05:41 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,247177,SRI PRAGYA JYOTI MAHANTA,29-Oct-2024 04:43 PM,Accepted-AOC,Awarded,18-Dec-2025 05:43 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,247373,SRI SUNNY DAS,30-Oct-2024 12:14 AM,Rejected-Finance,Rejected,18-Dec-2025 05:41 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,247123,Sri Swarmal Agarwalla,29-Oct-2024 09:02 PM,Rejected-Finance,Rejected,18-Dec-2025 05:41 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
