Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Pr. Chief Conservator of Forest and Head of Forest Force||Principal Chief Conservator of Forests(Wildlife and Ch. Wildlife Warden)||Kaziranga National Park Bokakhat||Biswanath Wildlife Division,2025_PCCF_47884_1,BWLD-580/2025,Construction of Barrack,Technical,Twelve valid responses found and admitted to technical evaluation,RITU PABAN BORAH,28-Nov-2025 12:56 PM,technical_76301.pdf,Ritu Paban Borah,Internal,"Raju Saikia, Mohan Timung, Rinu Borah",RITU PABAN BORAH,01-Dec-2025 01:15 PM,finsummary_76301.pdf (453.17 KB),Finance,All the obtained bids were evaluated by the tender committee and after scrutiny the report is made,RITU PABAN BORAH,01-Dec-2025 12:43 PM,finance_76301.pdf,BOQ Comparative Chart,22-Dec-2025,"INR 2,700,000",90.0,RITU PABAN BORAH,30-Dec-2025 04:30 PM,WObattalion30.pdf (247.00 KB),Construction of Barrack for AFPF battalion of Biswanath Wildlife Division,1.0,285440.0,RITUPON BARUAH,INR,"2,700,000",Ritu Paban Borah,Internal,"Raju Saikia, Mohan Timung, Rinu Borah, Tridip Bhuyan",RITU PABAN BORAH,28-Nov-2025 01:02 PM,28-Nov-2025 01:15 PM,techsummary_76301.pdf (602.58 KB),1,285346,ABHIJIT DAS,02-Nov-2025 04:20 PM,Rejected-AOC,Not Recommended,30-Dec-2025 04:31 PM,AOC,1.0,SBI Bank,Divisional Forest Officer,Panibharal Biswanath Chariali,"60,000",Yes,fixed,,Nil,Nil,"1,000",Nil,Nil,No,10-Oct-2025 05:00 PM,04-Nov-2025 03:30 PM,11-Oct-2025 11:00 AM,04-Nov-2025 03:00 PM,NA ,NA ,11-Oct-2025 11:30 AM,04-Nov-2025 03:00 PM,28-Nov-2025 01:15 PM,Pr. Chief Conservator of Forest and Head of Forest Force||Principal Chief Conservator of Forests(Wildlife and Ch. Wildlife Warden)||Kaziranga National Park Bokakhat||Biswanath Wildlife Division,BWLD-580/2025,2025_PCCF_47884_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,EMD,Construction of Barrack,Construction of Barrack for AFPF Battalion,Please refer Tender documents. ,NA ,"30,00,000",Civil Works - Building,NA ,Tender,90.0,90.0,Eastern Range,784168.0,DFO Office ,Panibharal Biswanath ,22-Oct-2025 11:00 AM ,DFO Office,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,285433,JAGADISH SONOWAL,04-Nov-2025 09:06 AM,Rejected-AOC,Not Recommended,30-Dec-2025 04:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Bid Documents/SBD,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,285415,KABENDRA DEKA,03-Nov-2025 04:48 PM,Rejected-AOC,Not Recommended,30-Dec-2025 04:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,IT Return/GST/Pan Card,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,285338,M/S A R ENTERPRISE,04-Nov-2025 11:19 AM,Rejected-AOC,Not Recommended,30-Dec-2025 04:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Liquid Asset/Financial Turnover/Cancelled Cheque,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,285116,M/S Kalpana Construction,03-Nov-2025 12:22 AM,Rejected-AOC,Not Recommended,30-Dec-2025 04:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Past Experience/Caste Certificate/Undertaking/Labour Licence,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,285429,M/S MAHAABALA CONSTRUCTION PVT. LTD.,03-Nov-2025 08:41 PM,Rejected-AOC,Not Recommended,30-Dec-2025 04:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Certificate/Affidavit /Similar Work done and Other bid related documents,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,285336,PABITRA SAIKIA,02-Nov-2025 11:24 AM,Rejected-AOC,Not Recommended,30-Dec-2025 04:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid Documents or BOQ,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,285162,P.G.ENTERPRISES,01-Nov-2025 11:37 AM,Rejected-AOC,Not Recommended,30-Dec-2025 04:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,285455,P.K. Enterprise,04-Nov-2025 02:17 PM,Rejected-AOC,Not Recommended,30-Dec-2025 04:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,285440,RITUPON BARUAH,04-Nov-2025 01:30 PM,Accepted-AOC,Lowest Bidder,30-Dec-2025 04:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
