Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
K. Rajkhowa,Internal,Minutes,Syed Nurul Hussain,19-Dec-2025 05:36 PM,finsummary_70811.pdf (1082.32 KB),Technical,Minutes of Tender Evaluation Committee meeting held on 15/09/2025,Syed Nurul Hussain,24-Oct-2025 12:30 PM,technical_70811.pdf,Department of Handloom Textile and Sericulture||Directorate of Sericulture,2025_DHTS_44493_1,"SDT.3/2025/13/6866, dt.21/05/2025",Supply of Rearing and Mounting equipment to Eri Rearers of the project Upliftment of Socio Economic Status of Womenfolk of Dhekiajuli LAC under Sonitpur District Assam through Development of Ericulture under Silk Samagra2,1.0,269321.0,D FASHION,INR,"6,482,300",Finance,Minutes,Syed Nurul Hussain,19-Dec-2025 05:33 PM,finance_70811.pdf,BOQ Comparative Chart,19-Dec-2025,"INR 6,482,300",30.0,Syed Nurul Hussain,19-Dec-2025 05:39 PM,SOSDT3.pdf (1040.00 KB),Minutes,1,269321,D FASHION,18-Jun-2025 10:13 AM,Accepted-AOC,L-1,19-Dec-2025 05:40 PM,K. Rajkhowa,Internal,Minutes enclosed,Syed Nurul Hussain,24-Oct-2025 12:36 PM,27-Oct-2025 03:00 PM,techsummary_70811.pdf (1069.27 KB),AOC,"1,56,200",Yes,percentage,2.0%,Nil,Nil,Supply of Rearing and Mounting equipment to Eri Rearers of the project Upliftment of Socio Economic Status of Womenfolk of Dhekiajuli LAC under Sonitpur District Assam through Development of Ericulture under Silk Samagra2,Supply of Rearing and Mounting equipment to Eri Rearers of the project Upliftment of Socio Economic Status of Womenfolk of Dhekiajuli LAC under Sonitpur District Assam through Development of Ericulture under Silk Samagra2,As per tender Documents ,NA ,"78,10,000",Supply of Materials,NA ,Tender,360.0,30.0,Dhekiajuli,784110.0,"Directorate of Sericulture, Assam ","Directorate of Sericulture, Assam, Khanapara, Guwahati-22 ",02-Jun-2025 03:00 PM ,DIRECTORATE OF SERICULRURE ASSAM,No ,No,Department of Handloom Textile and Sericulture||Directorate of Sericulture,"SDT.3/2025/13/6866, dt.21/05/2025",2025_DHTS_44493_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Online,No,No,No,"Director of Sericulture, Assam","Directorate of Sericulture, Assam, Khanapara, Guwahati-22",23-May-2025 05:30 PM,20-Jun-2025 03:00 PM,23-May-2025 06:00 PM,20-Jun-2025 01:00 PM,NA ,NA ,04-Jun-2025 02:00 PM,20-Jun-2025 01:00 PM,27-Oct-2025 03:00 PM,1.0,SBI Bank,0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Technical Documents,1.0,corrigendum,Date,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,269346,INTERNATIONAL SCALES AND MACHINERY,19-Jun-2025 08:52 PM,Not Admitted-Fee/PreQual/Technical,Others-Lack of authorised dealer certificate,24-Oct-2025 12:30 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,2.0,Corrigendum,Financial Bid,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,269851,M/S RASHI ENTERPRISE,19-Jun-2025 02:09 PM,Not Admitted-Fee/PreQual/Technical,Others-Lack of authorised dealer certificate,24-Oct-2025 12:30 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Additional Documens,3.0,Corrigendum,Technical Bid,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,269853,M/S RENGONI,12-Jun-2025 08:01 PM,Not Admitted-Fee/PreQual/Technical,Others-Lack of authorised dealer certificate,24-Oct-2025 12:30 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,269423,SERIND (INDIA),06-Jun-2025 02:10 PM,Not Admitted-Fee/PreQual/Technical,Others-The name of the firm i.e. Serind (India) is not in the list of authorised dealers provided by Healthline Pvt. Ltd issued only for this tender.,24-Oct-2025 12:30 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,269813,S.G. ENTERPRISE,18-Jun-2025 12:02 AM,Rejected-Finance,L-3,19-Dec-2025 05:36 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,269814,THARAD TRADING CO.,18-Jun-2025 12:19 AM,Rejected-Finance,L-2,19-Dec-2025 05:36 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
