Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Bodoland Territorial Council||Education-BTC,2025_BoTC_45614_1,DOE/BTC/SSA/DAJGUA/Hostel/01,Construction of 50 bedded hostel separately for boys and girls under the scheme Dharti Aaba Janjatiya Gram Utkarsh Abhiyan at Ramfalbil HSS School in Kokrajhar District,Technical,Opening,Jagadish P Brahma,20-Aug-2025 12:31 PM,technical_72333.pdf,"A.J. Barman ACS, Secretary BTC Kokrajhar",Mixed,"JP Brahma, Member Secretary, J. Daimary, Member, K. Boro, Member, K.Samsukha, Member, P. Nandi, Member, V. Narzary, Member, S.K. Dora, AFS Member",Jagadish P Brahma,08-Dec-2025 11:18 AM,finsummary_72333.pdf (890.57 KB),Finance,Financial Opening,Jagadish P Brahma,08-Dec-2025 11:13 AM,finance_72333.pdf,BOQ Comparative Chart,08-Dec-2025,"INR 35,988,820",365.0,Jagadish P Brahma,08-Dec-2025 11:21 AM,WO.pdf (579.00 KB),WO,1.0,274524.0,ANANDA CHANDRA DAS,INR,"35,988,820",A. Barman ACS Secretary BTC Kokrajhar,Mixed,"Shri J.P. Brahma, AES, The Director of Education, BTC, Kokrajhar, Member Secretary, Shri Kanin Boro, The Superintending Engineer, PWD, Kokrajhar, Member, Shri Ajit Kr. Narzary, The Executive Engineer,",Pankaj Nandi,23-Aug-2025 12:20 PM,23-Aug-2025 12:25 PM,techsummary_72333.pdf (524.51 KB),1,274524,ANANDA CHANDRA DAS,12-Aug-2025 08:42 AM,Accepted-AOC,L1,08-Dec-2025 11:23 AM,AOC,1.0,Extension2,Date,,16-Jul-2025 09:00 AM,12-Aug-2025 03:00 PM,16-Jul-2025 09:00 AM,12-Aug-2025 12:00 PM,NA ,NA ,16-Jul-2025 09:00 AM,12-Aug-2025 12:00 PM,23-Aug-2025 12:25 PM,1.0,Fee/PreQual/Technical,.pdf,Bidding Document,1.0,SBI Bank,Director of Education,"Office of the Director of Education, BTC, Kokrajhar.","10,797",Nil,Nil,No,"7,19,777",Yes,fixed,,Nil,Nil,Bodoland Territorial Council||Education-BTC,DOE/BTC/SSA/DAJGUA/Hostel/01,2025_BoTC_45614_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,Construction of 50 bedded hostel separately for boys and girls under the scheme Dharti Aaba Janjatiya Gram Utkarsh Abhiyan at Ramfalbil HSS School in Kokrajhar District,Construction of 50 bedded hostel separately for boys and girls under the scheme Dharti Aaba Janjatiya Gram Utkarsh Abhiyan at Ramfalbil HSS School in Kokrajhar District,Please refer Tender documents. ,NA ,"3,59,88,860",Civil Works,NA ,Tender,180.0,365.0,BTR,783370.0,NA ,NA ,NA ,Office of the Director of Education,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,274366,Assam Agencies,11-Aug-2025 12:33 AM,Rejected-AOC,L2,08-Dec-2025 11:23 AM,AOC,2.0,BoQ,Other,,,,,,,,,,,,,.pdf,Technical Qualification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,276261,KHAMPHA NARZARY,12-Aug-2025 11:09 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,20-Aug-2025 12:31 PM,AOC,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
