Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Urban Development Department||Directorate of Municipality Administration - UDD||Amguri Municipal Board,AMB/08/2025-2026/4914 DTD11/12/2025,2025_UDD_49278_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,"5,000",Nil,Nil,Yes,1.0,SBI Bank,12-Dec-2025 02:00 PM,19-Dec-2025 02:00 PM,12-Dec-2025 02:00 PM,18-Dec-2025 02:00 PM,12-Dec-2025 02:00 PM ,17-Dec-2025 02:00 PM ,12-Dec-2025 02:00 PM,18-Dec-2025 02:00 PM,24-Dec-2025 12:55 PM,EXECUTIVE OFFICER,"AMGURI MUNICIPAL BOARD, AMGURI, SIVASAGAR","Construction / Development of Amguri Town (Shanti Bon), Ward No-02 of Amguri MB against the Schemes of Cremation and Burial Ground under 6th ASFC.","Construction / Development of Amguri Town (Shanti Bon), Ward No-02 of Amguri MB against the Schemes of Cremation and Burial Ground under 6th ASFC.",Please refer Tender documents. ,NA ,"22,50,000",Civil Works,NA ,Rate Contract,90.0,NA ,AMGURI,785680.0,NA ,NA ,NA ,AMGURI MUNICIPAL BOARD,No ,No,"45,000",Yes,percentage,2.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,SBD,AOC,Chairperson Amguri Municipal Board,Internal,,Girish Patir,24-Dec-2025 01:45 PM,finsummary_78257.pdf (209.69 KB),Technical,ADMITTED,Girish Patir,19-Dec-2025 02:39 PM,,1.0,289614.0,pulakesh gogoi,INR,"2,250,000",Chairperson Amguri Municipal Board,Internal,,Trishna Mili,24-Dec-2025 12:51 PM,24-Dec-2025 12:55 PM,techsummary_78257.pdf (323.37 KB),1,289610,arunav bhuyan,18-Dec-2025 12:20 PM,Rejected-AOC,higher average annual turnover during the last five financial years and greater average value of work experience in the last five years,24-Dec-2025 05:31 PM,Finance,Drumil Baruah - As per Arunav Bhuyan-As per Pulakesh Gogoi-As per,Girish Patir,24-Dec-2025 01:42 PM,finance_78257.pdf,BOQ Comparative Chart,Urban Development Department||Directorate of Municipality Administration - UDD||Amguri Municipal Board,2025_UDD_49278_1,AMB/08/2025-2026/4914 DTD11/12/2025,"Construction / Development of Amguri Town (Shanti Bon), Ward No-02 of Amguri MB against the Schemes of Cremation and Burial Ground under 6th ASFC.",26-Dec-2025,"INR 2,250,000",60.0,Trishna Mili,24-Dec-2025 05:31 PM,AOC.pdf (97.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Notice,AOC,,,,,,,,,,,,,,,,,,,,,,,,2,289608,DRUMIL BARUAH,18-Dec-2025 12:28 PM,Rejected-AOC,higher average annual turnover during the last five financial years and greater average value of work experience in the last five years,24-Dec-2025 05:31 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,3,289614,pulakesh gogoi,18-Dec-2025 12:35 PM,Accepted-AOC,higher average annual turnover during the last five financial years and greater average value of work experience in the last five years,24-Dec-2025 05:31 PM,,,,,,,,,,,,,,,,,AOC
