EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"50,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Tender Notice,Superintendent,ASSAM MEDICAL COLLEGE HOSPITAL DIBRUGARH,"1,000",Nil,Nil,No,1.0,SBI Bank,23-May-2025 04:30 PM,16-Jun-2025 01:30 PM,23-May-2025 04:45 PM,16-Jun-2025 01:00 PM,NA ,NA ,29-May-2025 04:00 PM,16-Jun-2025 01:00 PM,16-Jun-2025 03:05 PM,Non-schedule Tender,Supply of patients investigation report forms Registers etc,Please refer Tender documents. ,NA ,,Publishing/Printing,NA ,Tender,365.0,15.0,Assam Medical College Hospial Dibrugarh,786002.0,Conference Hall of AMCH Dibrugarh ,CONFERENCE HALL OF ASSAM MEDICAL COLLEGE HOSPITAL DIBRUGARH  ,29-May-2025 12:30 PM ,Conference Hall of AMCH Dibrugarh,No ,No,Health and Family Welfare Department||Directorate of Medical Education-HFWD||Assam Medical College Hospital-Dibrugarh-HFWD,No.MCH/2025/13576 dtd. 20/05/2025,2025_HFWD_44488_1,Yes,Open Tender,Supply,Goods,2.0,No,Yes,Online,No,No,No,AOC,1.0,270069.0,Quick Offsets,INR,"251,798",Finance,details uploaded,PARTHA SARATHI BAROOAH,05-Dec-2025 05:58 PM,finance_70805.pdf,BOQ Comparative Chart,05-Dec-2025,"INR 1,000,000",15.0,PARTHA SARATHI BAROOAH,05-Dec-2025 06:20 PM,approved.pdf (12912.00 KB),Annual Rate contract (ARC),Health and Family Welfare Department||Directorate of Medical Education-HFWD||Assam Medical College Hospital-Dibrugarh-HFWD,2025_HFWD_44488_1,No.MCH/2025/13576 dtd. 20/05/2025,Non-schedule Tender,Dr S K Bhagawati,Internal,detail uploaded,PARTHA SARATHI BAROOAH,05-Dec-2025 06:08 PM,finsummary_70805.pdf (633.12 KB),Technical,Details uploaded,Saumendra Kumar Bhagawati,16-Jun-2025 02:57 PM,technical_70805.pdf,Dr. S.K Bhagawati,Internal,details uploaded,Saumendra Kumar Bhagawati,16-Jun-2025 03:01 PM,16-Jun-2025 03:05 PM,techsummary_70805.pdf (490.81 KB),1,270066,A.K.DISTRIBUTORS,15-Jun-2025 07:24 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Jun-2025 02:57 PM,AOC
,,,,,,,,.pdf,Tender Terms and Conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,269946.0,Prantik Art Printery,INR,"248,866",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,270060,Kay Kay Enterprise,15-Jun-2025 06:50 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Jun-2025 02:57 PM,AOC
,,,,,,2.0,Finance,.xls,Financial bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,269864.0,MS R R GRAPHICS,INR,"233,538",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,269688,MAA MANASHA PRINTERS,14-Jun-2025 02:39 PM,Accepted-AOC,As per committee decision,05-Dec-2025 06:20 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,269688.0,MAA MANASHA PRINTERS,INR,"198,848",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,269864,MS R R GRAPHICS,14-Jun-2025 04:03 PM,Accepted-AOC,As per committee decision,05-Dec-2025 06:20 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,269946,Prantik Art Printery,14-Jun-2025 04:04 PM,Accepted-AOC,As per committee decision,05-Dec-2025 06:20 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,270069,Quick Offsets,16-Jun-2025 11:52 AM,Accepted-AOC,As per committee decision,05-Dec-2025 06:20 PM,AOC
