Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"EMD, Cost of bid document and Online tender processing fees","Construction of New 33 KV Bay, 33 KV Dedicated Line And 33/11 KV, 1x2.5 MVA AIDC Sub-Station at Industrial Estate Chenga, Dhing and Bhomoraguri, Assam","Construction of New 33 KV Bay, 33 KV Dedicated Line And 33/11 KV, 1x2.5 MVA AIDC Sub-Station at Industrial Estate Chenga, Dhing and Bhomoraguri, Assam",Please refer Tender documents. ,NA ,"13,73,68,664",Electrical Works,NA ,Tender,180.0,540.0,"Chenga, Dhing and Bhomoraguri",782143.0,NA ,NA ,NA ,"AIDC, R G B Road, Guwahati",No ,No,1.0,SBI Bank,Managing Director,"AIDC, R G B Road, Guwahati","27,470",Nil,Nil,No,Industries and Commerce Department||Assam Industrial Development Corporation Ltd - ICD,No 581243/46 dated 22.01.2025,2025_ICD_42884_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,"27,47,400",Yes,fixed,,Nil,Nil,18-Feb-2025 03:00 PM,11-Mar-2025 04:00 PM,18-Feb-2025 03:00 PM,10-Mar-2025 02:00 PM,NA ,NA ,18-Feb-2025 03:00 PM,10-Mar-2025 02:00 PM,26-May-2025 03:30 PM,AOC,1,259986,HABI INFRASTRUCTURE,10-Mar-2025 12:16 PM,Rejected-Technical,Rejected,26-May-2025 02:51 PM,Finance,Bid Opening Summary,Riya Hazarika,09-Dec-2025 05:35 PM,finance_68677.pdf,BOQ Comparative Chart,1.0,260936.0,U K ENTERPRISE,INR,"137,208,140",General Manager,Internal,,Riya Hazarika,09-Dec-2025 05:39 PM,finsummary_68677.pdf (373.49 KB),Technical,Technical Bid Opening Summary,Syed Muhammad Abrar,26-May-2025 02:38 PM,technical_68677.pdf,M K Borah DGMT,Internal,"M K Borah DGMT, T Sarma DGMT, B J Das MT, A Sarma DFC, C Barman DMT, S M Abrar DMT, S Bhatta TO",Syed Muhammad Abrar,26-May-2025 02:51 PM,26-May-2025 03:30 PM,techsummary_68677.pdf (51.28 KB),Industries and Commerce Department||Assam Industrial Development Corporation Ltd - ICD,2025_ICD_42884_1,No 581243/46 dated 22.01.2025,"Construction of New 33 KV Bay, 33 KV Dedicated Line And 33/11 KV, 1x2.5 MVA AIDC Sub-Station at Industrial Estate Chenga, Dhing and Bhomoraguri, Assam",09-Dec-2025,"INR 137,208,140",540.0,Riya Hazarika,09-Dec-2025 05:41 PM,WO.pdf (378.00 KB),AOC
,,.pdf,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,260737,Mega Electricals,10-Mar-2025 01:28 PM,Rejected-Technical,Rejected,26-May-2025 02:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,260989,TATRARI ELECTRICALS & TRADERS (JV) SINGHI INFRAPOWER PROJECTS PVT. LTD.,10-Mar-2025 01:13 PM,Rejected-Technical,Rejected,26-May-2025 02:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,260983,THE GLOBAL CENTER (JV WITH) ASSAM SUPPLY SYNDICATE,10-Mar-2025 01:29 PM,Rejected-AOC,Rejected,09-Dec-2025 05:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,260936,U K ENTERPRISE,10-Mar-2025 12:26 AM,Accepted-AOC,Accepted,09-Dec-2025 05:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
