Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Detail Notice Inviting Bid,24-Jun-2025 03:00 PM,08-Jul-2025 01:00 PM,24-Jun-2025 03:30 PM,07-Jul-2025 02:00 PM,NA ,NA ,24-Jun-2025 03:30 PM,07-Jul-2025 02:00 PM,18-Sep-2025 11:50 AM,1.0,Corrigendum cum Extension Notice,Date,,"Tourist facilities for Durga Mandir Gopalthan, Jagyabhumi, Nalbari","Tourist facilities for Durga Mandir Gopalthan, Jagyabhumi, Nalbari",Please refer Tender documents. ,NA ,"49,50,458",Civil Works - Others,NA ,Tender,180.0,270.0,Nalbari,781335.0,Guwahati ,"Office of the Managing Director, ATDC Ltd., Paltanbazar, Guwahati-8 ",25-Jun-2025 12:00 PM ,Guwahati,No ,No,1.0,SBI Bank,"2,000",Nil,Nil,No,"99,009",Yes,fixed,,Nil,Nil,"Managing Director, ATDC Ltd.","Office of the Managing Director, ATDC Ltd., Paltanbazar, Guwahati-8",Department of Tourism||Assam Tourism Development Corporation Ltd. - DOT||HO-Guwahati-ATDCL - DOT,ATDC/CS/673/2025/537 dt. 11.06.2025,2025_DOT_45129_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC,Department of Tourism||Assam Tourism Development Corporation Ltd. - DOT||HO-Guwahati-ATDCL - DOT,2025_DOT_45129_1,ATDC/CS/673/2025/537 dt. 11.06.2025,"Tourist facilities for Durga Mandir Gopalthan, Jagyabhumi, Nalbari",08-Dec-2025,"INR 4,455,412.2",270.0,Kishore Dutta,08-Dec-2025 12:48 PM,FWOJagyabhumiNalbari.pdf (146.00 KB),Issue of Notice to Proceed with the work,1.0,271271.0,K S ENTERPRISE,INR,"4,455,412.2",Bhaskar Jyoti Baruah,Internal,"Kishor Dutta, Kushal Sarma",Kishore Dutta,08-Dec-2025 12:36 PM,finsummary_71474.pdf (176.37 KB),Technical,Report of Technical Evaluation Committee,SANJIB KUMAR DUTTA,16-Sep-2025 02:30 PM,technical_71474.pdf,Prabhash Ch. Sarma,Internal,"R.L. Das, Tina Mitra",SANJIB KUMAR DUTTA,16-Sep-2025 02:54 PM,18-Sep-2025 11:50 AM,techsummary_71474.pdf (182.90 KB),1,271386,KAZIMUDDIN AHMED,07-Jul-2025 11:57 AM,Rejected-AOC,"After adding both technical and financial marks, bidder secured third position.",08-Dec-2025 12:48 PM,Finance,Comparative Statement,Kishore Dutta,08-Dec-2025 12:27 PM,finance_71474.pdf,BOQ Comparative Chart,AOC
,,.pdf,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,271271,K S ENTERPRISE,06-Jul-2025 11:09 AM,Accepted-AOC,"After adding both technical and financial marks, bidder secured first position.",08-Dec-2025 12:48 PM,,,,,,,AOC
,,.pdf,Qualifications of the Bidder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,271077,MS TRIRANV ASSOCIATES,06-Jul-2025 10:53 AM,Rejected-AOC,"After adding both technical and financial marks, bidder secured second position.",08-Dec-2025 12:48 PM,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,271384,PARTHA PRATIM GAYAN,07-Jul-2025 11:22 AM,Rejected-AOC,"After adding both technical and financial marks, bidder secured fourth position.",08-Dec-2025 12:48 PM,,,,,,,AOC
,,.pdf,Form of Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,271302,YSM Construction & Co.,07-Jul-2025 12:56 PM,Rejected-AOC,"After adding both technical and financial marks, bidder secured fifth position.",08-Dec-2025 12:48 PM,,,,,,,AOC
